1,EXT ALFALFA FIELD  NIGHT,95
2,EXT DUSTY ROAD  LOW ANGLE  NIGHT,7
3,EXT WATER TOWER  NIGHT,7
4,INT WATER TOWER  NIGHT,11
5,EXT WAREHOUSE  WESTS POV THROUGH KNOTHOLE  NIGHT,5
6,INT WATER TOWER  NIGHT,18
7,INT FATCAN CANDYS  NIGHT,38
8,EXT WAREHOUSE  WESTS POV THROUGH KNOTHOLE  NIGHT,10
9,INT WATER TOWER  NIGHT,28
10,EXT WAREHOUSE  NIGHT,7
11,INT WATER TOWER  NIGHT,17
12,EXT WAREHOUSE SKYLIGHT  NIGHT,40
13,INT FATCANS  NIGHT SAME TIME,24
14,EXT STREET  ON CARRIAGE  NIGHT,11
15,INT FATCANS  MGRATH AND HUDSON  NIGHT,55
16,INT WAREHOUSE  NIGHT,39
17,INT FATCANS  NIGHT SAME TIME,56
18,INT FATCANS  NIGHT,15
19,EXT COUNTRY ROAD  WILD WAGON RIDE  NIGHT,19
20,INT FATCANS  NIGHT,11
21,EXT COUNTRY ROAD  WILD WAGON RIDE  NIGHT,28
22,EXT RISE ABOVE FATCANS  NIGHT,18
23,INT FATCANS  CLOSE  MGRATH,15
24,INT FATCANS  UPSTAIRS  GORDONDORA,17
25,INT BOUDOIR  CONTINUOUS ACTION,78
26,INT FATCANS  BOUDOIR  GORDONDORA,52
27,INT FATCANS  UPSTAIRS HALL,15
28,INT FATCANS  ADJACENT ROOM  NIGHT,58
29,EXT RISE ABOVE FAT CANS  CARRIAGE  NIGHT SAME TIME,33
30,INT FAT CANS  UPSTAIRS HALL  NIGHT,27
31,EXT WASHINGTON DC  DAY ,7
32,EXT WHITE HOUSE  DAY,4
33,INT WHITE HOUSE  DAY,44
34,INT WHITE HOUSE  OVAL OFFICE,77
35,INT WHITE HOUSE  OVAL OFFICE  SIDE DOORWAY ,48
36,INT WHITE HOUSE  WAR ROOM  CONTINUOUS ACTION  DAY,131
37,EXT WHITE HOUSE  DAY,49
38,EXT C STREET TRAIN STATION  TRAIN ENGINE  DAY,36
39,INT WANDERER  PARLOR CAR  DAY,93
40,EXT UNDERNEATH WANDERER  DAY,5
41,INT WANDERER  PARLOR CAR  GORDON,10
42,EXT UNDER WANDERER  DAY SAME TIME,7
43,INT WANDERER  PARLOR CAR  DAY,13
44,EXT UNDER WANDERER  DAY,21
45,INT WANDERER  PARLOR CAR  DAY,32
46,INT WANDERER LAB CAR  DUSK,95
47,EXT NEW ORLEANS TRAIN SIDING  NIGHT,8
48,INT WANDERER  LAB CAR  NIGHT,202
49,EXT LOVELESS MANSION NEW ORLEANS  CARRIAGE  NIGHT,9
50,EXT LOVELESS MANSION  CARRIAGE  NIGHT,20
51,EXT LOVELESS MANSION  BALCONY  NIGHT,6
52,INT LOVELESS MANSION  UPSTAIRS ROOM  NIGHT,48
53,INT LOVELESS MANSION  UPSTAIRS HALLWAY  NIGHT,54
54,INT LOVELESS MANSION  DOWNSTAIRS  PARTY  NIGHT,22
55,INT LOVELESS MANSION  DOWNSTAIRS  PARTY  REST OF,135
