1,EXT LANCASTER COUNTY PA COUNTRYSIDE  DAY,16
2,EXT COUNTRY LANE  DAY,3
3,EXT COUNTRY LANE  DAY,21
4,EXT LAPP FARMHOUSE  FRONT PORCH,3
5,INT LAPP FARMHOUSE,5
6,INT LAPP FARMHOUSE,46
7,EXT CEMETERY,11
8,INT LAPP FARMHOUSE,57
9,EXT COUNTRY ROADS LANCASTER COUNTY  DAY,6
10,EXT HIGHWAY LANCASTER COUNTY  DAY,5
11,EXT PLATFORM LANCASTER STATION  DAY,23
12,EXT CARPARK LANCASTER STATION  DAY,4
13,EXT TRAIN  DAY,3
14,INT TRAIN MOVING,15
15,EXT LANCASTER COUNTRYSIDE  DAY,12
16,EXT PHILADELPHIA SLUMS,3
17,INT TRAIN MOVING,11
18,INT TH ST STATION PHILADELPHIA  DAY,294
19,EXT TH ST STATION  NIGHT,10
20,INT SEDAN,66
21,INT BOOKS CAR MOVING PHILADELPHIA  NIGHT,58
22,EXT TH ST STATION  NIGHT,4
23,INT BOOKS CAR  NIGHT,13
24,EXT HAPPY VALLEY BAR SOUTH STREET  NIGHT,3
25,INT HAPPY VALLEY  NIGHT,8
26,EXT HAPPY VALLEY  NIGHT,32
27,EXT HOTEL  PHILADELPHIA  NIGHT,3
28,INT CAR  NIGHT,8
29,EXT  INT FRONT DOOR SUBURBAN HOUSE  PHILADELPHIA ,74
30,EXT DRIVEIN FASTFOOD JOINT  PHILADELPHIA  DAWN,6
31,EXT ELAINES HOUSE  DAY,3
32,INT ELAINES HOUSE,118
33,INT ELAINES BEDROOM,47
34,INT BOOKS CAR MOVING  DAY,61
35,INT IDENTIFICATION ROOM  POLICE HQ  DAY,17
36,EXT CITY PARK  DAY,37
37,INT OUTER OFFICEWAITING ROOM NARCOTICS DIVISION  DAY,6
38,INT DETECTIVES ROOM NARCOTICS DIVISION POLICE HQ  DAY,11
39,INT SMALL OFFICE NARCOTICS DIVISION  DAY,19
40,INT DETECTIVES ROOM NARCOTICS DIVISION  DAY,27
41,INT BOOKS CAR MOVING  PHILADELPHIA  DUSK,52
42,EXT  INT SCHAEFFER HOME PHILADELPHIA SUBURBS  NIGHT,6
43,INT SCHAEFFERS STUDY  NIGHT,58
44,EXT PARKING LOT  PHILADELPHIA  NIGHT,100
45,EXT STREET  PHILADELPHIA  NIGHT,2
46,INT BOOKS CAR MOVING,3
47,INT CARTERS APARTMENT  BEDROOM  NIGHT,40
48,INT GUEST ROOM ELAINES HOUSE  NIGHT,8
49,EXT BATHROOM DOOR,20
50,INT BATHROOM,9
51,INT BOOKS CAR MOVING,31
52,INT PHILADELPHIA POLICE HEADQUARTERS  BOOKS OFFICE ,13
53,INT CAR MOVING,6
54,EXT LAPP FARM,44
55,EXT FIELD  DAY,4
56,EXT STABLES  DAY,40
57,INT LAMP FARMHOUSE,21
58,INT LIVING ROOM,8
59,INT SICKROOM  TIGHT,48
60,EXT LAPP DRIVE,7
61,INT LAPP FARMHOUSE LIVING ROOM,18
62,INT SICKROOM  LAPS FARM  NIGHT,33
63,INT SCHAEFFERS OFFICE  DAY,5
64,INT LANCASTER COUNTY SHERIFFS OFFICE  DAY,45
65,EXT LAPP FARM  DAY,94
66,INT LAPP LIVING ROOM  DAY,27
67,EXT BOOKS SISTERS HOUSE  PHILADELPHIA  DAY,47
68,INT SCHAEFFERS CAR,14
69,EXT LAPP FARM  LANCASTER COUNTY  NIGHT,3
70,INT SICKROOM,96
71,INT KITCHEN  LAPP FARMHOUSE  NIGHT,53
72,EXT WASHHOUSE  NEAR KITCHEN  NIGHT,5
73,EXT BARN  LAPP FARM  DAY,3
74,INT BOOKS BEDROOM  DAY,88
75,EXT FARMHOUSE  DAY,5
76,INT KITCHEN  DAY,27
77,INT BUGGY  COUNTRY ROAD  DAY,5
78,EXT AMISH ONETEACHERSCHOOL  DAY,3
79,INT STORE  SALTZBURG,50
80,INT BARN  DAY,26
81,INT BOOKS ROOM  LAPP FARM  NIGHT,14
82,INT BARN,31
83,EXT BARN,11
84,EXT LAPP FARMHOUSE  DAY,7
85,INT THE BARN,34
86,EXT FIELD NEAR FARMHOUSE  DAY,49
87,INT CARPENTRY SHOP LAPP FARM  DAY,48
88,INT LAPP FARMHOUSE  DINING ROOM,32
89,EXT  INT BARN  NIGHT,117
90,INT SCHAEFFERS OFFICE  NIGHT,47
91,EXT LAPP FARM  LANCASTER COUNTY  DAY,5
92,BACK TO BOOK  INT  EXT BARN,41
93,EXT ZOOK FARM  LANCASTER COUNTY  DAY,136
94,EXT ZOOK FARM  LANCASTER COUNTY  EVENING,12
95,EXT LAPP FARM  NIGHT,3
96,EXT PORCH  TARP FARMHOUSE  NIGHT,37
97,INT LAPP WASHHOUSE  NIGHT,28
98,EXT LAPP FARM  DAWN,18
99,EXT RURAL ROAD  LANCASTER COUNTY  DAY,2
100,INT BUGGY MOVING,15
101,EXT ANGLE,3
102,INT LAPP BUGGY,7
103,EXT ANGLE,4
104,INT LAPP BUGGY,18
105,EXT SALZBURGSTORE  DAY,21
106,INT STORE,23
107,INT HALLWAY SCHAEFFERS HOME  DAY,13
108,INT STUDY  STORE  DAY,45
109,INT BUGGY  MAIN STREET  SALTZBURG  DAY,5
110,EXT NARROW SIDE STREET  SALTZBURG  DAY,5
111,INT LAPP BUGGY  DAY,14
112,EXT HOCHSTETLERS BUGGY  DAY,72
113,EXT BARN  CARPENTERS SHOP  DUSK,101
114,INT KITCHEN  DUSK,5
115,INT  EXT RACHELS POV  DUSK,2
116,INT KITCHEN,9
117,EXT DRIVEWAY  DUSK,7
118,EXT FIELD BY ROAD  NIGHT,3
119,EXT SOUDERSBURG CAFE  LANCASTER COUNTY  NIGHT,4
120,INT CARE,30
121,EXT CAFE PORCH  DAY,9
122,EXT RURAL LANE  LANCASTER COUNTY  DAWN,18
123,INT KITCHEN  DAWN,4
124,INT BARN  DAWN,2
125,INT KITCHEN  DAWN,45
126,INT BARN  DAY,7
127,INT BARN  DAY,2
128,INT KITCHEN  DAY,12
129,INT BARN  DAY,38
130,EXT REAR DOOR  DAY,2
131,EXT BARN  DAY,3
132,INT BARN  DAY,5
133,EXT BARN  DAY,3
134,INT BARN  ANGLE PAST BOOK,37
135,EXT BARN  DAY,5
136,EXT FIELD  DAY,9
137,EXT  INT KITCHEN PORCH  DAY,9
138,EXT BARN  DAY,3
139,INT BARN  DAY,7
140,EXT FRONT PORCH  DAY,6
141,INT KITCHEN  DAY,3
142,EXT FIELD  DAY,3
143,INT BARN  DAY,37
144,EXT BARNYARD  DAY,11
145,INT BARN  DAY,46
146,EXT BARNYARD  DAY,23
147,EXT FIELDS  DAY,9
148,EXT BARNYARD  DAY,27
149,INT BARN  DAY,46
150,INT KITCHEN,35
151,INT SILO  DAY,16
152,INT BARN  DAY,6
153,INT SILO  DAY,14
154,INT BARN  DAY,4
155,INT SILO  DAY,63
156,EXT BARN  DAY,10
157,EXT BARN  DRIVE  DAY,47
158,EXT BARN  DAY,2
159,EXT LAPP FARM  LATE AFTERNOON,4
160,EXT POND,13
161,EXT HOUSE  DAY,16
162,INT EXT DRIVEWAY  LAPP FARM  DAY,5
