1,INT CLASSROOM  UNIVERSITY  AFTERNOON,103
2,INT STAIRWELLCORRIDOR  AFTERNOON MOMENTS LATER,26
3,INT GRADYS CAR  MOVING,6
4,EXT GALAXIE  MOVING  PITTSBURGH,3
5,INT PITTSBURGH AIRPORT,3
6,INT ARRIVAL GATE  PITTSBURGH AIRPORT,50
7,INT BAGGAGE CAROUSEL  AIRPORT  MOMENTS LATER,58
8,INT GRADYS CAR  MOVING  LATE AFTERNOON,27
9,EXT OFFICE BUILDING  MOMENTS LATER,38
10,EXT GASKELL HOUSE  EVENING,19
11,EXT FRONT PORCH  GASKELL HOUSE,61
12,INT UPSTAIRS ROOM,77
13,INT LIVING ROOM  GASKELL HOUSE,87
14,EXT REAR GASKELL HOUSE  NIGHT,195
15,INT LIVING ROOM  MOMENTS LATER,98
16,INT CLOSET  GASKELL HOUSE,91
17,INT HALLWAY,53
18,INT GALAXIE  MOVING,26
19,EXT PARKING LOT  THAW HALL CAMPUS,66
20,INT AUDITORIUM  LATER,59
21,INT LOBBY,5
22,INT CORRIDOR,96
23,INT LOBBY,26
24,EXT STREET ,7
25,INT,66
26,EXT SLOVIAK HOUSE,31
27,EXT PARKING LOT  HIHAT CLUB,5
28,AEXT ENTRANCE  HIHAT CLUB,8
29,INT HIHAT CLUB,14
30,INT BOOTH,119
31,INT DANCEFLOOR  MOMENTS LATER,39
32,EXT PARKING LOT  HIHAT CLUB  AM,85
33,INT GALAXIE,55
34,EXT THAW HAIL  NIGHT TWENTY MINUTES LATER,6
35,INT LOBBY,20
36,INT AUDITORIUM,8
37,   TEXT,8
38,EXT THAW HALL  NIGHT  A MOMENT LATER,4
39,INT TRAXLERS HONDA  NIGHT,23
40,EXT SASKELLS HOUSE  NIGHT MOMENTS LATER,23
41,AEXT GRADYS HOUSE  NIGHT  A LITTLE LATER,6
42,INT HALLWAY  GRADYS HOUSE,2
43,INT LIVING ROOM,11
44,INT GRADYS OFFICE,12
45,EXT FRONT PORCH  SATURDAY MORNING NEXT DAY,5
46,INT GUEST BEDROOM  MINUTES LATER,3
47,AINT LANDING  CONTINUOUS,4
48,BINT EMILYS OFFICE,16
49,INT GRADYS OFFICE,145
50,EXT FRONT PORCH,11
51,INT LANDING  SAME TIME,8
52,EXT FRONT PORCH,79
53,EXT GRADYS HOUSE  MORNING MOMENTS LATER,23
54,INT AISLE  MARKET  MORNING LATER,58
55,EXT GASKELL HOUSE  MORNING,4
56,INT GALAXIE  CONTINUOUS,26
57,INT GREENHOUSE  MOMENT LATER,105
58,INT GALAXIE  MOVING  LATER ,106
59,EXT NEIGHBORHOOD KINSHIP  DAY ONE HOUR LATER,18
60,EXT FRONT PORCH  WINTERS FAMILY HOUSE,18
61,EXT BACK PORCH  BACK YARD MOMENTS LATER,22
62,INT LIVING ROOM  WINTERS HOUSE  MOMENTS LATER,11
63,INT UPSTAIRS BEDROOM ,10
64,INT DEN,8
65,INT UPSTAIRS BEDROOM  SAME TIME,8
66,INT DEN,3
67,INT UPSTAIRS BEDROOM  SAME TIME,33
68,INT DEN,6
69,INT UPSTAIRS BEDROOM,33
70,INT DEN,14
71,INT DEN  WINTERS HOUSE  A BIT LATER,101
72,INT GALAXIE  MOVING  DUSK,169
73,EXT COFFEE SHOPMOTEL  OFF THE HIGHWAY  EVENING,15
74,INTEXT PHONE BOOTH  PARKING LOT  MOMENTS LATER,19
75,EXT GALAXIE  PARKING LOT,11
76,INT BOOTH  COFFEE SHOP  NIGHT LATER,47
77,EXT COFFEE SHOPMOTEL,48
78,INT BOOTH  COFFEE SHOP,71
79,EXT COFFEE SHOP  MOMENTS LATER,26
80,EXT PARKING LOT  MQTELCOFFEE SHOP  A BIT LATER,7
81,EXT GRADYS HOUSE  NIGHT LATER,9
82,INT GRADYS HOUSE  MOMENTS LATER,3
83,INT GRADYS OFFICE,133
84,INT GALAXIE  MOVING  TEN MINUTES LATER,48
85,EXT RESIDENTIAL STREET  SEWICKLEY HEIGHTS,8
86,AEXT LEER HOUSE  MOMENTS LATER,10
87,EXT REAR  LEER HOUSE,16
88,EXT BASEMENT DOOR,12
89,INT JAMES ROOM  BASEMENT,97
90,INT JAMES ROOM  BASEMENT A FEW MINUTES LATER,6
91,EXT GRADYS HOUSE  LATER,3
92,INT LIVING ROOM,8
93,INT HALLWAY,13
94,INT HANNAHS ROOM,8
95,INT GRADYS OFFICE,30
96,EXT PORCH  GRADYS HOUSE  NIGHT A BIT LATER,66
97,EXT GRADYS NEIGHBORHOOD  SUNDAY MORNING NEXT DAY,3
98,INT GRADYS OFFICE  SAME TIME,9
99,EXT FRONT PORCH  GRADYS HOUSE,56
100,INT CRABTREES ROOM  MOMENTS LATER,95
101,EXT GRADYS HOUSE  MOMENTS LATER,83
102,INT HANNAHS ROOM,74
103,INT LIVING ROOM  MOMENTS LATER,8
104,INT HANNAHS RENAULT  MOVING,42
105,INT HANNAHS CAR,16
106,EXTINT GALAXIE,11
107,INT HANNAHS RENAULT,5
108,INT GALAXIE,70
109,INT HANNAHS RENAULT,5
110,EXT KRAVNIKS,64
111,INT GALAXIE  MOVING,92
112,EXT CAMPUS ENTRANCE,120
113,INT HALLWAY  ENGLISH DEPARTMENT,3
114,INT GRADYS CLASSROOM  MOMENTS LATER,11
115,EXT QUAD,4
116,INT LOBBY  THAW HALL  LATER,17
117,INT BACK ROW  AUDITORIUM  THAW HALL,22
118,INT MAIN STAGE,13
119,INT BACK ROW  THAW HALL,64
120,INT CORRIDOR  THAW HALL  MOMENTS LATER,6
121,INT NEW CORRIDOR,3
122,INT STAIRWELL  CONTINUOUS,50
123,INT HOSPITAL ROOM  DAY,90
124,INT HOSPITALBRIDGE WALKWAY  AFTERNOON,6
125,EXT NURSERY  HOSPITAL  MOMENTS LATER,9
126,EXT GASKELL HOUSE  LATE AFTERNOON,4
127,EXT FRONT DOOR  MOMENT LATER,6
128,EXT GREENHOUSE  MOMENT LATERS,6
