1,EXT RUDYS  NIGHT,71
2,INT RUDYS  MOMENTS LATER,49
3,INT CARLS APARTMENT  NIGHT,4
4,INT CARLS APARTMENT  DAY,3
5,EXT CARLS APARTMENT,10
6,INT DUNKIN DONUTS,12
7,INT SOUTHWEST BANK  LATER,30
8,INT SOUTHWEST BANK  LOBBY,75
9,INT SOUTHWEST BANK,8
10,INT CARLS KITCHEN,2
11,INT CARLS APARTMENT,2
12,INT CARLS LIVING ROOMBEDROOM,3
13,INT DUNKIN DONUTS,10
14,EXT STREET,3
15,INT SOUTHWEST BANK,6
16,INT SOUTHWEST BANK,3
17,INT CARLS KITCHEN,2
18,INT CARLS APARTMENT,2
19,INT CARLS LIVING ROOMBEDROOM,37
20,INT CARLS LIVING ROOMBEDROOM  NIGHT,38
21,EXT SOUTHWEST BANK,72
22,INT CARLS APARTMENT,12
23,INT CARLS APARTMENT  LATER,123
24,INT HOLIDAY INN CONFERENCE ROOM,187
25,INT CARLS APARTMENT  MORNING,37
26,EXT STACKERS  MORNING,15
27,INT STACKERS  LATER,84
28,INT STACKERS  LATER,106
29,INT STACKERS,17
30,INT STACKERS  LATER,43
31,INT DUNKIN DONUTS,17
32,EXT STREET,30
33,INT SOUTHWEST BANK,30
34,INT SOUTHWEST BANK LOUNGE,13
35,INT SOUTHWEST BANK  LOAN DESK,121
36,INT SOUTHWEST BANK  LOAN DESK,7
37,INT NORMANS OFFICE,40
38,INT RUDYS,78
39,INT RUDYS  NIGHT,18
40,INT SENOR FROGS  NIGHT,138
41,EXT SENOR FROGS,21
42,INT CARLS APARTMENT  MORNING,28
43,INT HOLIDAY INN CONFERENCE ROOM,5
44,INT HOLIDAY INN LOBBY,7
45,INT HOLIDAY INN HALLWAY,127
46,INT RUDYS,116
47,INT CARLS APARTMENT  MORNING,3
48,INT CARLS APARTMENT,3
49,INT DUNKIN DONUTS,20
50,EXT STREET,23
51,INT SOUTHWEST BANK,26
52,INT SOUTHWEST BANK  LOAN DESK,25
53,EXT STREET,13
54,INT BERLITZ CLASS  DAY,8
55,INT THE NOTE BAR AND PERFORMANCE SPACE  NIGHT,100
56,EXT THE NOTE BAR AND GRILL,44
57,EXT STREET,56
58,INT ROMANTIC RESTAURANT  LATER,44
59,INT CARLS APARTMENT  LATE NIGHT,33
60,INT CARLS APARTMENT  PREDAWN,3
61,EXT PARK  PREDAWN,31
62,EXT LAKE  DAWN,12
63,INT CAFE  MORNING,45
64,INT STATIONERY STORE  LATER,84
65,INT SOUTHWEST BANK  LOAN DESK,45
66,INT NORMANS OFFICE,48
67,INT ROONEYS MOMS HOUSE,19
68,EXT ROONEYS MOMS HOUSE,84
69,INT TONYS APARTMENT  DAY,42
70,INT TONYS BEDROOM,31
71,INT PETERS LAW OFFICE,63
72,INT GALLERY,49
73,INT KOREAN RESTAURANT  LATER,120
74,INT NORMANS APARTMENT  NIGHT,26
75,INT NORMANS APARTMENT,40
76,INT NORMANS APARTMENT,129
77,INT CARLS APARTMENT,13
78,INT CARLS LIVING ROOMBEDROOM,43
79,INT CARLS BEDROOM  LATER,31
80,INT SOUTHWEST BANK  LOAN DESK,29
81,INT SOUTHWEST BANK  CONFERENCE ROOM,106
82,EXT SUGAR DREAMS BAKERY,8
83,INT SUGAR DREAMS BAKERY,24
84,INT DEPARTMENT STORE TEA ROOM,54
85,INT LUXURIOUS APARTMENT  DAY,30
86,INT BLOOD BANK,17
87,INT UFO CONFERENCE,11
88,EXT FANCY RESTAURANT,2
89,INT FANCY RESTAURANT,23
90,INT FANCY RESTAURANT  NIGHT,74
91,INT FANCY RESTAURANT  LATER,39
92,EXT FANCY RESTAURANT,119
93,INT CARLS APARTMENT,6
94,EXT STREET,15
95,INT COUNTRY CLUB  DAY,32
96,EXT COUNTRY CLUB,30
97,EXT GOLF COURSE,91
98,EXT GOLF COURSE  EARLY EVENING,26
99,INT COUNTRY CLUB  POST GOLF,41
100,EXT COUNTRY CLUB,11
101,INT POTTERY STUDIO,50
102,INT AIRPORT  TICKET COUNTER,46
103,INT AIRPORT  OUTSIDE SECURITY,48
104,INT PLANE,29
105,INT LINCOLN AIRPORT  LATER,9
106,INT FRANK H WOODS TELEPHONE PIONEER MUSEUM,31
107,EXT LESTER F LARSEN TRACTOR TEST AND POWER MUSEUM,6
108,EXT FIELD  MOMENTS LATER,30
109,EXT ANTELOPE PARK AND SUNKEN GARDENS,39
110,INT LINCOLN AIRPORT,40
111,INT AIRPORT  SECURITY,3
112,INT PLANE,10
113,INT AIRPORT,23
114,INT JAIL  INTERROGATION ROOM,54
115,INT JAIL  OUTSIDE THE INTERROGATION ROOM,9
116,EXT POLICE STATION,33
117,INT COFFEE SHOP,41
118,INT BLOOD BANK,8
119,INT SOUTHWEST BANK CORPORATE OFFICES,6
120,INT CHRIS PARKERS OFFICE  DAY,36
121,INT CARLS NEW OFFICE,21
122,INT POTTERY STUDIO,5
123,INT SOUTHWEST BANK CORPORATE OFFICES,21
124,INT CHRIS PARKERS OFFICE,24
125,INT CARLS APARTMENT,24
126,EXT SOUTHWEST BANK CORPORATE OFFICES,17
127,INT SOUTHWEST BANK CORPORATE OFFICES,4
128,INT CARLS NEW OFFICE,13
129,INT PETERS LAW OFFICE,26
130,INT MARRIOTT CONFERENCE CENTER,18
131,INT MARRIOTT COFFEE SHOP  LATER,60
132,INT CARLS APARTMENT,34
133,INT CARLS LIVING ROOMBEDROOM,26
134,INT CARLS APARTMENT  NIGHT,5
