1,      INT ANDY AND LAURIE S APARTMENT  DAY,171
2,      EXT SAN FRANCISCO STREET  DAY,150
3,      INT SINGLE PARENT SUPPORT GROUP  DAY,108
4,      INT WILL S CONDO  LATER,74
5,      EXT WILL S CONDO  DAY,44
6,      EXT WILL S BACKYARD  ANOTHER DAY,121
7,      INT MIDDLE SCHOOL  CAFETERIA  DAY,29
8,      INT WILL S APARTMENT  ANOTHER EVENING,122
9,      INT WILL S CONDO  SECONDS LATER,79
10,      INT ANDY AND LAURIE S APARTMENT  LATER,58
11,      INT WILL S CONDO  DAY,47
12,      INT WILL S CONDO  LATER,40
13,      INT WILL S CONDO  ANOTHER DAY,6
14,      INT WILL S CONDO  LATER,13
15,      INT WILL S CONDO  ANOTHER DAY,6
16,      INT WILL S CONDO  GARAGE  DAY,22
17,      INT WILL S CONDO  ANOTHER DAY,6
18,      INT WILL S CONDO  DAY,125
19,      INT FIONA S CONDO  ANOTHER NIGHT,123
20,      INT WILL S CONDO  EVENING,55
21,      EXT FIONA S BACKYARD  MOMENTS LATER,17
22,      INT WILL S CONDO  LATER,47
23,      EXT BACKYARD  SAME,100
24,      INT WILL S CONDO  NIGHT,40
25,      EXT GOLDEN GATE PARK  DAY,57
26,      EXT OAKWOOD MIDDLE SCHOOL  DAY,6
27,      INT AUDITORIUM  DAY,79
28,      INT BACKSTAGE  MOMENTS LATER,180
29,      INT ANDY AND LAURIE S APARTMENT  DAY,44
