1,      INT BEN S BEDROOM  DAWN NOVEMBER ,56
2,      INT BEDROOM  MORNING JUNE  CONTEMPORARY,31
3,      INT BEN S KITCHEN  MORNING JUNE  CONTEMPORARY,14
4,      INT KITCHEN  MORNING NOVEMBER ,107
5,      INT BEN S KITCHEN  DAY JUNE  CONTEMPORARY,9
6,      EXT RIVER CONSTRUCTION SITE  DAY JUNE  CONTEMPORARY,21
7,      INT BEN S KITCHEN  DAY JUNE  CONTEMPORARY,24
8,      INT MEETING ROOM  DAY JUNE  CONTEMPORARY,178
9,      INT EMERGENCY ROOM  DAY JUNE  CONTEMPORARY,74
10,      INT DETROI HOSPITAL  DAY JUNE  CONTEMPORARY,13
11,      INT MRI CHAMBER  CONTINUOUS JUNE  CONTEMPORARY,22
12,      INT DEL S NIGHTCLUB   MAIN ROOM  NIGHT NOVEMBER ,65
13,      INT NIGHTCLUB MAIN ROOM   LATER,96
14,      EXT AMBASSADOR BRIDGE  DAY NOVEMBER ,6
15,      EXT AMBASSADOR INVESTIGATIONS BUILDING  DAY NOVEMBER ,9
16,      INT AMBASSADOR INVESTIGATIONS OFFICE  DAY NOVEMBER ,30
17,      INT BEN S OFFICE  DAY NOVEMBER ,48
18,      INT AIRPORT CORRIDOR  DAY NOVEMBER ,41
19,      INT AMBASSADOR INVESTIGATIONS OFFICE  DAY NOVEMBER ,45
20,      INT MAPLE LEAF DINER  WINDSOR NOVEMBER ,55
21,      INT AMBASSADOR INVESTIGATIONS OFFICE  DAY NOVEMBER ,43
22,      INT BEN S APARTMENT  KITCHEN  DAY JUNE  CONTEMPORARY,115
23,      INT BEDROOM  DAY NOVEMBER ,4
24,      INT KITCHEN  DAY NOVEMBER ,4
25,      INT AMBASSADOR INVESTIGATIONS OFFICE  DAY NOVEMBER ,39
26,      INT BEN S OFFICE  CONTINUOUS NOVEMBER ,7
27,      INT AIRPORT PHONE BOOTH  DAY NOVEMBER ,15
28,      INT BEN S OFFICE  DAY NOVEMBER ,12
29,      INT AIRPORT PHONE BOOTH  DAY NOVEMBER ,24
30,      INT BEN S OFFICE  DAY NOVEMBER ,22
31,      INT AIRPORT  DAY NOVEMBER ,45
32,      EXT DETROIT RIVER ESTABLISHING  NIGHT NOVEMBER ,2
33,      INT BEN S KITCHEN  NIGHT,15
34,      INT KITCHEN  LATER NOVEMBER ,80
35,      INT KATIE S APARTMENT  NIGHT NOVEMBER ,53
36,      INT MCNEAL HALLWAY  DAY JUNE  CONTEMPORARY,6
37,      INT MCNEAL KITCHEN  DAY JUNE  CONTEMPORARY,92
38,      INT MCNEAL GUEST BEDROOM  DAY JUNE  CONTEMPORARY,13
39,      INT DETROIT POLICE STATION  DAY NOVEMBER ,80
40,      INT AMBASSADOR INVESTIGATIONS OFFICE  DAY NOVEMBER ,42
41,      INT BEN S OFFICE  DAY NOVEMBER ,18
42,      INT MAPLE LEAF DINER  DAY NOVEMBER ,79
43,      INT AMBASSADOR INVESTIGATIONS  DAY NOVEMBER ,118
44,      EXT MCNEAL HOUSE  NIGHT JUNE  CONTEMPORARY,58
45,      INT KITCHEN  NIGHT JUNE  CONTEMPORARY,90
46,      INT KATHLEEN S BEDROOM  NIGHT JUNE  CONTEMPORARY,18
47,      EXT CEMETARY  DAY JUNE  CONTEMPORARY,16
48,      EXT GRAVESITE  DAY JUNE  CONTEMPORARY,25
49,      INT FUNERAL HOME  DAY NOVEMBER ,102
50,      INT FUNERAL HOME HALLWAY  CONTINUOUS NOVEMBER ,115
51,      INT DEL S CLUB NIGHT NOVEMBER ,11
52,      EXT CEMETARY  DAY JUNE  CONTEMPORARY,62
