1,INT CONDO LIVING ROOM  MORNING,177
2,INT CVS FAMILY PLANNING AISLE  LATER,17
3,INT UNMARKED ROOM  SAME,14
4,INT COURTROOM  SAME,37
5,INT COURTROOM  LATER,199
6, CHAMBERS  MINUTES LATERINT REBECCA S,132
7,INT ELEMENTARY SCHOOL HALLWAY OUTSIDE THE PRINCIPAL S OFFICE ,103
8, CAR  MINUTES LATERINT REBECCA S,87
9, GARAGE  LATERINT REBECCA S,155
10,EXT COURTHOUSE STEPS  MORNING,47
11,INT COMMISSARY  AFTERNOON,137
12,INT COURTROOM  LATER,76
13, CHAMBERS  DAYINT REBECCA S,39
14,INT COURTROOM  DAY,53
15,INT LINCOLN ELEMENTARY SCHOOL CLASSROOM  DAY,80
16, CAR  MINUTES LATERINT REBECCA S,81
17,EXT GROUP HOME  DAY,15
18,INT REBECCA S KITCHEN  NIGHT,103
19,INT GIANT BANQUET HALL UCLA LAW SCHOOL GRADUATION  ,91
20,EXT PUBHOUSE   MINUTES LATER,24
