1,      EXT NIXON MIDDLE SCHOOL  DAY,44
2,      EXT OFFICE BUILDING  DAY,7
3,      INT BLACKMON LAW FIRM  DAY,23
4,      INT HOWARD S OFFICE  DAY  A FEW MINUTES LATER,81
5,      INT MEREDITH S MERCEDES  DAY,14
6,      EXT GIANT FANCY HOUSE  DAY,18
7,      INT BRIE S GUEST HOUSE  THE NEXT DAY,25
8,      EXT NIXON MIDDLE SCHOOL  DAY,64
9,      INT BRIE S HOUSE  NIGHT,47
10,      INT BRIE S HOUSE  LATER ,6
11,      INT NIXON MIDDLE SCHOOL  DAY,78
12,      INT BRIE S GUEST HOUSE  A LITTLE WHILE LATER,12
13,      EXT NIXON MIDDLE SCHOOL  MORNING,23
14,      INT HALLWAY  A FEW MINUTES LATER,12
15,      INT HALLWAY BY TEACHERS  LOUNGE  A FEW MINUTES LATER,37
16,      INT TEACHERS  LOUNGE  CONTINUOUS,151
17,      INT HALLWAY  A FEW MINUTES LATER,86
18,      INT MEREDITH S CLASSROOM  DAY  A FEW MINUTES LATER,93
19,      INT BATHROOM  DAY,26
20,      EXT STREET  DAY,143
21,      EXT SCHOOL  NEXT MORNING,29
22,      INT CLASSROOM  DAY,29
23,      INT CAFETERIA  DAY,144
24,      INT PRINCIPAL CARL S OFFICE  MORNING,60
25,      INT TEACHERS  LOUNGE  DAY,91
26,      EXT  HALLWAY  CONTINUOUS,11
27,      EXT STREET  DAY,66
28,      INT BUS FIVE  DAY,71
29,      EXT LILY S NEIGHBORHOODHOUSE  DAY,25
30,      INT BRIE S HOUSE  NIGHT,52
31,      INT MEREDITH S CLASSROOM  MORNING,43
32,      INT GINNY S CLASSROOM  DAY,40
33,      INT MEREDITH S CLASSROOM  DAY,125
34,      INT HALLWAY  DAY,51
35,      INT STORAGE ROOM  DAY,50
36,      INT CAFETERIA  DAY,119
37,      EXT NIXON MIDDLE SCHOOL  A FEW MINUTES LATER,17
