1,      INT GALACTICA  CORRIDOR,292
2,      INT GALACTICA  CIC,13
3,      INT HANGAR DECK  LEE,11
4,      INT ADAMA S QUARTERS  KARA THRACE,20
5,      INT CORRIDOR  TIGH HELO AND THE MARINES,5
6,      INT ADAMA S QUARTERS  RESUME,78
7,      INT HANGAR DECK,16
8,      INT CORRIDOR  TIGH HELO AND THE MARINES,5
9,      INT CIC,12
10,      INT ADAMA S QUARTERS  KARA S SIDEARM,60
11,AAINT CORRIDOR ,5
12,      INT ADAMA S QUARTERSBB,128
13,      INT CYLON BASE SHIP  CAVIL S QUARTERS,279
14,      INT GALACTICA  TOOL ROOM,116
15,      INT GALACTICA  BRIG  JAIL CELL,160
16,      INT CYLON BASE SHIP  CONFERENCE ROOM,158
17,      INT GALACTICA  ADAMA S QUARTERS,30
18,      EXT SPACE,7
19,      INT GALACTICA  KARA S JAIL CELL,12
20,      INT GALACTICA  PILOTS  REC ROOM,99
21,      INT REC ROOM  LATER  ADAMA AND LEE,98
22,      INT GALACTICA  CIVILIAN MESS HALL,374
23,INT GALACTICA  OUTSIDE KARA S JAIL CELL ,8
24,      INT KARA S CELL,15
25,      INT CYLON BASE SHIP  MULTIPURPOSE ROOM,100
26,      INT GALACTICA  ADAMA S QUARTERS,206
27,      INT KARA S JAIL CELL,153
28,      INT BASE SHIP  HANGAR DECK,14
29,      INT GALACTICA  TYROL AND CALLY S QUARTERS,101
30,      INT GALACTICA  PILOTS  READY ROOM,10
31,      EXT GALACTICA  OUTSIDE THE HANGAR DECK,123
32,      INT DRY STOWAGE COMPARTMENT  BALTAR S HOVEL,152
33,      INT GALACTICA  HANGAR DECK,48
34,      INT CYLON BASE SHIP  CONFERENCE ROOM,104
35,      INT GALACTICA  LAUNCH TUBE  ADAMA,5
36,      EXT SPACE,4
37,      INT KARA S VIPER,11
38,      INT CYLON BASE SHIP  CONFERENCE ROOM,16
39,      INT KARA S VIPER  ADAMA,5
40,      INT BASE SHIP  CONFERENCE ROOM  CAVIL,33
41,      INT KARA S VIPER  ADAMA,4
42,      INT BASE SHIP  CONFERENCE ROOM  CAVIL,54
43,      INT KARA S VIPER  ADAMA,12
44,      INT BASE SHIP  CONFERENCE ROOM  THE CENTURIONS,6
45,      INT KARA S VIPER  ADAMA,6
46,INT BASE SHIP  CONFERENCE ROOM ,5
47,      INT KARA S VIPER  ADAMA,6
48,      INT GALACTICA  KARA S JAIL CELL,13
49,      INT GALACTICA  A CORRIDOR,4
