1, EXT CENTRAL PARK   NIGHT ,103
2, INT PIERSON S OFFICE  LAB ,17
3, INT MAXWELL S OFFICE  DAY ,159
4, EXT OUTDOOR CAFE   DAY ,139
5,    INT COLUMBIA UNIVERSITY  LECTURE BOWL  DAY,132
6, EXT THRESHOLD TO TUNNEL WORLD   NIGHT ,130
7, EXT CATHY S TERRACE  NIGHT ,13
8,    INT MAXWELL S OFFICE  MAXWELL  DAY,82
9, INT FATHER S CHAMBER  DAY ,60
10, INT COLUMBIA UNIVERSITY PIERSON S OFFICE  DAY ,149
11,    EXT CENTRAL PARK  MOVING WITH VINCENT  NIGHT,27
12, INT VAN,20
13, RESUME SCENE  INT VAN ,34
14, INT VAN,21
15, EXT DRAINAGE DUCT  NIGHT   ,58
16, INT TUNNEL  CLOSE ON KIPPER  MOVING  DAY ,17
17, EXT CITY STREETS BENNIE S POV  MOVING ,9
18, INT CATHY S APARTMENT  DAY ,40
19,    INT CATHY S BASEMENT  ON CATHY  DAY,130
20, INT COLUMBIA UNIVERSITY LAB  RIGH ANGLE   DAY ,130
21, EXT ESPLANADE  ALONG EAST RIVER  DAY ,25
22,    INT COLUMBIA UNIVERSITY LAB  DAY,9
23,A INT CATHY S APARTMENT  LIVING ROOM  NIGHT A,19
24,      INT BEDROOM,21
25,      EXT TERRACE,13
26, INT LAB  VINCENT  PIERSON,36
27,B INT LAB  DAYB,110
28, EXT CATHY S APARTMENT BUILDING  DAY ,7
29, INT CATHY S APARTMENT  DAY ,109
30, INT LAB  VINCENT S POV  DAY ,138
31, INT COLUMBIA UNIVERSITY  CORRIDOR  CLOSE ON A DOOR DAY ,17
32, INT COLUMBIA UNIVERSITY  LAB  SAME TIME ,12
33, INT DAILY INQUIRER OFFICES  DAY ,132
34, INT ANNA LAUSCH S APARTMENT  DAY ,122
35, EXT DRAINAGE DUCT  LATER   DAY ,19
36, INT COLUMBIA UNIVERSITY  SUBBASEMENT  VINCENT  DAY ,166
37, INT COLUMBIA UNIVERSITY  PIERSON S OFFICE   DAY ,143
38, INT COLUMBIA UNIVERSITY  SUB BASEMENT  DAY ,183
