1,EXT ALLEY  LOWER MANHATTAN  DAY,80
2, INT COAL BIN ,72
3, INT VINCENT S CHAMBER ,114
4, INT CATHY S APARTMENT  NIGHT ,14
5, EXT CENTRAL PARK  NIGHT ,7
6,B EXT NEAR DRAINAGE DUCT  NIGHT B,18
7, INT DUCT  NIGHT ,162
8, INT DA S OFFICE  FIELD INVESTIGATION UNIT  DAY ,86
9, EXT WAVERLY HALL  DAY ,7
10, INT WAVERLY HALL  RECEPTION AREA  DAY ,84
11, INT CHILDREN S DORMITORY ,20
12, INT CORRIDOR ,27
13, INT CLASSSROOM  CATHY S POV  THROUGH WINDOW IN THE ,21
14, INT CORRIDOR ,48
15, INT CORRIDORDORM ROOM,6
16, INT PLAYROOM,44
17, INT CORRIDOR ,59
18, INT DA S OFFICE  DAY ,107
19, INT NEW YORK PUBLIC LIBRARY  EVENING  ,122
20, INT CATHY S APARTMENT  BEDROOM  NIGHT ,23
21, EXT BROOKLYN BRIDGE  NIGHT ,28
22, INT WAVERLY HALL  DAY ,94
23, INT DETENTION ROOM  DAY ,33
24, INT BOILER ROOM ,38
25, INT WAVERLY GARAGE  DAY ,7
26, INT HALLWAY ,22
27, EXT WAVERLY  REAR ALLEY  DAY ,23
28, INT DA S OFFICE  JOE MARTEL S OFFICE  DAY,46
29,                                                            CUT TO EXT BROOKLYN FOSTER FACILITY  DAY ,13
30, INT BASEMENT  HELL S KITCHEN  DAY ,39
31, INT BROOKLYN FOSTER FACILITY  DAY ,18
32, INT BASEMENT  HELL S KITCHEN  DAY,47
33, INT BROOKLYN FOSTER FACILITY  DAY ,8
34, INT COMPUTER DATA CENTER  DAY ,64
35, EXT TINES SQUARE  DUSK ,17
36, INT CATHY S APT  BEDROOM AND TERRACE  NIGHT ,69
37, INT DEPT OF SPECIAL SERVICES FOR CHILDREN  CORRIDOR  ,64
38, INT FILE BANK   AISLES ,23
39, EXT STREET  PAY PHONE  DAY ,29
40, EXT TIMES SQUARE   STREET   DAY ,57
41, INT COFFEE SHOP ,64
42, EXT WAVERLY HALL  ALLEY  NIGHT ,52
43, INT BROOKLYN FOSTER FACILITY  ENTRANCE AND TV ROOM  ,43
44, INT HALLWAY,84
45, EXT BROOKLYN FOSTER FACILITY  STREET  NIGHT ,21
46, INT TUNNELS  VARIOUS SHOTS QUICK DISSOLVES ,9
47,  INT VINCENT S CHAMBER ,18
48, INT TUNNEL  CENTRAL PARK  NIGHT ,120
49, INT TUNNELS   VARIOUS SHOTS QUICK DISSOLVES ,29
50, INT FATHER S CHAMBER ,95
51, INT BASEMENT  HELL S KITCHEN  NIGHT ,37
52, INT BASEMENT  HELL S KITCHEN  NIGHT ,25
53,P INT TUNNELS  VINCENT S CHAMBER  NIGHT ,185
54, INT TUNNELS ,5
55, EXT NY STREETS  SERIES OF QUICK SHOTS  DAY,11
56, EXT NY STREET CORNER  DAY ,6
57, EXT NY STREETS  SERIES OF QUICK SHOTS  DAY ,9
58,         EXT NEW YORK STREET  DAY ,13
59, EXT ALLEY ,13
60, EXT DA S OFFICE AND STREET  LATE AFTERNOON ,9
61, INT CATHY S BASEMENT NIGHT,5
62, INT SUBBASEMENT NIGHT ,82
63, INT BASEMENT  HELL S KITCHEN  NIGHT ,29
64, INT TEE GIRLS  QUARTERS ,163
