1,INT FATHERS CHAMBER  DAY,937
2,INT  OUTER MAZE  DAY,182
3,INT  INNER MAZE,106
4,INT  JOE MAXWELLS OFFICE  DAY,63
5,INT  OUTER MAZE  TIGHT ON JAMIE,160
6,  INT  DAS OFFICE  EXTREME CLOSE ON CATHERINE,23
7,INT  INNER MAZE  EXTREME CLOSE ON VINCENT,85
8,INT  DAS OFFICE  DAY,43
9,INT  OUTER MAZE  DAY,109
10,INT  CATHERINES BASEMENT,23
11,INT  OLD TUNNEL  NIGHT,62
12,INT WEEDS CHAMBER  ANGLE ON WEEDS BED  DAY,109
13,INT TUNNELS  WITH CATHERINE AND WEED  DAY,76
14,INT THE OUTER MAZE  DAY,138
15,  INT INNER MAZE  IN THE DARKNESS,168
16,INT WEEDS CHAMBER  DAY,51
17,  INT A SECTION OF TUNNELS  DAY,11
18,INT DANK TUNNEL,85
19, INT INNER MAZE  DAY,49
20,   EXTA NEW YORK HIGH RISE  EST LATE AFTERNOON,7
21,    INTELLIOT BURCHS OFFICE  LATE AFTERNOON,231
22,  INNER MAZE  DAYINT,85
23,INT  A SECTION OF TUNNELS  NIGHT,38
24,INT  INNER MAZE  NIGHT,46
25,  INTDANK TUNNEL  NIGHT,77
26,INT  INNER MAZE  NIGHT,22
27,INT  DANK TUNNEL NIGHT,150
