1, INT  VINCENTS CHAMBER  NIGHT,93
2,AINT  VARIOUS TUNNELS  SERIES OF SHOTS,7
3,BINT  MIRROR POOL  NIGHT,9
4, INT  CATHYS BEDROOM  DAWN,82
5, INT  DAS OFFICE  MORNING,38
6, INT  JOES OFFICE,73
7, INT  CATHYS BEDROOM  DAWN,18
8, INT  CATHYS TERRACE  LATER,24
9, INT  CATHYS HALLWAY,31
10, INT  MIRROR POOL  DAWN,65
11, INT  JOES OFFICE  DAY,68
12, FLASHBACK  INT SUBBASEMENT,87
13, INT  FATHERS CHAMBER  DAY,139
14, INT  ELLIOTT BURCHS OFFICE  DAY,80
15, INT  PENTHOUSE TOWER  DAY,161
16, INT  CATHYS HALLWAY  AFTERNOON  WITH CATHY,28
17, INT  CATHYS APARTMENT  CONTINUOUS,89
18, INT  FATHERS CHAMBER  DAY,154
19, INT  ROCK TUNNELS  NIGHT,32
20, INT  FATHERS CHAMBER  NIGHT,67
21, INT  ELLIOTTS OFFICE  NIGHT,81
22, INT  FATHERS CHAMBER  LATER,103
23, INT  MIRROR POOL  NIGHT,77
24, INT VARIOUS TUNNELS  MONTAGE,14
25, INT  WELL  NIGHT,34
26, INT BONE TUNNELS,72
27, INT  CATACOMBS MATTE  NIGHT,43
28,AINT  ANNAS TOMB  NIGHT,118
29, INT  ELLIOTT BURCHS OFFICE  MORNING,100
30, INT  FATHERS CHAMBER  DAY,330
31, INT  VINCENTS CHAMBER  SIMULTANEOUS,28
32, INT  VINCENTS CHAMBER  NIGHT,180
33, INT  ELLIOTT BURCHS OFFICE  NIGHT,101
34, INT  SUTTON PLACE TOWER  NIGHT,113
35,AINT  FATHERS CHAMBER  NIGHT,126
36, INT  CONCRETE TUNNELS  WITH FATHER AND CATHY,114
