1,      INT MARY JANE S HOUSE  KITCHEN  WEE HOURS OF THE MORNING,60
2,      INT MARY JANE S HOUSE  HALLWAY  CONTINUOUS,68
3,      INT MARY JANE S HOUSE  MASTER BEDROOM  SECONDS LATER,18
4,      INT MARY JANE S HOUSE  MASTER BATHROOM  MOMENTS LATER,34
5,      INT MARY JANE S HOUSE  MASTER BEDROOM  MOMENTS LATER,7
6,      INT MARY JANE S HOUSE  MASTER BEDROOM  FORTY MINUTES LATER,27
7,      INT MARY JANE S HOUSE  MASTER BATHROOM  MOMENTS LATER,64
8,      INT MARY JANE S HOUSE  KITCHEN  MOMENTS LATER,15
9,      EXT MARY JANE S HOUSE  FRONT DOOR  WEE HOURS OF THE ,84
10,      INT MARY JANE S HOUSE  MASTER BEDROOM  LATER,14
11,      EXT MARY JANE S HOUSE  DRIVEWAY  LATER,12
12,      INT MARY JANE S HOUSE  TV ROOM  LATER,9
13,      INT MARY JANE S HOUSE  KITCHEN  LATER,8
14,      INT MARY JANE S HOUSE  MASTER BATHROOM  LATER,9
15,      INT MARY JANE S HOUSE  WALKIN CLOSET  LATER,12
16,      INT MARY JANE S HOUSE  LATER ,11
17,      EXT MARY JANE S HOUSE  DRIVEWAY  DAY,12
18,      INT MARY JANE S CARDRIVING  DAY,59
19,      INT MARY JANE S CARSTREET  MOMENTS LATER,16
20,      EXT STREET  CONTINUOUS,59
21,      INT SNC NEWS NETWORK OFFICES  LATER THAT MORNING,47
22,      INT SNC NEWS NETWORK OFFICES  EXECUTIVE LEVEL  MOMENTS ,33
23,      INT SNC NEWS NETWORK OFFICES  PRIVATE CONFERENCE ROOM  ,159
24,      INT PARENTS  HOUSE  BEDROOM  SAME TIME ,24
25,      INT PARENTS  HOUSE  DEN  SAME TIME ,78
26,      INT SNC NEWS NETWORK OFFICES  MAKEUP ROOM,46
27,      INT SNC NEWS NETWORK  LIVE SET  CONTINUOUS,130
28,      INT PARENTS  HOUSE  DINING ROOM  LATER THAT DAY,54
29,      EXT PARENTS  HOUSE  DAY,40
30,      INT PARENTS  HOUSE  KITCHEN  LATER,113
31,      INT MARY JANE S CARDRIVING  A LITTLE LATER,14
32,      INT MARY JANE S CAR  MINUTES LATER,237
33,      INT PARENTS  HOUSE  TV ROOM  FIFTEEN MINUTES LATER,84
34,      EXT PARENTS  HOUSE  LATER,18
35,      INT BOUTIQUE STORE  LATER THAT EVENING,75
36,      INT KARA S HOUSE  STAIRS  SAME TIME,92
37,      INT HALO LOUNGE  A LITTLE LATER,67
38,      INT MARY JANE S HOUSE  LATER THAT NIGHT,9
39,      INT MARY JANE S HOUSE  KITCHEN  CONTINUOUS,9
40,      INT MARY JANE S HOUSE  WATER CLOSET  LATER,8
41,      INT MARK BRADLEY S HOUSE  BEDROOM  SAME TIME,35
42,      INT MARY JANE S HOUSE  MASTER BATHROOM  LATER THAT NIGHT,10
43,      INT MARY JANE S HOUSE  MASTER BEDROOM  MOMENTS LATER,11
44,      INT SNC NEWS NETWORK  LIVE SET  NEXT DAY,96
45,      INT DR HUDSON S OFFICE  EXAMINATION ROOM  LATER THAT DAY,157
46,      INT MARY JANE S CARDRIVING  A LITTLE LATER,205
47,      INT TARGET  MOMENTS LATER,131
48,      INT SNC NEWS NETWORK OFFICES  THE NEXT DAY,94
49,      INT MARY JANE S HOUSE  KITCHEN  NIGHT,30
50,      INT MARK BRADLEY S HOUSE  CONTINUOUS,56
51,      EXT MARY JANE S HOUSE  NIGHT,8
52,      EXT MARY JANE S NEIGHBORHOOD  NIGHT  MOMENTS LATER,11
53,      INT MARK BRADLEY S HOUSE  KITCHEN  NIGHT,85
54,      INT SNC NEWS NETWORK OFFICES  MARY JANE S FISHBOWL  LATER ,15
55,      INT SNC NEWS NETWORK OFFICES  BREAK ROOM  LATER THAT NIGHT,10
56,      INT SNC NEWS NETWORK OFFICES  MARY JANE S FISHBOWL  ,58
57,      INT SNC NEWS NETWORK OFFICES  WOMEN S BATHROOM  LATER THAT ,8
58,      INT SNC NEWS NETWORK OFFICES  MARY JANE S FISHBOWL  A ,12
59,      INT SNC NEWS NETWORK OFFICES  BULLPEN  MOMENTS LATER,9
60,      INT SNC NEWS NETWORK OFFICES  MARY JANE S FISHBOWL  A ,18
61,      INT MARY JANE S CARDRIVING  NIGHT,17
62,      INT KARA S HOUSE  BEDROOM  SAME TIME,68
63,      EXT WAFFLE HOUSE  MIDNIGHT,46
64,      INT SNC NEWS NETWORK OFFICES  THE NEXT DAY,23
65,      INT PARENTS  HOUSE  LATER THAT EVENING,48
66,      INT SNC NEWS NETWORK  LIVE SET  NEXT DAY,8
67,      INT SNC NEWS NETWORK  LIVE SET  MOMENTS LATER,18
68,      INT MARY JANE S HOUSE  DAYS LATER,25
69,      INT MARY JANE S HOUSE  KITCHEN  A LITTLE LATER,24
70,      EXT MARY JANE S HOUSE  MOMENTS LATER,47
71,      INT BOUTIQUE STORE  LATER THAT EVENING,14
72,      INT MARY JANE S HOUSE  WALKIN CLOSET  LATER THAT EVENING,13
73,      INT MARY JANE S HOUSE  HALL  CONTINUOUS,29
74,      INT MARY JANE S HOUSE  MASTER BEDROOM  LATER,44
75,      INT SNC NEWS NETWORK  LIVE SET  A FEW DAYS AGO ,28
76,      INT MARY JANE S HOUSE  KITCHEN  DAY,19
