1,      EXT FIRMWOOD COUNTRY CLUB  DAY,44
2,      INT SUPPLY CLOSET  FIRMWOOD  CONTINUOUS,51
3,      INT OAK ROOM  FIRMWOOD,92
4,      INT HALLWAY  FIRMWOOD,38
5,      INT DINING ROOM  FIRMWOOD,88
6,      INT DINING ROOM  FIRMWOOD,57
7,      EXT LOUNGE  FIRMWOOD,45
8,      INT MAIN DINING ROOM  MOMENTS LATER,35
9,      EXT FIRMWOOD  CONTINUOUS,64
10,      INT BRODY S HOME GYM  NEXT DAY,8
11,      INT JAMES  BEDROOM,91
12,      INT COUPLES  THERAPIST S OFFICE  DAY,73
13,      INT DUNCAN S OFFICE  DAY,89
14,      INT AMERIMART CORPORATE HEADQUARTERS  DAY,29
15,      INT JAMES  OFFICE  CONTINUOUS,51
16,      EXT GOLF COURSE  FIRMWOOD,65
17,      EXT GOLF COURSE  LATER,176
18,      INT OAK ROOM  FIRMWOOD  NIGHT,122
19,      INT MEN S ROOM  FIRMWOOD,75
20,      INT RESTAURANT  NEW YORK CITY  DAY,110
21,      INT HOTEL ROOM  DAY,72
22,      INT COUPLES  THERAPIST S OFFICE  DAY,55
23,      INT BRODY S CAR  MOVING,37
24,      EXT HIGHWAY REST STOP  ROSCOE NY  LATER,124
25,      EXT JAMES  HOUSE  NIGHT,132
26,      INT JAMES  OFFICE  NEXT DAY,70
27,      INT REVNET CONFERENCE ROOM  DAY,60
28,      INT COPY ROOM  REVNET  LATER,55
29,      INT AMERIMART BOARD ROOM  DAY,120
30,      INT HOTEL ROOM  DAY,112
31,      INT STEAM ROOM  FIRMWOOD  LATER,192
32,      EXT KARL S HOUSE  LATER,24
33,      EXT KARL S HOUSE  LATER,6
34,      INT KARL S HOUSE  CONTINUOUS,33
35,      INT LISBETH S HOUSE  NIGHT,121
36,      INT JAMES  OFFICE  DAY,151
37,      INT KARL S HOUSE  LATER,78
38,      INT COPY ROOM  REVNET  FRIDAY NIGHT,34
39,      INT FIRMWOOD COUNTRY CLUB  LATER  NIGHT,53
40,      INT PARTY  CONTINUOUS,56
41,      INT SUPPLY CLOSET  FIRMWOOD,35
42,      EXT FIRMWOOD COUNTRY CLUB  MOMENTS LATER,62
43,      EXT FIRMWOOD COUNTRY CLUB  POOL,98
44,      INT PARTY  FIRMWOOD COUNTRY CLUB  LATER,87
