1,      INT MADISON SQUARE GARDEN  CONCOURSE  DAY,299
2,      EXT MADISON SQUARE GARDEN  CONTINUOUS,252
3,      INT CROWN VIC  SAME TIME ,17
4,      EXT BRONX STREET  DAY,166
5,      INT POLICE PLAZA HQ  CHIEF S OFFICE  THURSDAY NIGHT,13
6,      INT PRECINCT SQUAD ROOM  SAME TIME ,87
7,      EXT IRAQ DESERT  CHECKPOINT OUTSIDE BAGHDAD  DAY,30
8,      INT DETECTIVE S BREAK ROOM  PREDAWN  FRIDAY MORNING,8
9,      INT PRECINCT SQUAD ROOM  CONTINUOUS,40
10,      INT PRECINCT SQUAD ROOM  LATER,47
11,      INT UNMARKED CROWNVIC  MOVING  EARLY FRIDAY MORNING  ,23
12,      EXT EAST VILLAGE  CONTINUOUS ,28
13,      INT BASEMENT TENEMENT  CONTINUOUS,74
14,      EXT EAST VILLAGE TENEMENT  CONTINUOUS,27
15,      EXT ONE POLICE PLAZA  DOWNTOWN MANHATTAN  FRIDAY,64
16,      INT POLICE PLAZA  ENTRY CONCOURSE  A SHORT TIME LATER,55
17,      INT PRECINCT SQUAD ROOM  DAY ,29
18,      INT PATROL CAR  MOVING  DAY,85
19,      EXT BANSEABELE HOUSE  LINDENHURST  DAY,66
20,      INT BANSEABELE HOUSE  LIVING ROOM  CONTINUOUS,41
21,      EXTINT  CROWN VIC  MOVING  DAY,17
22,      EXT LINCOLN INN  YONKERS  CONTINUOUS,59
23,      EXT LINCOLN INN  YONKERS  MOMENTS LATER,35
24,      INT LINCOLN INN  MOTEL ROOM  CONTINUOUS,135
25,      INT CROWN VIC  MOVING ,22
26,      EXT REMOTE STORAGE FACILITY  FRIDAY  ,63
27,      INT JUDGE S CHAMBERS  LATE FRIDAY,153
28,      INT COURTHOUSE HALLWAY  MOMENTS LATER,61
29,      INT DETECTIVE S BREAK ROOM  SATURDAY AFTERNOON,127
30,      INT DRESSLER S WILLIAMSBURG  SATURDAY NIGHT,83
31,      EXT DRESSLER S  NIGHT,95
32,      INT DETECTIVE S SQUAD ROOM  VERY LATE NIGHT,29
33,      EXT BAY RIDGE  TREELINED STREET  SUNDAY,6
34,      INT REAGAN HOUSE  LIVING ROOM  SUNDAY ,366
35,      INT REAGAN KITCHEN  A SHORT TIME LATER,128
36,      INT DETECTIVE S SQUAD ROOM  LATE SUNDAY AFTERNOON,42
37,      INT DETECTIVE S SQUAD ROOM  EARLY MONDAY MORNING  ,94
38,      EXT RON BANSE S HOUSE  LINDENHURST  DAY,42
39,      INT DA S OFFICE  DOWNTOWN MANHATTAN  DAY,68
40,      INT SYDNEY S PARK SLOPE BEDROOM  ALMOST DAWN  TUESDAY,21
41,      EXT PROSPECT PARK  PREDAWN,29
42,      INT GREEN CAR  CONTINUOUS,119
