1,      EXT RUTTED COUNTRY ROAD  NIGHT X,120
2,      EXT BATH  UNIVERSITY  FLYOVER  DAY ,15
3,      EXT UNIVERSITY  CAMPUS  DAY AA,8
4,      INT UNIVERSITY  LECTURE ROOM  DAY ,48
5,      EXT LARKHALL  OPEN GROUND  DAY ,98
6,      EXT DIG SITE  DAY ,48
7,      INT DIG SITE  OPS TENT  DAY ,126
8,      EXT DIG SITE  DAY ,24
9,      EXT RUTTED COUNTRY ROAD  TH CENTURY  NIGHT X,16
10,      INT BEDSIT  DAY ,107
11,      INT DIG SITE  OPS TENT  DAY ,9
12,      EXT DIG SITE  DAY ,32
13,      EXT DIG SITE  LATER  DAY ,17
14,      EXT DIG SITE DAY ,32
15,      EXT DIG SITE  DAY ,95
16,      INT BEDSIT  DAY ,42
17,      EXT UNIVERSITY  NIGHT ,7
18,      INT UNIVERSITY  FUNCTION ROOM  NIGHT ,47
19,      EXT DIG SITE  NIGHT ,53
20,      INT UNIVERSITY  FUNCTION ROOM  NIGHT ,110
21,      INT UNIVERSITY  LAB  NIGHT ,71
22,      INT UNIVERSITY  LAB  LATER  NIGHT ,37
23,      INT UNIVERSITY  LAB  ARCHIVE  NIGHT ,45
24,      INT BEDSIT  NIGHT ,27
25,      INT UNIVERSITY  LAB  NIGHT ,9
26,      INT UNIVERSITY  LAB  ARCHIVE  NIGHT ,121
27,      INT LAYGASS S OFFICE  NIGHT ,17
28,      INT MAYFIELD HOSPICE  PRIVATE ROOM  NIGHT ,19
29,      INT UNIVERSITY  LAB  NIGHT ,23
30,      INT BEDSIT  PREDAWN AA,21
31,      INT MUSLIM CENTRE  DAWN BB,105
32,      INT UNIVERSITY  LAB  DAY ,180
33,      EXT UNIVERSITY  CAMPUS  DAY AA,66
34,      INT UNIVERSITY  MASTIFF S OFFICE  DAY ,27
35,      INT UNIVERSITY  LAB  DAY ,18
36,      INT MAYFIELD HOSPICE  PRIVATE ROOM  DAY AA,28
37,      INT UNIVERSITY  ARCHIVE  DAY ,58
38,      EXT BEDSIT  DAY ,12
39,      INT UNIVERSITY  LAB  DAY ,52
40,      EXT ALLEY WAY  DAY ,67
41,      EXT BIRMINGHAM CITY STREETS  DAY ,54
42,      EXT DIG SITE  DAY ,46
43,      EXT MAYFIELD HOSPICE  DAY ,74
44,      INT GILLIAN S FLAT  DAY ,61
45,      INT DIG SITE  OPS TENT  DAY ,23
46,      INT GILLIAN S FLAT  DAY AA,12
47,      EXT GILLIAN S FLAT  DOOR  DAY BB,7
48,      INT GILLIAN S FLAT  DAY CC,11
49,      INT GILLIAN S FLAT  SECRET ROOM  DAY DD,18
50,      INT UNIVERSITY  LAB  DAY ,68
51,      INT GILLIAN S FLAT  DAY ,25
52,      INT UNIVERSITY  LAB  EVENING ,60
53,      EXT DIG SITE  NIGHT ,17
54,      INT DIG SITE  OPS TENT  NIGHT ,111
55,      INT UNIVERSITY  LAB  ARCHIVE  NIGHT ,25
56,      EXT RUTTED ROAD  TH CENTURY  NIGHT X,25
57,      INT UNIVERSITY  LAB  ARCHIVE  NIGHT ,20
58,      EXT RUTTED ROAD  TH CENTURY  NIGHT X,14
59,      INT UNIVERSITY  LAB  ARCHIVE  NIGHT ,11
60,      EXT RUTTED ROAD  TH CENTURY  NIGHT X,12
61,      INT UNIVERSITY  LAB  ARCHIVE  NIGHT ,36
62,      EXT CITY BACK STREET  NIGHT ,28
63,      INT ECCLESIASTICAL LIBRARY  NIGHT ,56
64,      INT UNIVERSITY  LAB  ARCHIVE  NIGHT ,63
65,      EXT RUTTED COUNTRY ROAD  TH CENTURY  NIGHT X,8
66,      INT UNIVERSITY  LAB  ARCHIVE  NIGHT ,55
67,      EXT MOTORWAY  NIGHT ,6
68,      INT WHITE WINGS ALLIANCE  RECEPTION  NIGHT ,27
69,      INT LAYGASS OFFICES  NIGHT ,22
70,      INT UNIVERSITY  LAB  NIGHT ,20
71,      INT LAYGASS OFFICES  NIGHT ,31
72,      EXT COUNTRY LANE  MORNING ,136
73,      INT UNIVERSITY  LAB  DAY ,15
74,      EXT GARWAY  LANE  DAY ,49
75,      EXT GARWAY  GARDEN  DOVECOTE  DAY ,20
76,      INT DOVECOTE  DAY ,37
77,      EXT GARWAY  LANE  DAY ,9
78,      INT DOVECOTE  DAY ,15
79,      INT DOVECOTE  UNDERGROUND CHAMBER  DAY ,14
80,      INT DOVECOTE  DAY ,13
81,      INT DOVECOTE  UNDERGROUND CHAMBER  DAY ,39
82,      INT DOVECOTE  DAY ,14
83,      INT DOVECOTE  UNDERGROUND CHAMBER  DAY ,60
84,      INT DOVECOTE  DAY ,67
85,      INT DOVECOTE  UNDERGROUND CHAMBER  DAY ,27
86,      INT DOVECOTE  DAY ,14
87,      INT DOVECOTE  UNDERGROUND CHAMBER  DAY ,12
88,      INT DOVECOTE  DAY AA,8
89,      INT DOVECOTE  UNDERGROUND CHAMBER  DAY BB,61
90,      EXT GARWAY  GARDEN  DOVECOTE  DAY ,49
91,      INT DOVECOTE  UNDERGROUND CHAMBER  DAY ,17
92,      INT PUB  DAY ,63
93,      EXT MAYFIELD HOSPICE  DAY ,28
94,      INT UNIVERSITY  LAB  ARCHIVE  DAY ,45
95,      INT SWAN HOUSE CARE HOME  ROOM  DAY ,36
