1,  INT BULLPEN  JAKE S DESK  MORNING DARAR,235
2,  INT JAKE S APARTMENT  EARLIER  FLASHBACK DARAR,5
3,  INT BULLPEN  BACK TO SCENE DARAR,96
4,ARARINT BRIEFING ROOM  MORNING D ,110
5,  INT BULLPEN  LATER D,46
6,  INT BAR  FLASHBACK  WEEKS AGO FBN,10
7,  INT BULLPEN  BACK TO SCENE D,31
8,  INT BULLPEN  TERRY S DESK  LATERARAR,22
9,  INT BULLPEN  FLASHBACK  THREE MONTHS AGO FBNBRBR,24
10,  INT BULLPEN  BACK TO SCENE DCRCR,20
11,  INT BULLPEN  LATER D,59
12,  INT HOSPITAL ROOM  FLASHBACK  THREE YEARS AGO FBD,9
13,  INT BULLPEN  BACK TO SCENE D,33
14,  INT TERRY S MINIVAN  BROOKLYN STREET DARAR,100
15,  EXT BROOKLYN STREET  CONTINUOUS DBRBR,29
16,  INT BULLPEN  JAKE S DESK  LATER D,6
17,  INT BULLPEN  JAKE S DESK  LATER DARAR,71
18,  INT DRUG DEALER S APARTMENT  LATER D,87
19,  INT BULLPEN  JAKE S DESK  LATER D,108
20,  INT BULLPEN  GINA S DESK  SAME TIME D,39
21,  INT BULLPEN  TERRY S DESK  LATER DARAR,53
22,INT BULLPEN  JAKE S DESK  LATER D  ,28
23,  INT EVIDENCE LOCKER  LATER D,50
24,  INT HOLT S OFFICE  LATER D,64
25,  INT BREAK ROOM  LATER D,58
26,  INT BRIEFING ROOM  LATER D,113
27,  INT BULLPEN  LATER D,96
28,  INT HOLT S OFFICE  LATER D,84
29,  INT KITCHEN  LATER D,29
30,  EXT BROOKLYN APARTMENT BUILDING  LATER D,85
31,  EXT TH PRECINCT  ESTABLISHING  NEXT DAY D,2
