1,      EXT LAS VEGAS  NIGHT ,49
2,      INT HILTON SHOWROOM  SAME TIME ,372
3,      INT MICHELLE S BEDROOM  MORNING  ,17
4,      EXT VEGAS STRIP  MORNING ,5
5,      EXT MIRAGE  MOMENTS LATER,32
6,      INT HOTEL  MOMENTS LATER,12
7,      INT THEATRE  CONTINUOUS,125
8,      INT MICHELLE S APARTMENT  NIGHT,19
9,      EXT MICHELLE S APARTMENT  CONTINUOUS,32
10,      INT BACKSTAGE  THE NEXT NIGHT,142
11,      INT FANCY RESTAURANT  LATER,253
12,      EXT HUBBELL S CAR  MORNING ,22
13,      EXT FLOWER S DANCE ACADEMY  DAY ,6
14,      INT FLOWERS DANCE ACADAMY  CONTINUOUS,159
15,      EXT PARADISE  SAME TIME ,4
16,      INT CAR  CONTINUOUS,21
17,      INT FLOWERS DANCE ACADAMY  A LITTLE LATER  ,87
18,      INT HUBBELL S HOUSE  SAME TIME ,39
19,      INT KITCHEN  CONTINUOUS,32
20,      INT HUBBELLS HALLWAY  MOMENTS LATER,15
21,      INT HUBBELL S ROOM  CONTINUOUS,125
22,      INT HALLWAY  CONTINUOUS,11
23,      EXT HOUSE  MOMENTS LATER,327
24,      EXT PARADISE TOWN CENTER  A LITTLE LATER ,8
25,      INT SPARKLES  CONTINUOUS,200
26,      EXT HUBBELL S HOUSE  EVENING,6
27,      INT LIVING ROOM  SAME TIME ,64
28,      INT DANCE STUDIO  SAME TIME ,101
29,      INT HUBBELL S ROOM  SAME TIME ,11
30,      INT LIVING ROOM  MOMENTS LATER,148
31,      INT HUBBELL S ROOM  CONTINUOUS,115
32,      INT LIVING ROOM  A LITTLE WHILE LATER,194
33,      INT KITCHEN  CONTINUOUS,44
34,      INT DANCE STUDIO  A LITTLE WHILE LATER,75
35,      EXT DANCE STUDIO  SAME TIME ,18
36,      INT DANCE STUDIO  CONTINUOUS,537
37,      EXT OYSTER SHACK BAR  NIGHT,7
