1,INT ND LOCATION  NIGHT,297
2,INT NATIONAL MOB MUSEUM   FOYER  NIGHT ,21
3,INT MOB MUSEUM  THE BOSS OF FAME EXHIBIT  NIGHT,36
4,INT MOB MUSEUM  FOYER  NIGHT  ,18
5,INT MOB MUSEUM  THE BOSS OF FAME EXHIBIT  NIGHT ,176
6,INT MOB MUSEUM   NEAR THE PODIUM  NIGHT MINUTES LATER,100
7,INT MOB MUSEUM  BACK OF EXHIBIT HALL  NIGHT CONTINUOUS,50
8,EXT MOB MUSEUM   BACK ALLEY   NIGHT MOMENTS LATER,52
9,INT ECLIPSE CASINO  PENTHOUSE FLOOR HALLWAY  DAY,23
10,INT ECLIPSE CASINO  PENTHOUSE SUITE  DAY CONTINUOUS  ,18
11,INT ECLIPSE CASINO  PENTHOUSE BEDROOM  DAY CONTINUOUS,115
12,INT ECLIPSE CASINO  PENTHOUSE BEDROOM  NIGHT VERSION,36
13,INT ECLIPSE CASINO  PENTHOUSE BEDROOM  NIGHT VERSION,27
14,EXT LAS VEGAS SKYLINE  ESTABLISHING  DAY,3
15,INT MOB MUSEUM  STAGE  DAY,99
16,INT DESERT PALM HOSPITAL  OSCAR GOODMANS ROOM  DAY ,91
17,INT ECLIPSE  PENTHOUSE HALLWAY  DAY MOMENTS LATER,11
18,INT ECLIPSE  SECOND PENTHOUSE SUITE  DAY CONTINUOUS,85
19,INT ECLIPSE CASINO  PENTHOUSE BEDROOM  DAY ,53
20,INT CORONERS OFFICE  AUTOPSY ROOM A  DAY,86
21,EXT LAS VEGAS SKYLINE  ESTABLISHING  DAY,3
22,INT PD  INTERROGATION ROOM A  DAY,96
23,EXT LAS VEGAS SKYLINE  ESTABLISHING  DAY,10
24,INT CSI  BALLISTICS  DAY ,47
25,INT CSI  HALLWAY  DAY,59
26,INT CSI  FINGERPRINT LAB  DAY CONTINUOUS,84
27,INT CSI  HALLWAY  DAY,7
28,INT CSI  RUSSELLS OFFICE  DAY,87
29,INT PD   BRASS OFFICE   DAY,106
30,INT CSI  AV LAB  DAY,76
31,EXT LAS VEGAS SKYLINE  ESTABLISHING  DAY,3
32,INT PD  INTERROGATION ROOM A  DAY ,62
33,EXT NATIONAL MOB MUSEUM  BACK ALLEY  DAY,79
34,EXT LAS VEGAS SKYLINE  ESTABLISHING  DAY,3
35,INT CSI  LAYOUT ROOM  DAY,96
36,INT PD  INTERROGATION ROOM B  DAY,60
37,INT ECLIPSE CASINO  PENTHOUSE BEDROOM  NIGHT VERSION,30
38,INT CSI  BALLISTICS  DAY,51
39,INT NATIONAL MOB MUSEUM  BACK OF EXHIBIT HALL  DAY,48
40,INT MOB MUSEUM  BACK OF EXHIBIT HALL  NIGHT VERSION,41
41,INT CSI  HALLWAY  DAY,40
42,INT CSI  EVIDENCE LOCKER  DAY MOMENTS LATER,69
43,INT PD  INTERROGATION ROOM A  DAY LATER,80
44,INT ECLIPSE CASINO  PENTHOUSE BEDROOM  NIGHT FLASHBACK,24
45,INT ECLIPSE CASINO  PENTHOUSE BEDROOM  NIGHT FLASHBACK,45
46,EXT LAS VEGAS SKYLINE  ESTABLISHING  DAY,3
47,INT CSI  LAYOUT ROOM  DAY ,89
48,EXT MOTEL  DAY,28
49,INT MOTEL  SAPPHIRES ROOM  DAY ,57
50,AEXT NATIONAL MOB MUSEUM  BACK ALLEY  NIGHT VERSIONA,7
51,BINT CADILLAC COUPE DE VILLE  NIGHT CONTINUOUS  VERSIONB,42
52,EXT LAS VEGAS SKYLINE  ESTABLISHING  NIGHT,3
53,INT PD  RECEPTION  NIGHT,49
54,INT CSI  RUSSELLS OFFICE  DAY,41
55,INT MAUSOLEUM  STAIRWAY  DAY,36
56,INT MAUSOLEUM  DAY CONTINUOUS,30
57,INT PD  INTERROGATION ROOM A  DAY ,50
58,INT PD  HALLWAY  DAY,49
59,INT PD  INTERROGATION ROOM A  DAY SAME TIME,18
60,INT NATIONAL MOB MUSEUM  EXHIBIT HALL  NIGHT VERSION,18
