1,EXTINT CAMPUSHALLWAY  ESTABLISHING DAY ,117
2,INT SPANISH CLASSROOM  CONTINUOUS,147
3,INT STATISTICS CLASSROOM  LATER,71
4,INT HALLWAY  CONTINUOUS,130
5,EXT LIBRARY  LATER,51
6,INT STUDY ROOM   PM,166
7,INT LIBRARY  CONTINUOUS,46
8,INT STUDY ROOM  A LITTLE LATER,71
9,EXT CAMPUS  CONTINUOUS,8
10,INT STUDY ROOM  CONTINUOUS,56
11,INT CAFETERIA  TWENTY MINUTES LATER,218
12,INT HALLWAY  NIGHTAA,12
13,INT PROFESSOR SLATER S OFFICE  LATER,89
14,INT STUDY ROOM  A LITTLE LATER,35
15,INT CAFETERIA  LATER,83
16,EXT LIBRARY  A FEW MINUTES LATER,77
17,INT STUDY ROOM  LATER,93
18,INT STUDY ROOM  A FEW MINUTES LATER,7
