1,INT ADMIN BUILDING HALLWAY  DAY DAY ,124
2,INT ADMIN MEETING ROOM  DAY,131
3,EXT PARKING LOT  DAY DAY ,26
4,EXT PARKING LOT  MORNING DAY ,78
5,INT CLASSROOM  DAY,10
6,EXT PARKING LOT  DAY,50
7,INT SPACE BUS,229
8,EXT PARKING LOT  DAY,18
9,EXT ROAD  DAY DAY ,5
10,INT SPACE BUS  CONTINUOUS,61
11,INT STUDY ROOM  CONTINUOUS,99
12,INT SPACE BUS  CONTINUOUS,141
13,INT STUDY ROOM,72
14,INT SPACE BUS  CONTINUOUS,169
15,INT STUDY ROOM,13
16,INT SPACE BUS,18
17,INT STUDY ROOM  CONTINUOUS,7
18,INT SPACE BUS  CONTINUOUS,15
19,EXT FIELD  DAY,8
20,INT STUDY ROOM  CONTINUOUS,25
21,INT SPACE BUS,14
22,INT SPACE BUS  DAY,101
23,INT STUDY ROOM  MOMENTS LATER,86
24,EXT COUNTRY ROAD  CONTINUOUS,4
25,INT SPACE BUS  CAB,8
26,EXT QUAD  A LITTLE LATER,6
27,INT SPACE BUS  CONTINUOUS,7
28,INT STUDY ROOM  CONTINUOUS,7
29,INT SPACE BUS  CAB,11
30,EXT COUNTRY ROAD  CONTINUOUS,4
31,INT SPACE BUS,13
32,EXT QUAD,100
