1,      INT CRAMPED BACK STAIRWAY ANCIENT BUILDING  DAY,90
2,      EXT RIVERSIDE QUAI  DAY,18
3,      EXT WINDING MARAIS STREET  DAY,17
4,      EXT RUE DU TR SOR   DAY,188
5,      EXT MARAIS CAFE  DAY,18
6,      INT CAFE DU FLORE  DAY YEARS BEFORE,45
7,      EXT MARAIS CAFE  DAY PRESENT,15
8,      INT CAFE DU FLORE  DAY YEARS BEFORE,14
9,      EXT MARAIS CAFE  DAY,12
10,      EXT BLVD ST GERMAIN  LATE AFTERNOON YEARS BEFORE,22
11,      EXT QUAI LEFT BANK  STILL LATER YEARS BEFORE,15
12,      INT MERCEDES HEADING WEST  LATE AFTERNOON YEARS BEFORE,46
13,      EXT MARAIS CAFE  DAY,11
14,      INTEXT MERCEDES  LATE AFTERNOON YEARS BEFORE,28
15,      EXT MARAIS CAFE  DAY,7
16,      EXT NANTERRE NOWHERE LAND  NIGHT YEARS BEFORE,24
17,      EXT A VERDANT STREET W NICE HOUSES  NIGHT YEARS BEFORE,16
18,      EXT NANTERRE CHALET  NIGHT YEARS BEFORE,21
19,      EXT RUE VIEILLE DU TEMPLE  DAY,15
20,      EXT NANTERRE CHALET TERRACE  NIGHT YEARS BEFORE,10
21,      EXT MARAIS CAFE TERRACE  DAY,57
22,      INTEXT  MARAIS CAFE  DAY,236
23,      INT PONT DE NEUILLY STATION  NIGHT,15
24,      EXT AVENUE CHARLES DE GAULLE  NIGHT,36
25,      EXT NEUILLY RESIDENTIAL STREET  NIGHT,12
26,      INT HALL BECKER APARTMENT  NIGHT,115
27,      INT HALLWAY BECKER APARTMENT  NIGHT,18
28,      INT KITCHEN  PANTRY BECKER APARTMENT  NIGHT,69
29,      INT SALON BECKER APARTMENT  NIGHT,7
30,      INT BECKER APARTMENT CENTRAL HALL  NIGHT,40
31,      INT KITCHEN  PANTRY BECKER APARTMENT  NIGHT,44
32,      INT BECKER PARTY SALON  NIGHT,27
33,      INT KITCHEN  PANTRY BECKER APARTMENT  NIGHT,34
34,      INT PARTY ELSEWHERE BECKER APARTMENT  NIGHT,48
35,      INT SALON BECKER APARTMENT  NIGHT,26
36,      INT ELSEWHERE BECKER APARTMENT  NIGHT,8
37,      EXT BALCONY BECKER APARTMENT  NIGHT,126
38,      INT MASTER BEDROOM BECKER APARTMENT  NIGHT,55
39,      INT  HALLWAY BECKER APARTMENT  NIGHT,40
40,      INT FOYER BECKER APARTMENT  NIGHT,11
41,      INT BECKER APARTMENT SALON  NIGHT,54
42,      INT FOYER BECKER APARTMENT  NIGHT,51
43,      INT  SALON BECKER APARTMENT  NIGHT,27
44,      EXT NEUILLY RESIDENTIAL STREET  NIGHT,8
45,      INT BECKER PARTY SALON  NIGHT,8
46,      INT FOYER BECKER APARTMENT  NIGHT,142
47,      EXT NEUILLY RESIDENTIAL STREET  NIGHT,140
48,      EXT PARIS STREETS  NIGHT,7
