1,ABC S         EXT HOLLYWOOD HILLS SCRUBLAND  NIGHT,143
2,      EXT HOLLYWOOD HILLS STREET  NIGHT,21
3,      EXT SUNSET BLVD SIDEWALK  NIGHT,9
4,      INT BORDER S BOOKS  NIGHT,4
5,      INT BORDER S BOOKS NDFLOOR  CONTINUOUS,6
6,      INT BORDER S BOOKS READING ROOM  NIGHT,72
7,      INT CEDARSSINAI MENTAL HEALTH CENTER  NIGHT,36
8,      INT CEDARSSINAI MENTAL HEALTH CENTER OFFICE  CONTINUOUS,132
9,      INT CEDARSSINAI MENTAL HEALTH CENTER HALLWAY  DAY,20
10,      INT CEDARSSINAI MENTAL HEALTH CENTER REC ROOM  DAY,68
11,      INT CEDARSSINAI HOSPITAL GLASS BRIDGE  DAY,35
12,      INT CEDARSSINAI MENTAL HEALTH CENTER REC ROOM  DAY,29
13,      INT CEDARSSINAI MENTAL HEALTH CENTER OFFICE  DAY,170
14,      INT CEDARSSINAI MENTAL HEALTH CENTER REC ROOM  NIGHT,19
15,      INT CEDARSSINAI MENTAL HEALTH CENTER HEARING ROOM  DAY,61
16,      EXT CEDARSSINAI MENTAL HEALTH CENTER  DAY,97
17,      EXT HOLLYWOOD  HIGHLAND ESCALATORS  DAY,10
18,      EXT HOLLYWOOD BOULEVARD  NIGHT,22
19,      INT BEVERLY HILLS INVESTIGATIONS  DAY,78
20,      EXT TRES EQUIS CANTINA  DAY,12
21,      INT TRES EQUIS CANTINA  CONTINUOUS,5
22,      INT TRES EQUIS CANTINA  OFFICE  CONTINUOUS,56
23,      INT BORDER S BOOKS READING ROOM  NIGHT,214
24,      INT TRES EQUIS CANTINA  NIGHT,18
25,      INT TRES EQUIS CANTINA  LATER,124
26,      INT MEN S RESTROOM  SAME TIME,5
27,      INT TRES EQUIS CANTINA  NIGHT,32
28,      INT MEN S RESTROOM  SAME TIME,6
29,      INT TRES EQUIS CANTINA  NIGHT,142
30,      INT TRES EQUIS CANTINA  NIGHT,37
31,      INT TRES EQUIS CANTINA  OFFICE  CONTINUOUS,5
32,      INT TRES EQUIS CANTINA  NIGHT,70
33,      INT TRES EQUIS CANTINA  OFFICE  NIGHT,9
34,      INT CANTER S DELI  NIGHT,112
35,      INT FELIX S BEDROOM  DAY,7
36,      INT LIVING ROOM  MOMENTS LATER,5
37,      INT TREVOR S BEDROOM  DAY,102
38,      INT LOS ANGELES TIMES  DAY,100
39,      EXT SANTA MONICA PIER  NIGHT,28
40,      EXT SANTA MONICA PIER ARCADE  MOMENTS LATER,90
41,      EXT PARKING LOT NEXT TO SANTA MONICA PIER  NIGHT,10
42,      EXT SANTA MONICA PIER  NIGHT,37
43,      EXT SANTA MONICA FERRIS WHEEL  NIGHT,58
44,      EXT THE SKY BAR  NIGHT,58
45,      INT SKY BAR  MOMENTS LATER,15
46,      EXT SKY BAR  NIGHT,27
47,      INT LOS ANGELES TIMES  NIGHT,14
48,      INT CEDARSSINAI MENTAL HEALTH CENTER SECURITY OFFICE  DAY,10
49,      INT BEVERLY HILLS INVESTIGATIONS  SAME TIME  INTERCUT,30
50,      EXT HOLLYWOOD HOSTEL  DAY,53
51,      INT CEDARSSINAI MENTAL HEALTH CENTER OFFICE  DAY,27
52,      EXT MARINA PARKING LOT  DAY,5
53,      EXT MARINA  DAY,52
54,      INT CEDARSSINAI MENTAL HEALTH CENTER OFFICE  DAY,87
55,      EXT PACIFIC DESIGN CENTER PLAZA  DAY,101
56,      INT CEDARSSINAI MENTAL HEALTH CENTER OFFICE  LATER,7
57,      INT TRES EQUIS CANTINA  OFFICE  NIGHT,9
58,      INT TRES EQUIS CANTINA  NIGHT,15
59,      INT TRES EQUIS CANTINA  LATER,99
60,      INT TREVOR S BEDROOM  NIGHT,11
61,      INT CANTER S DELI  NIGHT,67
62,      INT TRES EQUIS CANTINA  DAY,31
63,      INT CEDARSSINAI MENTAL HEALTH CENTER HEARING ROOM  DAY,17
64,      INT TRES EQUIS CANTINA  INTERCUT,21
65,      INT LOS ANGELES TIMES  NIGHT,18
66,      EXT DISNEYHALL  NIGHT,11
67,      INT ELEVATOR  NIGHT,20
68,      INT RESTAURANT  NIGHT,79
69,      EXT PRUDENTIAL BUILDING ROOFTOP  NIGHT,10
70,      INT PRUDENCE S BEDROOM  DAY,15
71,      INT CLAIRE S OFFICE  DAY,60
72,      EXT HOLLYWOOD BOULEVARD  DAY,5
73,      INT HOLLYWOOD HOSTEL  CONTINUOUS,18
74,      INT TRES EQUIS CANTINA  AFTERNOON,22
75,      INT TREVOR S BEDROOM  AFTERNOON,5
76,      INT BORDER S BOOKS READING ROOM  NIGHT,36
77,      INT TREVOR S BEDROOM  NIGHT,10
78,      INT CLAIRE S APARTMENT  SAME TIME  INTERCUT,105
79,      EXT LARCHMONT VILLAGE  NIGHT,37
80,      EXT LARCHMONT VILLAGE  NIGHT,11
81,      EXT SAINT NICK S  DAY,8
82,      EXT DUBLIN STREET  DAY,6
