1,EXT INT BROOKHAVEN COUNTRY CLUB  DALLAS  MORNING,367
2,EXT BROOKHAVEN CLUB  MOMENTS LATER,22
3,EXT INT MEDICAL TOWER  DALLAS  MORNING,85
4,EXT SOUTHFORK RANCH HOUSE  AFTERNOON,32
5, BEDROOM  AFTERNOONINT SOUTHFORK RANCH HOUSE  BOBBY S,136
6, CANTINA  AFTERNOONEXT INT PIGGY S,95
7,INT ASSISTED LIVING FACILITY  DALLAS  AFTERNOON,58
8,EXT SOUTHFORK RANCH  LATE AFTERNOON,59
9,INT SOUTHFORK RANCH HOUSE  LATE AFTERNOON,528
10,INT SOUTHFORK RANCH HOUSE  NIGHT,65
11,EXT SOUTHFORK RANCH  DESERT  EARLY EVENING,201
12,EXT INT A TOWNHOUSE  BATHROOM  DALLAS  NIGHT,52
13,INT A PENTHOUSE  DALLAS  NIGHT,52
14, STUDY  MORNINGINT SOUTHFORK RANCH HOUSE  BOBBY S,80
15,EXT INT BRIDAL COUTURE SHOP  DALLAS  DAY,112
16,EXT SOUTHFORK RANCH  OIL DERRICK  DESERT  DAY,65
17,EXT INT EWING ALTERNATIVE ENERGIES LAB  DAY,78
18,EXT INT MERCANTILE BANK OF DALLAS  DAY,32
19, LAND ROVER  DALLAS  EARLY EVENINGEXT JOHN ROSS ,9
20,INT ASSISTED LIVING FACILITY  DALLAS  EARLY EVENING,155
21,INT SOUTHFORK RANCH HOUSE  KITCHEN  EVENING,66
22, LAND ROVER  NIGHTEXT JOHN ROSS ,111
23,INT APARTMENT OVER GARAGE  NIGHT,14
24,EXT EWING ALTERNATIVE ENERGIES LAB  MORNING,138
25,INT SOUTHFORK HOUSE  KITCHEN  DAY,27
26, GARAGE APARTMENT  DAYINT ELENA S,64
27, BEDROOM  NIGHTINT SOUTHFORK RANCH HOUSE  BOBBY S,95
28,EXT EWING ALTERNATIVE ENERGIES LAB  NIGHT,14
29, STUDY  LATERINT SOUTHFORK RANCH HOUSE  BOBBY S,15
30,EXT SOUTHFORK RANCH HOUSE  LAWN  NEXT AFTERNOON,33
31,EXT INT DEL SOL CONSERVANCY CHOPPER  LATE AFTERNOON,74
32,EXT SOUTHFORK RANCH  LATE AFTERNOON,201
33,INT SOUTHFORK RANCH HOUSE  BEDROOM  LATE AFTERNOON,16
34,INT SOUTHFORK RANCH HOUSE  OFFICE  ,7
35,EXT SOUTHFORK  MOMENTS LATER,284
36, STUDY  EVENINGINT SOUTHFORK RANCH HOUSE  BOBBY S,107
37,INT ASSISTED LIVING FACILITY  DALLAS  NIGHT,89
38, BEDROOM  NIGHTINT SOUTHFORK RANCH HOUSE  BOBBY S,17
39,INT AIRPLANE  NIGHT,10
