1,                                        P D W        EXT OUTER FUCKING SPACE  NIGHT DUH,28
2,      INT GCS  MINION QUARTERS  MORNING,55
3,      INT GCS  MAIN HALL  MORNING,25
4,      INT GCS  CORRIDOR,133
5,      INT GCS  HALLWAY,98
6,      INT GCS  BRIEFING ROOM A,31
7,      INT GCS  SUPPLY DESK,32
8,      EXT PLANET KAVNICIA  LATER,31
9,      INT GCS  BOARD ROOM,137
10,      EXT PLANET KAVNICIA,118
11,      INT FREEDOM FIGHTERS BUNKER  DAY,141
12,      INT REBEL EATING QUARTERS CONTINUOUS,211
13,      INT GCS  TELEPORTATION DOCK,40
14,      INT GCS  COMMISSARY  NIGHT,96
15,      INT GCS  BROADCAST FACILITY,89
16,      INT GCS  BRIDGE,17
17,      INT GCS  BROADCAST FACILITY,47
18,      INT GCS  BREAK ROOM,12
19,      INT GCS  BROADCAST FACILITY,64
20,      INT BRIDGE  DAY,34
21,      INT GCS  BROADCAST CENTER,20
22,      INT DJ WORMHOLE S QUARTERS ,11
23,      INT GCS  BROADCAST CENTER  NIGHT,34
24,      INT BRIDGE  DAY,23
25,      INT GCS  BROADCAST FACILITY,24
26,      EXT GCS SPACEPORT,8
27,      INT REBEL EATING QUARTERS  DAY,7
28,      INT FREEDOM FIGHTERS BUNKER  DAY,7
29,      INT GCS  BROADCAST FACILITY,6
30,      INT BRIDGE,50
31,      INT FREEDOM FIGHTERS BUNKER  DAY  LATER,13
32,      INT FREEDOM FIGHTERS HANGAR  MOMENTS LATER,32
33,      INT GCS  HALLWAY,33
