1,      EXT BACK ALLEY  AFTERNOON SCENE ALREADY SHOT,96
2,      INT STATION  EVENING,123
3,      INT BOOKING DESK  SECONDS LATER,28
4,      EXT STREET  NIGHT SCENE ALREADY SHOT,4
5,      INT COP CAR  CONTINUOUS,189
6,      EXTINT SLEAZY MOTEL ROOM  NIGHT SCENE ALREADY SHOT,87
7,      EXT STREET  SAME TIME,4
8,      INT UTF CRUISER  CONTINUOUS,46
9,      INT SLEAZY MOTEL ROOM  SAME TIME SCENE ALREADY SHOT,71
10,      INT POLICE STATION  LATER THAT NIGHT,145
11,      INT HALLWAYBATHROOM  SECONDS LATER,37
12,      EXTINT UTF CRUISER  NIGHT,52
13,      INT DASHELL S OFFICE  MOMENTS LATER,107
14,      EXT WIGGLY S DONUTS  NIGHT SCENE ALREADY SHOT,76
15,      INT WIGGLY S DONUTS  MOMENTS LATER SCENE ALREADY SHOT,256
16,      EXT WAREHOUSE  DAWN,8
17,      INT WAREHOUSE  CONTINUOUS,14
18,      INT UNMARKED CAR  SAME TIME,13
19,      INT WAREHOUSE  SAME TIME,46
20,      INT UNMARKED CAR  SAME TIME,14
21,      INT WAREHOUSE  SAME TIME,31
22,      INT UNMARKED CAR  SAME TIME,7
23,      INT WAREHOUSE  SAME TIME,53
24,      INT UNMARKED CAR  SAME TIME,16
25,      INT WAREHOUSE  SAME TIME,6
26,      EXT WAREHOUSE  CONTINUOUS,14
27,      EXT VALLEY STREET  NIGHT SCENE ALREADY SHOT,65
