1,      INT PALACE OF AUBURN HILLS ARENA  NIGHT,113
2,      EXT AERIAL OVER DETROIT  NIGHT,43
3,      INT CAR  MOVING FAST,62
4,      EXT PHARMACY   MOMENTS LATER  NIGHT,6
5,      INT PHARMACY   CONTINUOUS,61
6,      INT MOVING CAR   LATER THAT NIGHT,45
7,      EXT BELLE ISLAND PARK  DETROIT  NIGHT,24
8,      EXT BELLE ISLAND PARK  DETROIT  MOMENTS LATER,60
9,      EXT PHARMACY  LATER THAT NIGHT,20
10,      INT PHARMACY  MOMENTS LATER  NIGHT,116
11,      EXT BELLE ISLAND  LATER THAT NIGHT ,31
12,      EXT COTTAGE HOUSE   NIGHT,18
13,      INT HOUSE  LIVING ROOM  LATER THAT NIGHT,123
14,      INT STATION  SQUAD ROOM  LATER THAT NIGHT,79
15,      EXT STREET  DETROIT  LATER THAT NIGHT,74
16,      INT OFFICE BUILDING  LOBBY   MOMENTS LATER,135
17,      INT MORGUE  LATER THAT NIGHT,56
18,      INT STATION   SQUAD ROOM  LATER THAT NIGHT,123
19,      EXT STREET  NIGHT,45
20,      INT STATION  SQUAD ROOM  LATER THAT NIGHT,28
21,      EXT STATION HOUSE  DAWN,5
22,      INT STATION  SQUAD ROOM  LATER THAT MORNING,172
23,      INT SQUAD ROOM  LATER THAT DAY,9
24,      INT SQUAD ROOM  MOMENTS LATER,98
25,      INT FITCHS CAR   LATER THAT DAY,158
26,      INT STATION   SQUAD ROOM  LATER THAT DAY,287
27,      INT INDIAN CASINO  SECURITY ROOM  LATER THAT DAY,28
28,      INT STATION  SQUAD ROOM  LATER THAT DAY,28
29,      INT FAST FOOD RESTAURANT   LATER THAT DAY,97
30,      INT STATION  SQUAD ROOM   LATER THAT DAY,69
31,      EXT OUTDOOR PARKING LOT  LATER THAT DAY,23
32,      EXT STATION   SQUAD ROOM  LATER THAT DAY,50
33,      INT JUNE ROLANDS HOUSE  LATER  EVENING,69
34,      EXT ALVIN GREENS HOUSE  MINUTES LATER ,14
35,      INT ALVIN GREENS HOUSE  MOMENTS LATER  NIGHT,21
36,      EXT STREET   MOMENTS LATER  NIGHT,145
37,      EXT SCENE OF THE ACCIDENT  MINUTES LATER  NIGHT,61
38,      EXT ALLEY   LATER THAT NIGHT,19
39,      INT CAR  MOVING  LATER THAT NIGHT,74
40,      INT SQUAD ROOM   LATER  NIGHT,32
41,      EXT APARTMENT BUILDING   LATER THAT NIGHT,26
42,      EXT APARTMENT BUILDING   LATER THAT NIGHT,114
43,      EXT APARTMENT BUILDING  COMMAND AREA  LATER THAT NIGHT,106
44,      EXT APARTMENT BUILDING  LATER THAT NIGHT,182
45,      EXT HENRY FORD HOSPITAL  LATER THAT NIGHT,9
46,      INT HOSPITAL  WAITING ROOM  CONTINUOUS,23
