1,EXT NOBLES HOUSE  DAY ,36
2,EXT CITY STREET  DAY ,7
3,EXT CITY STREET  DAY ,6
4,EXT CITY STREET  DAY ,8
5,EXT ADIPOSE INDUSTRIES  DAY ,11
6,EXT ADIPOSE INDUSTRIES  DAY ,11
7,EXT ADIPOSE INDUSTRIES FOYER  DAY ,8
8,EXT ADIPOSE INDUSTRIES BACK YARD  DAY ,7
9,INT ADIPOSE INDUSTRIES FOYER  DAY ,9
10,INT ADIPOSE IND DOWNSTAIRS CORRIDOR  DAY ,10
11,INT ADIPOSE INDUSTRIES FOYER  DAY ,12
12,INT CINEMA  DAY ,84
13,      CUT TO INT PROJECTION BOOTH THE DOCTOR    ,34
14,INT SALES CUBICLES  DAY ,182
15,      CU CURSOR   PRINT,57
16,EXT STACYS HOUSE  NIGHT ,44
17,EXT ROGERS HOUSE  NIGHT ,27
18,INT STACYS LIVING ROOM  NIGHT ,38
19,INT ROGERS HOUSE  NIGHT ,35
20,EXT ROGERS HOUSE  NIGHT ,24
21,INT ROGERS KITCHEN  NIGHT ,37
22,INT STACYS BATHROOM  NIGHT ,12
23,INT STACYS LIVING ROOM  NIGHT ,46
24,INT MISS FOSTERS OFFICE  NIGHT ,14
25,EXT ROGERS HOUSE  NIGHT ,25
26,INT MISS FOSTERS OFFICE  NIGHT ,10
27,EXT ADIPOSE INDUSTRIES CAR PARK  NIGHT ,7
28,EXT ROGERS ESTATE  NIGHT ,8
29,INT STACYS LIVING ROOMSTACYS BATHROOM  NIGHT ,37
30,INT MISS FOSTERS OFFICE  NIGHT ,13
31,INT STACYS LIVING ROOMSTACYS BATHROOM  NIGHT ,116
32,EXT STACYS HOUSE  NIGHT ,10
33,EXT NEAR STACYS STREET  NIGHT ,6
34,EXT NEAR STACYS STREET  NIGHT ,9
35,EXT NEAR STACYS STREET  NIGHT ,7
36,EXT STACYS HOUSE  NIGHT ,7
37,EXT NEAR STACYS STREET  NIGHT ,6
38,EXT NEAR STACYS STREET  NIGHT ,14
39,EXT STACYS STREET  NIGHT ,8
40,EXT STREET PARALLEL WITH STACYS  NIGHT ,7
41,EXT STACYS STREET  NIGHT ,38
42,INT SALES CUBICLES  DAY ,9
43,INT MISS FOSTERS OFFICE  NIGHT ,23
