1,EXT SUBURBAN STREET  DAY,86
2,INT TARDIS  DAY,55
3,INT UNIT HQ NEW YORK CITY  NIGHT,45
4,INT TORCHWOOD HUB  NIGHT,40
5,INT SARAH JANE SMITHS ATTIC  NIGHT,39
6,EXT NOBLES HOUSE  NIGHT,33
7,EXT SARAH JANE SMITHS HOUSE  NIGHT,11
8,EXT STREET  NIGHT,10
9,INT UNIT HQ NEW YORK CITY  NIGHT,9
10,EXT SUBURBAN STREET  NIGHT,38
11,INT TARDIS  DAY,48
12,INT NEWSREADER STUDIO  NIGHT,14
13,INT TV DEBATE STUDIO  NIGHT,13
14,INT THE NEW PAUL OGRADY SHOW  NIGHT,13
15,INT TORCHWOOD HUB  NIGHT,65
16,INT SARAH JANE SMITHS ATTIC  NIGHT,40
17,INT UNIT HQ NEW YORK CITY  NIGHT,34
18,EXT SHOPPING STREET  NIGHT,25
19,INT ABANDONED COMPUTER SHOP  NIGHT,28
20,AAINT NEWS STUDIO  NIGHT,18
21,INT NOBLES LIVING ROOM  NIGHT,20
22,INT TORCHWOOD HUB  NIGHT,18
23,INT UNIT HQ NEW YORK CITY  NIGHT,55
24,INT SARAH JANE SMITHS ATTIC  NIGHT,29
25,INT TORCHWOOD HUB  NIGHT,13
26,INT UNIT HQ NEW YORK CITY  NIGHT,10
27,INT TORCHWOOD HUB  NIGHT,11
28,INT SARAH JANE SMITHS ATTIC  NIGHT,10
29,INT ABANDONED COMPUTER SHOP  NIGHT,11
30,EXT SHOPPING STREET  NIGHT,12
31,INT CRUCIBLE COMMAND DECK  NIGHT,28
32,INT UNIT HQ NEW YORK CITY  NIGHT,22
33,INT CRUCIBLE COMMAND DECK  NIGHT,43
34,INT TARDIS  DAY,24
35,AAINT SHADOW ARCHITECTS OFFICE  NIGHT,27
36,INT SHADOW ARCHITECTS OFFICE  NIGHT,172
37,INT TORCHWOOD HUB  NIGHT,24
38,INT UNIT HQ NEW YORK CITY  NIGHT,29
39,INT UNIT HQ NEW YORK CITY LONG CORRIDOR  NIGHT,13
40,INT UNIT HQ NEW YORK CITY  NIGHT,20
41,INT UNIT HQ NEW YORK CITY LONG CORRIDOR  NIGHT,97
42,INT TORCHWOOD HUB  NIGHT,27
43,INT CRUCIBLE COMMAND DECK  NIGHT,19
44,INT CRUCIBLE VAULTS  NIGHT,65
45,INT SHADOW ARCHITECTS OFFICE  NIGHT,176
46,INT TARDIS  NIGHT,13
47,INT SHADOW ARCHITECTS OFFICE  NIGHT,38
48,INT TARDIS  NIGHT,7
49,INT SHADOW PROCLAMATION LOBBY  NIGHT,20
50,EXT SUBURBAN STREET   NIGHT,95
51,EXT SUBURBAN STREET   NIGHT,44
52,INT NOBLES LIVING ROOM  NIGHT,42
53,INT TARDIS  NIGHT,27
54,INT TARDIS  NIGHT,46
55,INT TORCHWOOD HUB  NIGHT,12
56,INT SARAH JANE SMITHS ATTIC  NIGHT,9
57,INT NOBLES LIVING ROOM  NIGHT,132
58,INT HARRIETS COTTAGE  NIGHT,46
59,INT JONES HOUSE  NIGHT,13
60,INT JONES HOUSE  FLASHBACK EARLIER THAT NIGHT,27
61,INT JONES HOUSE  NIGHT,213
62,INT TORCHWOOD HUB  NIGHT,21
63,INT SARAH JANE SMITHS ATTIC  NIGHT,12
64,INT JONES HOUSE  NIGHT,11
65,INT HARRIETS COTTAGE  NIGHT,13
66,INT SARAH JANE SMITHS ATTIC  NIGHT,12
67,INT NOBLES LIVING ROOM  NIGHT,13
68,INT TORCHWOOD HUB  NIGHT,11
69,EXT ROALD DAHL PLASS  NIGHT,17
70,INT TARDIS  NIGHT,36
71,INT CRUCIBLE COMMAND DECK  NIGHT,27
72,INT CRUCIBLE VAULTS  NIGHT,17
73,INT NOBLES LIVING ROOM  NIGHT,16
74,INT TARDIS  NIGHT,11
75,INT TORCHWOOD HUB  NIGHT,11
76,INT SARAH JANE SMITHS ATTIC  NIGHT,10
77,INT TORCHWOOD HUB  NIGHT,10
78,INT HARRIETS COTTAGE  NIGHT,16
79,INT TARDIS  NIGHT,13
80,INT HARRIETS COTTAGE  NIGHT,45
81,INT TARDIS  NIGHT,19
82,INT TARDIS  NIGHT,36
83,INT TORCHWOOD HUB  NIGHT,20
84,INT SARAH JANE SMITHS ATTIC  NIGHT,12
85,INT JONES HOUSE  NIGHT,14
86,INT NOBLES LIVING ROOM  NIGHT,14
87,INT TARDIS  NIGHT,25
88,INT CRUCIBLE VAULTS  NIGHT,17
89,INT TARDIS  NIGHT,35
90,INT CRUCIBLE VAULTS  NIGHT,122
91,INT CRUCIBLE COMMAND DECK  NIGHT,8
92,INT CRUCIBLE VAULTS  NIGHT,15
93,INT CRUCIBLE COMMAND DECK  NIGHT,14
94,INT TORCHWOOD HUB  NIGHT,29
95,INT JONES HOUSE  NIGHT,13
96,INT TORCHWOOD HUB  NIGHT,55
97,INT SARAH JANE SMITHS ATTIC  NIGHT,28
98,EXT SARAH JANE SMITHS HOUSE  NIGHT,8
99,INT NOBLES LIVING ROOM  NIGHT,23
100,EXT BIG WIDE STREET  NIGHT,122
101,INT TORCHWOOD HUB  NIGHT,16
102,INT TARDIS  NIGHT,33
103,EXT STREET NEAR SARAH JANES  NIGHT,29
104,INT TORCHWOOD HUB  NIGHT,12
