1,INT TARDIS  NIGHT,46
2,EXT STREET NEAR SARAH JANES  NIGHT,26
3,INT TORCHWOOD HUB  NIGHT,28
4,INT TARDIS  NIGHT,42
5,INT TORCHWOOD HUB  NIGHT,39
6,EXT BIG WIDE STREET  NIGHT,10
7,INT CRUCIBLE COMMAND DECK  NIGHT,10
8,EXT BIG WIDE STREET  NIGHT,11
9,INT TARDIS  NIGHT,18
10,EXT BIG WIDE STREET  NIGHT,81
11,INT JONES HOUSE  NIGHT,57
12,EXT GERMAN FOREST  NIGHT,32
13,INT TARDIS  NIGHT,92
14,INT TARDIS  NIGHT,104
15,INT CRUCIBLE COMMAND DECK  CONTINUOUS,130
16,INT CRUCIBLE COMMAND DECK  NIGHT,32
17,INT TARDIS  NIGHT,15
18,INT CRUCIBLE COMMAND DECK  NIGHT,29
19,INT TARDIS  NIGHT,8
20,INT CRUCIBLE COMMAND DECK  NIGHT,12
21,INT TARDIS  NIGHT,51
22,INT CRUCIBLE COMMAND DECK  NIGHT,11
23,INT TARDIS  NIGHT,40
24,INT CRUCIBLE COMMAND DECK  NIGHT,17
25,INT TARDIS  NIGHT,13
26,INT CRUCIBLE COMMAND DECK  NIGHT,80
27,INT TARDIS  NIGHT,189
28,EXT CASTLE GERMAN FOREST  NIGHT,55
29,INT CASTLE  NIGHT,69
30,INT LIFT SHAFT  NIGHT,6
31,INT DALEK CORRIDOR  NIGHT,25
32,INT LIFTOSTERHAGEN STATION ONE  NIGHT,30
33,INT DALEK CORRIDOR  NIGHT,24
34,INT CRUCIBLE VAULTS  NIGHT,161
35,INT CRUCIBLE TEST AREA  NIGHT,84
36,INT CRUCIBLE COMMAND DECK  NIGHT,10
37,INT CRUCIBLE VAULTS  NIGHT,17
38,INT CRUCIBLE COMMAND DECK  NIGHT,8
39,INT TARDIS  NIGHT,29
40,INT CRUCIBLE VAULTS  NIGHT,13
41,INT TARDIS  NIGHT,18
42,INT CRUCIBLE TEST AREA  NIGHT,65
43,INT TARDIS  NIGHT,12
44,EXT CRUCIBLE VAULTS  NIGHT,51
45,INT CRUCIBLE COMMAND DECK  NIGHT,18
46,EXT NOBLES HOUSE,27
47,INT CRUCIBLE TEST AREA ANTECHAMBER  NIGHT,88
48,INT OSTERHAGEN STATION ONE  NIGHT,56
49,INT TARDIS  NIGHT,44
50,INT CRUCIBLE COMMAND DECK  NIGHT,17
51,INT OSTERHAGEN STATION ONE  NIGHT,12
52,INT CRUCIBLE COMMAND DECK  NIGHT,10
53,INT CRUCIBLE VAULTS  NIGHT,102
54,INT CRUCIBLE COMMAND DECK  NIGHT,17
55,INT CRUCIBLE TEST AREA ANTECHAMBER  NIGHT,14
56,INT CRUCIBLE VAULTS  NIGHT,168
57,INT CRUCIBLE COMMAND DECK  NIGHT,14
58,INT OSTERHAGEN STATION ONE  NIGHT,12
59,INT CRUCIBLE TEST AREA ANTECHAMBER  NIGHT,10
60,INT CRUCIBLE VAULTS  NIGHT,51
61,INT CRUCIBLE COMMAND DECK  NIGHT,22
62,INT CRUCIBLE COMMAND DECK  NIGHT,8
63,INT CRUCIBLE VAULTS  NIGHT,15
64,INT FX SHOT  NIGHT,7
65,INT CRUCIBLE VAULTS  NIGHT,10
66,INT TARDIS  NIGHT,30
67,INT CRUCIBLE VAULTS  NIGHT,237
68,INT CRUCIBLE COMMAND DECK  NIGHT,22
69,INT CRUCIBLE VAULTS  NIGHT,154
70,INT CRUCIBLE COMMAND DECK  NIGHT,25
71,INT CRUCIBLE VAULTS  NIGHT,80
72,INT CRUCIBLE VAULTS  NIGHT,23
73,INT CRUCIBLE VAULTS  NIGHT,93
74,INT CRUCIBLE COMMAND DECK  NIGHT,16
75,INT CRUCIBLE VAULTS  NIGHT,45
76,INT TARDIS  NIGHT,6
77,INT CRUCIBLE VAULTS  NIGHT,50
78,INT TARDIS  NIGHT,6
79,INT CRUCIBLE VAULTS  NIGHT,17
80,INT CRUCIBLE COMMAND DECK  NIGHT,6
81,INT FX SHOT  NIGHT,6
82,INT TORCHWOOD HUB  NIGHT,11
83,INT TARDIS  NIGHT,27
84,INT TARDIS  NIGHT,22
85,INT CRUCIBLE VAULTS  NIGHT,45
86,INT TARDIS  NIGHT,19
87,INT TARDIS  NIGHT,16
88,INT TORCHWOOD HUB  NIGHT,11
89,INT TARDIS  NIGHT,51
90,INT SARAH JANES ATTIC  NIGHT,99
91,INT SARAH JANES ATTIC  NIGHT,7
92,INT TORCHWOOD HUB  NIGHT,14
93,INT NOBLES LIVING ROOM  NIGHT,8
94,INT JONES HOUSE  NIGHT,17
95,INT TARDIS  NIGHT,29
96,INT TARDIS  NIGHT,22
97,INT NOBLES HOUSE  DAY,8
98,EXT JONES HOUSE  DAY,11
99,EXT PARK  DAY,16
100,INT TARDIS  DAY,26
101,EXT PARK  DAY,121
102,INT TARDIS  DAY,11
103,EXT BAD WOLF BAY  DAY,376
104,INT TARDIS  NIGHT,124
105,INT NOBLES HOUSE  NIGHT,18
106,INT DONNAS BEDROOM  NIGHT,12
107,INT NOBLES HOUSE LIVING ROOM  NIGHT,117
108,INT NOBLES HOUSE KITCHEN  NIGHT,38
109,EXT NOBLES HOUSE  NIGHT,58
110,INT NOBLES HOUSE KITCHEN  NIGHT,24
111,EXT NOBLES HOUSE  NIGHT,12
