1,INT CITADEL  DAY,65
2,INT BLACK VOID,154
3,INT NAISMITHS STUDY  DAY ,31
4,INT THE GATE ROOM  DAY ,24
5,INT WHITE HOUSE PRESS ROOM  DAY ,15
6,INT UNIT HQ GENEVA  NIGHT ,12
7,INT CHINESE MILITARY COMMAND  NIGHT ,13
8,EXT PARADE GROUND  NIGHT ,8
9,INT NAISMITHS STUDY  DAY ,84
10,EXT ALLEYWAY  DAY ,37
11,INT THE GATE ROOM  DAY ,9
12,INT NAISMITHS STUDY  DAY ,15
13,EXT ALLEYWAY  DAY ,15
14,INT THE GATE ROOM  DAY ,9
15,EXT ALLEYWAY  DAY ,31
16,INT NAISMITHS STUDY  DAY ,12
17,EXT ALLEYWAY  DAY ,16
18,INT NAISMITHS STUDY  DAY ,8
19,EXT ALLEYWAY  DAY ,52
20,INT NAISMITHS STUDY  DAY ,129
21,INT BLACK VOID,49
22,INT NAISMITHS STUDY  DAY ,216
23,INT THE GATE ROOM  DAY ,12
24,INT NAISMITHS STUDY  DAY ,32
25,INT THE GATE ROOM  DAY ,10
26,INT NAISMITH MANSION CORRIDOR  DAY ,27
27,INT NAISMITHS STUDY  DAY ,10
28,INT NAISMITH MANSION CORRIDOR  DAY ,7
29,INT NAISMITH MANSION CORRIDOR LEADING TO STAIRS  DAY ,16
30,INT BASEMENT CORRIDOR  DAY ,10
31,INT NAISMITH MANSION CORRIDOR LEADING TO STAIRS  DAY ,9
32,INT THE GATE ROOM  DAY ,11
33,INT BASEMENT BENEATH GATE ROOM  DAY ,31
34,INT HESPERUS TELEPORT ROOM  DAY ,52
35,INT BASEMENT BENEATH GATE ROOM  DAY ,10
36,INT HESPERUS TELEPORT ROOM  DAY ,10
37,INT BASEMENT BENEATH GATE ROOM  DAY ,14
38,INT HESPERUS TELEPORT ROOM  DAY ,31
39,INT HESPERUS CORRIDOR  DAY ,7
40,INT THE GATE ROOM  DAY ,12
41,INT UNIT HQ GENEVA  DAY ,15
42,INT HESPERUS FLIGHT DECK  DAY ,49
43,INT HESPERUS FLIGHT DECK  DAY ,9
44,INT UNIT HQ GENEVA  DAY ,13
45,INT HESPERUS FLIGHT DECK  DAY ,9
46,EXT FX SHOT THE HESPERUS  DAY ,6
47,INT UNIT HQ GENEVA  DAY ,12
48,INT THE GATE ROOM  DAY ,10
49,INT BASEMENT BENEATH GATE ROOM  DAY ,21
50,INT HESPERUS FLIGHT DECK  DAY,46
