1,NOTICE DOES NOT ALTER ANY OF THE RESTRICTIONS SET FORTH ABOVE      INT RECORDING STUDIO  DAY,124
2,      INT DOCTOR S OFFICE  DAY  NO SOUND,7
3,      INT RECORDING STUDIO  DAY,9
4,      INT HALLWAY  DAY,8
5,      EXT YACHT  NEW YORK BAY  DAY,74
6,      EXT EMPIRE ENTERTAINMENT  DAY,14
7,      INT HALLWAY  EMPIRE ENTERTAINMENT  DAY,65
8,      INT CONFERENCE ROOM  EMPIRE ENT  DAY,33
9,      INT PRISON  RELEASE ROOM  DAY,16
10,      EXT FRONT ENTRANCE  PRISON  DAY,16
11,      INT DINING ROOM  LUCIOUS MANSION  DAY,139
12,      INT JAMAL S LOFT  SOHO  NIGHT,90
13,      INT WAITING ROOM  PRISON  DAY,21
14,      INT VISITOR S ROOM  PRISON  DAY,148
15,      INT LUXURY BOX  BARCLAY CENTER  NIGHT,150
16,      INT HALLWAY  BARCLAY CENTER  NIGHT,48
17,      INT LUCIOUS OFFICE  EMPIRE ENT  DAY,10
18,      EXT NORTH PHILADELPHIA  DAY,171
19,      EXT NYC  STREET  DAY,6
20,      INT LIVING ROOM  HAKEEM S PENTHOUSE APARTMENT  DAY,84
21,      EXT WASHINGTON STABLES  MADISON AVE  NIGHT,13
22,      INT STABLES  NIGHT,15
23,      INT TACKLE ROOM  STABLE  DAY,43
24,      INT TASHA S APARTMENT  HOBOKEN NJ  NIGHT,53
25,      INT LAVITICUS NIGHT CLUB  NIGHT,108
26,      INT LUCIOUS OFFICE  EMPIRE ENT  DAY,118
27,      INT LYON RESIDENCE  PHILADELPHIA  NIGHT,36
28,      EXT ALLEYWAY  LYON S RESIDENCE  NIGHT,30
29,      INT DOCTOR S OFFICE  DAY,17
30,      INT SQUASH COURT  DAY,15
31,      INT BEDROOM  ANDRE S APARTMENT  DAY,101
32,      INT COOKIES  APARTMENT  MIDTOWN  NIGHT,78
33,      EXT BALCONY  COOKIE S APARTMENT  LATER,118
34,      INT BOARDROOM  EMPIRE ENT  DAY,35
35,      INT LUCIOUS OFFICE  EMPIRE ENT  DAY,101
36,      INT BASEMENT  COFFEE HOUSE  BUSHWICK  NIGHT,11
37,      EXT BUSHWICK  NIGHT,61
38,      INT TAXI  NIGHT,16
39,      INT BOOM BOOM ROOM  NIGHT,88
40,      INT RECORDING STUDIO  EMPIRE ENT  DAY,43
41,      INT GREEN ROOM  EMPIRE ENT  CONTINUOUS,7
42,      INT RECORDING STUDIO  EMPIRE ENT  CONTINUOUS,15
43,      INT GREEN ROOM  EMPIRE ENT   MINUTES LATER,29
44,      EXT COFFEE HOUSE  BUSHWICK  NIGHT,80
45,      INT BEDROOM  LUCIOUS  MANSION  NIGHT,20
46,      EXT WAREHOUSES  BRONX  NIGHT,95
47,      EXT JAMAL S LOFT  SOHO  DAY,7
48,      INT SUV  DAY,24
49,      EXT PROJECTS  PHILLY  DAY,62
50,      INT CAROL S HOUSE  DAY,104
51,      INT SUV  NIGHT,71
52,      INT RECORDING STUDIO  EMPIRE ENT  DAY,38
53,      INT DOCTOR S OFFICE  DAY,59
54,      EXT BATTERY PARK  DAY,7
55,      EXT LOWER EAST SIDE  DAY,7
56,      INT BEDROOM  JAMAL S LOFT  SOHO  NIGHT,37
57,      INT COOKIES  APARTMENT  DAY,35
58,      INT LUCIOUS OFFICE  EMPIRE ENT  DAY,47
59,      INT CONFERENCE ROOM  EMPIRE ENT  DAY,28
60,      INT OFFICE  EMPIRE ENT  CONTINUOUS,44
61,      EXT WAREHOUSES  BRONX  NIGHT,28
62,      EXT YACHT  NEW YORK BAY  DAY,87
63,      INT LUCIOUS ROOM  YACHT  DAY,100
