1,INT SEAN AND BEVERLY S BEVERLY HILLS BEDROOM  DAY,85
2,INT ENTRANCE HALL  MOMENTS LATER,80
3,EXT HOUSE  CONTINUOUS,28
4,EXT DIFFERENT STREET  SAME TIME,52
5,EXT BANQUET HALL  NIGHT,240
6,INT TAXI  LATER,15
7,EXT SEAN AND BEVERLY S TOWNHOUSE  MINUTES LATER,28
8,INT BEDROOM  LATER ,86
9,EXT BEVERLY HILLS STREET  A WEEK LATER,26
10,EXT GATED COMMUNITY  A LITTLE LATER,142
11,EXT SEAN AND BEVERLY S BEVERLY HILLS HOUSE  A LITTLE LATER,14
12,INT ENTRANCE HALL  MOMENTS LATER,61
13,INT MASTER BATH  A LITTLE LATER,44
14,INT MASTER BATH  A LITTLE LATER,5
15,INT MASTER BATH  A LITTLE LATER,13
16,INT CAROL S OFFICE  NEXT DAY,211
17,EXT STREET  LATER,35
18,INT CASTING ANTEROOM  DAYS LATER,35
19,INT CASTING ROOM  MOMENTS LATER,193
20,INT CASTING ROOM ANTEROOM  MOMENTS LATER,34
21,INT CASTING ROOM  MOMENTS LATER,133
22,INT SEAN AND BEVERLY S LIVING ROOM  LATER,59
