1,S B BBCO      INT  TOM S FLAT  DAY,57
2,      EXT  UNDERGROUND CAR PARK  DAY,6
3,      EXT MOTORWAY  DAY,8
4,      INT TOM S CAR  DAY,12
5,      EXT SERVICE STATION  DAY,8
6,      INT SERVICE STATION  DAY,19
7,      INT BEHAVIOUR MAGAZINE  DAY FLASHBACK,23
8,INT SERVICE STATION TOILET  DAY ,7
9,      EXT SERVICE STATION  DAY,14
10,      EXT JANE S HOUSE  NIGHT FLASHBACK,90
11,      EXT THE NORTHTOM S CAR  DAY,13
12,      EXT BACUP LANCASHIRETOM S CAR  NIGHT,16
13,      EXT SAMUEL S HOUSE  NIGHT,51
14,      EXTINT  SAMUEL S HOUSE  NIGHT,14
15,      INT SAMUEL S HOUSE  NIGHT,49
16,      INT SAMUEL S HOUSE KITCHEN  NIGHT,150
17,      EXT SAMUEL S HOUSE  NIGHT,135
18,      INT SAMUEL S HOUSE TOM S OLD ROOM  NIGHT,134
19,      INT SAMUEL S HOUSE TOM S OLD ROOM  NIGHT,6
20,      INT SAMUEL S HOUSE LIVING ROOM  NIGHT,10
21,      INT SAMUEL S HOUSE LANDING  NIGHT,70
22,      INT SAMUEL S HOUSE LANDING  NIGHT,6
23,      EXT TOM S CAR  NIGHT,13
24,      EXT MOTORWAY  NIGHT,11
25,      EXT SERVICE STATION  NIGHT,36
26,      EXT TOM S CAR  NIGHT,18
27,      EXT SAMUEL S HOUSE  NIGHT,8
28,      INT SAMUEL S HOUSE  NIGHT,97
29,      INT BEHAVIOUR MAGAZINE  DAY FLASHBACK,19
30,      INT DENVER S OFFICE  DAY FLASHBACK,51
31,      INT SAMUEL S HOUSE  CONTINOUS,18
32,      INT SAMUEL S HOUSE TOM S OLD ROOM  DAY,5
33,      INT SAMUEL S HOUSE SHOWER  DAY,5
34,INT SAMUEL S HOUSE BATHROOM  DAY ,5
35,      INT SAMUEL S HOUSE STAIRS  DAY,99
36,      INT  SAMUEL S HOUSE  DAY,16
37,      INT SAMUEL S HOUSE  DAY,12
38,      INT SAMUEL S HOUSE  DAY,6
39,      INT SAMUEL S HOUSE GARAGE  DAY,63
40,      EXT BACK GARDEN  DAY,30
41,      INT SAMUEL S HOUSE  NIGHT,10
42,      INT SAMUEL S HOUSE KITCHEN  NIGHT,7
43,      INT SAMUEL S HOUSE DINING ROOM NIGHT,9
44,      INT SAMUEL S HOUSE  NIGHT,73
45,      INT SAMUEL S HOUSE  NIGHT,27
46,      INT SAMUEL S HOUSE SAM S ROOM  NIGHT,9
47,      EXT SAMUEL S HOUSE  NIGHT,8
48,      EXT BACUP  NIGHT,37
49,      EXT BACUP ALLEY  NIGHT,16
50,      EXTINT THE FRIENDSHIP  NIGHT,190
51,      INT MANDY S HOUSE  NIGHT,35
52,      INT MANDY S HOUSE  MORNING,21
53,      EXT BACUP  DAY,16
54,      INT SAMUEL S HOUSE  DAY,29
55,      INT SAMUEL S HOUSE  NIGHT,5
56,      INT SAMUEL S HOUSE  NIGHT,6
57,      INT SAMUEL S HOUSE STUDY  DAY,51
58,      INT SAMUEL S HOUSE  NIGHT,85
59,      INT SAMUEL S HOUSE LIVING ROOM  NIGHT,16
60,      INT SAMUEL S HOUSE  DAY,8
61,      INT SUPERMARKET  DAY,299
62,      INT THE FRIENDSHIP  NIGHT,108
63,      EXT BACUP TOWN CENTRE  NIGHT,155
64,      INT MANDY S HOUSE LIVING ROOM  NIGHT,185
65,      INT SAMUEL S HOUSE STUDY  NIGHT,38
66,      INT SAMUEL S HOUSE NANCY S ROOM  NIGHT,9
67,      INT SAMUEL S HOUSE LIVING ROOM  NIGHT,95
68,      INT SOLICITOR S OFFICE  DAY,75
69,      INT SOLICITOR S OFFICE  DAY,21
70,      EXT PARK  DAY,79
71,      INT SAMUEL S HOUSE NANCY S ROOM  NIGHT,146
72,      INT SAMUEL S HOUSE LANDINGLOFT  NIGHT,31
73,      INT SAMUEL S HOUSE TOM S ROOM  NIGHT,15
74,      INT SAMUEL S HOUSE  NIGHT,107
75,      INT SAMUEL S HOUSE TOM S OLD ROOM  DAY,116
76,      INT SAMUEL S HOUSE KITCHEN  NIGHT,11
