1,      EXT TWO LANE HIGHWAY RURAL MINNESOTA  DAY,35
2,      INT CAR TRAVELING  DAY,49
3,      INT KITCHEN NYGAARD HOUSE SAINT CLOUD MINNESOTA  DAY,115
4,      INT BASEMENT NYGAARD HOUSE  DAY,9
5,      INT INSURANCE AGENCY SAINT CLOUD MINNESOTA  DAY,99
6,      EXT APPLIANCE SHOP SAINT CLOUD MINNESOTA  DAY,230
7,      INT WAITING ROOM HOSPITAL SAINT CLOUD MN  DAY,262
8,      EXT TWO LANE HIGHWAY SAINT CLOUD MN  DAY,130
9,      EXT WOODS SAINT CLOUD MINNESOTA  DUSK,44
10,      INT THURMAN HOUSE SAINT CLOUD MINNESOTA  NIGHT,12
11,      INT KITCHEN THURMAN HOUSE  CONTINUOUS,28
12,      INT KITCHEN THURMAN HOUSE  NIGHT,71
13,      INT HESS TRUCKING COMPANY SAINT CLOUD MINNESOTA  DAY,156
14,      EXT LESTER S BROTHER S HOUSE MINNEAPOLIS MINNESOTA  DAY,38
15,      INT KITCHEN BROTHER S HOUSE  DAY,109
16,      INT GARAGE BROTHER S HOUSE  DAY,123
17,      INT CAR  NIGHT,13
18,      INT OFFICE ST LOUIS MS  NIGHT,13
19,      INT CAR TRAVELING SAINT CLOUD MN  SAME TIME,54
20,      INT BACK ROOM THE LUCKY PENNY  NIGHT,17
21,      INT BEDROOM THURMAN HOUSE SAINT CLOUD MINNESOTA  NIGHT,30
22,      EXT THURMAN HOUSE SAINT CLOUD MINNESOTA  NIGHT,44
23,      INT BACK ROOM THE LUCKY PENNY  NIGHT,50
24,      INT FARMDALE MOTEL SAINT CLOUD MINNESOTA  NIGHT,80
25,      EXT FARMDALE MOTEL SAINT CLOUD MINNESOTA  NIGHT,29
26,      INT MOTEL ROOM SAINT CLOUD MN  CONTINUOUS,25
27,      INT COFFEE SHOP SAINT CLOUD MINNESOTA  DAY,144
28,      INT HESS HOUSE SAINT CLOUD MINNESOTA  DAY,67
29,      INT FARMDALE MOTEL SAINT CLOUD MINNESOTA  SAME TIME,51
30,      INT LIVING ROOM HESS HOUSE  DAY,104
31,      INT POLICE CAR TRAVELING SAINT CLOUD MN  DAY,14
32,      INT LESTER S CAR SAINT CLOUD MINNESOTA  DAY,12
33,      INT INSURANCE AGENCY SAINT CLOUD MINNESOTA  DAY,66
34,      INT ARBY S SAINT CLOUD MINNESOTA  DAY,94
35,      INT NURSE S STATION EMERGENCY ROOM SAINT CLOUD MN  DAY,140
36,      INT SAINT CLOUD POLICE STATION SAINT CLOUD MN  DAY,15
37,      INT THURMAN HOUSE SAINT CLOUD MINNESOTA  SAME TIME,74
38,      INT VERN S CAR TRAVELING ST CLOUD MINNESOTA  NIGHT,15
39,      EXT HOSPITAL ST CLOUD MN  SAME TIME,72
40,      INT KITCHEN NYGAARD HOUSE SAINT CLOUD MN  NIGHT,14
41,      INT BASEMENT NYGAARD HOUSE SAINT CLOUD MINNESOTA  NIGHT,146
42,      INT KITCHEN NYGAARD HOUSE SAINT CLOUD MIN  NIGHT,16
43,      INT FARMDALE MOTEL SAINT CLOUD MN  SAME TIME,41
44,      INT LIVING ROOM NYGAARD HOUSE SAINT CLOUD MN  NIGHT,9
45,      INT FRONT HALLWAY NYGAARD HOUSE  NIGHT,127
46,            A BLOODY FOOTPRINT  ,104
47,      INT MOLLY S SQUAD CAR  SAME TIME,7
48,      INT KITCHEN NYGAARD HOUSE SAINT CLOUD MINNESOTA  SAME ,23
49,      EXT NYGAARD HOUSE SAINT CLOUD MINNESOTA  SAME TIME,24
50,      INT BASEMENT NYGAARD HOUSE  SAME TIME,11
51,      INT FRONT HALLWAY NYGAARD HOUSE  SAME TIME,18
52,      INT BASEMENT NYGAARD HOUSE  NIGHT,28
53,      EXT TWO LANE HIGHWAY RURAL MINNESOTA  NIGHT,7
54,      INT STATE POLICE CAR  NIGHT,52
55,      EXT TWO LANE HIGHWAY RURAL MINNESOTA  CONTINUOUS,118
56,      EXT LESTER S HOUSE SAINT CLOUD MN  NIGHT,23
57,      EXT VERN S HOUSE SAINT CLOUD MN  NIGHT,11
58,      INT HOSPITAL ROOM ST CLOUD MN  DAY,17
