1,      EXT SCORPIUS COMMAND CARRIER  SPACE,37
2,      INT SCORPIUS COMMAND CARRIER  BRIDGE,29
3,      EXT MARYKS BATTLE FLAGSHIP  SPACE,6
4,      INT TACTICAL CORE  MARYKS BATTLE FLAGSHIP,101
5,      EXT BARGE  DAY,106
6,      EXT SPACE  ABOVE QUJAGAN WATER PLANET  CG,13
7,      EXT DOCK  EIDELON CITY  DAY,106
8,      INT SCORPIUS COMMAND CARRIER  BRIDGE  MIDBATTLE,33
9,      INT BRACAS PROWLER  FLYING  INTERCUT,24
10,      INT SCORPIUS COMMAND CARRIER  BRIDGE  CONTINUOUS,19
11,      INT BRACAS PROWLER  FLYING,12
12,      INT SCORPIUS COMMAND CARRIER  BRIDGE  CONTINUOUS,27
13,      INT EIDELON HEALING FACILITY  DAY,229
14,      INT SCORPIUSS COMMAND CARRIER  BRIDGE  MID BATTLE,68
15,      INT TACTICAL CORE  PK BATTLE FLAGSHIP,54
16,      IN  G W             EXT SPACE  SCARRAN WAR COMMAND POST  CG,8
17,      INT SCARRAN WAR NEXUS  DECIMATOR,79
18,      INT EIDELON INTERROGATION ROOM  DAY,84
19,      EXT EIDELON STREET  DAY,67
20,      INT HEALING FACILITY  EIDELON CITY  DAY,93
21,      EXT BISTRO  EIDELON CITY,20
22,      INT HEALING FACILITY  EIDELON CITY  DAY,107
23,      EXT BISTRO  EIDELON CITY,106
24,      EXT TEMPLE PLAZA  EIDELON CITY  DAY,173
25,      INT TEMPLE DOORWAY  EIDELON CITY  DAY,44
26,      EXT TEMPLE PLAZA  EIDELON CITY  DAY,17
27,      INT PRINCETON CLASSROOM CIRCA   DAY,91
28,      EXT TEMPLE PLAZA  EIDELON CITY  DAY,73
29,      EXT STREET  EIDELON CITY  CONTINUOUS,56
30,      EXT PLAZATEMPLE DOORWAY  EIDELON CITY  DAY,83
31,      INT EIDELON CITY  HEALING FACILITY,105
32,      EXT EIDELON STREET  DAY,63
33,                    S      INT SLEEP CHAMBER  EIDELON CITY  DAY,35
34,      INT PILOTS DEN  MOYA,181
35,      EXT MOYA  IN ORBIT AROUND QUJAGAN  ESTAB  CG,9
36,      INT PASSAGEWAY  MOYA,54
37,      INT THE COMMANDPILOTS DEN  INTERCUT,43
38,      EXT MOYA  STARBURST STOCK,6
39,      INT RYGELS QUARTERS  MOYA,104
40,      INT CENTRE CHAMBER  MOYA  CONTINUOUS,89
41,      INT RYGELS QUARTERS  MOYA,14
42,      EXT PK FLAGSHIP  SPACE  ESTAB,2
43,      INT GRAND CHANCELLORS CHAMBER  PK BATTLE FLAGSHIP,66
44,      EXT SPACE  CG,4
45,      INT SCARRAN WAR NEXUS  DECIMATOR,50
46,      EXT MOYA  SPACE  EXITING STARBURST,5
47,      INT THE COMMANDPILOTS DEN  INTERCUT,22
48,      INT RYGELS QUARTERS  MOYA,54
49,           R        INT COMMAND  MOYA,135
50,      A R           EXT SPACE  CG,7
51,      INT PASSAGEWAYPILOTS DEN  INTERCUT,83
52,      INT MAINTENANCE BAY  MOYA,8
53,      INT PASSAGEWAY   MOYA,127
54,      INT PASSAGEWAY   CONTINUOUS,19
55,      INT PILOTS DEN  CONTINUOUS,19
56,      INT PASSAGEWAY OUTSIDE NEURAL CLUSTER  MOYA,9
57,      INT PILOTS DEN  INTERCUT,24
58,      INT PASSAGEWAY ,22
59,      INT PILOTS DEN,15
60,      INT PASSAGEWAY OUTSIDE NEURAL CLUSTER,27
61,      INT GUEST QUARTERS  MOYA,24
62,      INT PASSAGEWAY OUTSIDE QUARTERS  CONTINUOUS,63
63,      INT PILOTS DEN,41
64,      INT PASSAGEWAY OUTSIDE NEURAL CLUSTER,10
65,      INT PILOTS DEN  INTERCUT AS NEEDED,7
66,                             INT PASSAGEWAY OUTSIDE QUARTERS  INTERCUT AS NEEDED,26
67,      EXT MOYA  SPACE  CG,4
68,      INT COMMAND  MOYA,40
69,      EXT MOYA  SPACE  CG,9
70,      EXT SPACE  MOYA  EXITING STARBURST,8
71,      INT COMMANDPILOTS DEN  INTERCUT,48
72,      EXT ARNESSK  DAY,2
73,      A  T P       EXT ARNESSK  DAY,76
74,      EXT TEMPLE HILL  ARNESSK  DAY,144
75,      INT PASSAGEWAY  MOYA,49
76,      INT GREAT TEMPLE  ARNESSK  DAY,247
77,      INT PILOTS DEN  MOYA,37
78,      ARCING SPARKING BOLT OF ELECTRICITY APPEARS AROUND THEM      EXT MOYA  ORBITING ARNESSK REUSE OF PREVIOUS SHOT,4
79,      INT GREAT TEMPLE  ARNESSK  DAY,79
80,      EXT TEMPLE GROUNDS  ARNESSK  DAY,138
81,      INT TACTICAL CORE  PK BATTLE FLAGSHIP,40
82,      INT CENTRE CHAMBER  MOYA  DAY,85
83,      INT GREAT TEMPLE  ARNESSK  DAY,17
84,      INT PASSAGEWAY  MOYA  INTERCUT AS NEEDED  CONTINUOUS,10
85,      EXT MOYA  SPACE  ORBITING ARNESSK,2
86,      INT COMMAND  MOYA,105
87,      EXT TEMPLE GROUNDS  ARNESSK  DAY,74
88,      INT COMMAND  MOYA  INTERCUT,20
89,      INT TRANSPORT POD  STATIONARY INSIDE MOYA  INTERCUT,21
90,                    T         INT GREAT TEMPLE  ARNESSK  DAY,57
91,      INT CENTRE CHAMBER  MOYA,52
92,      INT COMMANDPILOTS DEN  INTERCUT,44
93,      INT QUARTERS  MOYA  CONTINUOUS,12
94,      INT COMMANDPILOTS DEN  INTERCUT,14
95,      EXT SPACE  DECIMATOR,3
96,        M          INT SCARRAN WAR NEXUS  DECIMATOR,28
97,      INT COMMAND  MOYA  CONTINUOUS,17
98,      EXT SPACE  DECIMATOR  CONTINUOUS,4
99,      INT COMMAND  MOYA  CONTINUOUS,51
100,      INT QUARTERS  MOYA  CONTINUOUS,5
101,      INT PASSAGEWAY OUTSIDE QUARTERS  CONTINUOUS,9
102,      INT CENTRE CHAMBER  CONTINUOUS,7
103,      INT COMMAND  MOYA  CONTINUOUS,10
104,      EXT SPACE  CONTINUOUS,6
105,         VERY HARD SIDEWAYS      INT QUARTERS  CONTINUOUS,4
106,      INT PASSAGEWAY OUTSIDE QUARTERS  CONTINUOUS,4
107,      INT CENTRE CHAMBER  MOYA  CONTINUOUS,8
108,      INT PILOTS DEN  CONTINUOUS,5
109,      INT COMMAND  MOYA  CONTINUOUS,9
110,      EXT SPACE  SOME TIME LATER,5
111,      INT MAINTENANCE BAY  CONTINUOUS,11
112,                      M C       INT TRANSPORT POD  MOTIONLESS  CONTINUOUS,19
113,      INT LOLA  HOVERING  INTERCUT,14
114,      INT TRANSPORT HANGAR,6
115,      INT TRANSPORT POD  FLYING  CONTINUOUS,53
116,      A             INT SCARRAN WAR NEXUS  DECIMATOR  CONTINUOUS,17
117,      INT CONTAINMENT QUARTERS  DECIMATOR,200
118,      INT BRIDGE  SCORPIUS COMMAND CARRIER,11
119,      INT GRAND CHANCELLORS CHAMBER  INTERCUT,93
120,      INT MEDICAL QUARTERS  DECIMATOR,14
121,      INT NEXUS  DECIMATOR,72
122,      INT LOLA  INVISIBILITY MODE  CONTINUOUS,9
123,       CG DECIMATOR BLUEPRINT P                                     CHIANA,45
124,      INT CONTAINMENT QUARTERS  DECIMATOR,70
125,      EXT CRICHTONS MODULE  DRIFTING IN SPACE,4
126,      INT CRICHTONS MODULE  DRIFTING  CONTINUOUS,18
127,                    A           INT EARTH CAR  LIMBO  INTERCUT,70
128,      INT CAR CRASH CHAMBER  CONTINUOUS,19
129,      INT WORMHOLE  INTERCUT,17
130,      INT WAR NEXUS  DECIMATOR,39
131,      INT LOLA  INVISIBILITY MODE  INTERCUT,34
132,      INT WORMHOLE,3
133,         IT DISAPPEARS      EXT LIMBO BLIZZARD,162
134,      EXT SPACE  DARGO AND CHIANA FLOATING,11
135,      INT CONTAINMENT QUARTERS  DECIMATOR,44
136,      EXT SPACE  DARGO AND CHIANA FLOATING,11
137,      INT MEDICAL QUARTERS  DECIMATOR,47
138,      INT CONTAINMENT QUARTERS  DECIMATOR,67
139,      INT WAR NEXUS  DECIMATOR,50
140,      INT LUXAN STEALTH STRIKER  INVISIBILITY MODE,107
141,      INT CONTAINMENT QUARTERS  DECIMATOR,167
142,      INT LUXAN PENETRATOR  INVISIBILITY MODE,73
143,      INT CONTAINMENT QUARTERS  DECIMATOR,305
144,      INT CONTROL PANEL  DECIMATOR  CONTINUOUS,3
