1,      INT INFELDDANIELS  KARP S OFFICE  DAY DAY ONE,196
2,INT INFELDDANIELS  HALLWAY  SAME ,48
3,      INT INFELDDANIELS  KARP S OFFICE  SAME TIME,120
4,      EXT MAN CAVE ESTABLISHING  SAME NIGHT,4
5,      INT MAN CAVE  THAT NIGHT,87
6,      INT MAN CAVE  FRONT OFFICE  NIGHTAA,59
7,      INT PETER S PRIUS  DOWNTOWN  DAY DAY TWO,30
8,      EXT DOWNTOWN LA ESTABLISHING  DAY,2
9,      EXT COURTHOUSE STEPS  DAY,90
10,      INT INFELDDANIELS  CONFERENCE ROOM  DAY,96
11,      EXT COURTHOUSE ESTABLISHING  DAY,2
12,      INT COURTROOM  DAY,83
13,      INT COURTHOUSE  HALLWAY  MOMENTS LATER,76
14,      EXT RETIREMENT HOME  FIVE MINUTES LATER,48
15,      INT INFELDDANIELS  LOBBY  SAME DAY,58
16,      INT INFELDDANIELS  JARED AND PETER S OFFICE  EVENING,88
17,      INT INFELDDANIELS  RECEPTION  DAY DAY THREEAA,5
18,      INT INFELDDANIELS  CONFERENCE ROOM  FIVE MINUTES LATER,108
19,      INT INFELDDANIELS  JARED AND PETER S OFFICE  DAY,141
20,      INT INFELDDANIELS  HALLWAYBULLPEN  DAY,109
21,      INT COURTHOUSE  HALLWAY  DAY,6
22,      INT MAN CAVE  INTERCUT,24
23,      INT COURTROOM  SAME DAY,125
24,      INT PARKING GARAGE  DAYAAAA,72
25,AAEXT INFELDDANIELS  COURTYARD  DAY     ,110
26,      INT COURTROOM  DAY,64
27,      INT INFELDDANIELS  JARED AND PETER S OFFICE  NIGHT,111
28,      EXT PAXTON ENTERPRISES  DAY DAY FOUR,4
29,      INT PAXTON ENTERPRISE  ESCALATOR  DAY,57
30,      INT MAN CAVE  NIGHT,104
31,      EXT MAN CAVE  HOT TUB  NIGHT,88
32,      INT MAN CAVE  LIVING ROOM  FIVE MINUTES LATERAA,60
33,      INT COURTROOM  DAY DAY FIVE,105
34,      INT COURT ROOM  FIFTEEN MINUTES LATERAA,69
35,      INT COURTHOUSE  HALLWAY  DAY,80
36,      INT COURTROOM  DAY,37
37,      INT COURTROOM  DAY,96
38,      INT INFELDDANIELS  RECEPTION  DAY,63
39,      INT INFELDDANIELS  CONFERENCE ROOM  CONTINUOUS,33
40,      INT INFELDDANIELS  HALLWAY  CONTINUOUS,40
41,      INT COURTHOUSE  HALLWAY  FIFTEEN MINUTES LATER,56
42,      INT OMITTED,2
