1,  EXTINT DILLON HIGH  MORNING,90
2,  INT FIELD HOUSE  GIRLS LOCKER ROOM  CONTINUOUS,21
3,  INT DILLON HIGH  GYMNASIUM  DAY,75
4,  INTEXT CADILLAC  HIGH NOON ,43
5,  EXT STREET HOUSE  DAY,33
6,  INT STREET HOUSE  JASON S ROOM  CONTINUOUS,35
7,  EXT DILLON HIGH  MAIN ENTRANCE  DAY,111
8,  EXT TAYLOR S CAR  MORNING,14
9,  INT TAYLOR S CAR  CONTINUOUS,93
10,  INT GARRITY HOUSE  MORNING,41
11,  INT STREET HOUSE  JASON S ROOM  MORNING,25
12,  INT STREET HOUSE  KITCHEN  CONTINUOUS,47
13,  INT FIELD HOUSE  WEIGHT ROOM  DAY,126
14,  INT DILLON HIGH  HALLWAY  DAY,62
15,  EXT WOODS  DAY,17
16,  INT STREET HOUSE  JASON S ROOM  DAY,13
17,  EXT DILLON  DAY,56
18,  EXT STREET HOUSE  DAY,80
19,  INT DILLON HIGH  ENGLISH CLASS  DAY,101
20,  INT DILLON HIGH  HALLWAY  MOMENTS LATER,47
21,  INT DILLON HIGH  CAFETERIA  DAY,104
22,  EXT GARRITY MOTORS  DAY,72
23,  INT GARRITY MOTORS  BUDDY S OFFICE  MOMENTS LATER,5
24,  EXT DILLON HIGH  DAY ,21
25,  INT DILLON HIGH  GYMNASIUM  DAY,5
26,  INT FIELD HOUSE  GIRLS LOCKER ROOM  DAY,9
27,  INT FIELD HOUSE  MISS DER S OFFICE  DAY,60
28,  INT TAYLOR HOUSE  LATE AFTERNOON ,94
29,  INT STREET HOUSE  NIGHT,187
30,  INT DILLON HIGH  GYMNASIUM  MORNING,71
31,  INT DILLON HIGH  HALLWAY  DAY,69
32,  INT FIELD HOUSE  BATHROOM STALL  DAY,6
33,  EXT HERRMANN FIELD  DAY,49
34,  INT WILLIAMS HOUSE  KITCHEN  NIGHT,95
35,  INT WILLIAMS HOUSE  LATER,85
36,  INT TAYLOR HOUSE  NIGHT,17
37,  INT WILLIAMS KITCHEN  NIGHT,48
38,  INT TAYLOR HOUSE  LIVING ROOM  NIGHT,12
39,  INT TAYLOR HOUSE  UPSTAIRS HALLWAY  CONTINUOUS,50
40,  INT TAYLOR HOUSE  LIVING ROOM  CONTINUOUS,43
41,  INT STREET HOUSE  JASON S ROOM  NIGHT,157
42,  INT DILLON HIGH  TAMI S OFFICE  DAY,112
43,  INT DILLON HIGH  AUDITORIUM  DAY,30
44,  INT FIELD HOUSE  TAYLOR S OFFICE  AFTERNOON,59
45,  INT GARRITY HOUSE  AFTERNOON,85
46,  EXT DILLON  MAIN STREET  DUSK,5
47,  EXT GRADY HOUSE  NIGHT,29
48,  INT GRADY HOUSE  WAVERLY S ROOM  CONTINUOUS,30
49,  EXT GRADY HOUSE  CONTINUOUS,29
50,  EXT HERRMANN FIELD  NIGHT,5
51,  INT FIELD HOUSE  LOCKER ROOM  PRE GAME  NIGHT,57
52,  EXT HERRMANN STADIUM  NIGHT,10
53,  EXT DILLON MAIN STREET  CONTINUOUS ,19
54,  EXT YMCA  NIGHT,9
55,  INT STREET HOUSE  JASON S ROOM  NIGHT,16
56,  EXT DILLON  MAIN STREET  NIGHT,4
57,  INT ALAMO FREEZE  NIGHT,162
58,  INT STREET HOUSE  JASON S ROOM  NIGHT,92
59,  EXT HERRMANN STADIUM  MORNING,7
60,  INT GARRITY CAR  MORNING ,5
61,  EXT HERRMANN FIELD  DAY,63
62,  INT HERRMANN STADIUM  BATHROOM  DAY,35
63,  EXT HERRMANN STADIUM  BLEACHERS  DAY,32
64,  INT FIELD HOUSE  GIRLS LOCKER ROOM  DAY,19
65,  EXT HERMANN FIELD  DAY,39
