1,      EXT DILLON  BEAUTY SHOTS  MORNING D,151
2,      EXT EAST DILLON FIELD  POPS  MONDAY MORNING D,101
3,      INT TAYLOR HOUSE  MORNING D,106
4,      EXT ALAMO FREEZE  DAY D,115
5,      EXT RIGGINS HOUSE  DAY D,74
6,      INT VINCE S APARTMENT DAY D,53
7,      INT LANDRY S HOUSE  GARAGE  DAY D,126
8,      INT LION FIELD HOUSE  DAY D,56
9,      EXT EAST DILLON FIELD  AFTERNOON D,128
10,      INT RIGGINS HOUSE  AFTERNOON D,94
11,      INT LION FIELD HOUSE  COACHS OFFICE  LATE AFTERNOON D,86
12,      INT TAYLOR HOUSE  EVENING N,106
13,      INT TAYLOR HOUSE  JULIE S ROOM  EVENING N,76
14,      INT COLLETTE HOUSE  EVENING N,98
15,      EXT EAST SIDE BAR  NIGHT N,98
16,      INTEXT CONVENIENCE STORE  MONDAY NIGHT N,94
17,      INT LION FIELD HOUSE  DAY D,53
18,      INT RESTAURANT  EVENING N,170
19,      EXT RESTAURANT  NIGHT N,43
20,      INT TAYLOR HOUSE  MIDDLE OF THE NIGHT N,74
21,      EXT BECKY S HOUSE  DAY D,53
22,      INT JESSS HOUSE  AFTERNOON D,28
23,      INT EAST SIDE BAR  EVENING N,35
24,      INT BUDDYS BAR  NIGHT N,149
25,      EXT BECKY S HOUSE  NIGHT N,131
26,      INT TAYLOR HOUSE  THURSDAY MORNING D,16
27,      INT DINER  DAY D,86
28,      INT LION FIELD HOUSE  LOCKER ROOM  DAY D,36
29,      INT SARACEN HOUSE  DAY DAA,65
30,      INT LION FIELD HOUSE  A LITTLE LATER D,51
31,      EXT TIM RIGGINSS LAND  DAY D,71
32,      INT DILLON MALL  DAY D,44
33,      EXT FAIR PARK  DALLAS TEXAS  DAY D,20
34,      INT COTTON BOWL  LOCKER ROOM  DAY D,59
35,      EXT COTTON BOWL  FIELD  GAME ACTION  NIGHT N,146
36,      EXT FOOTBALL FIELD  DAY D,23
37,      EXT BRAEMORE COLLEGE  DAY D,14
38,      EXT HERRMANN FIELD  AFTERNOON D,33
39,      EXT DILLON BUS DEPOT  AFTERNOON D,11
40,      EXT EAST DILLON HIGH  AFTERNOON D,13
41,      INT MATTS CHICAGO APARTMENT  MORNING D,12
42,      EXT DALLAS WALKER HIGH SCHOOL FIELD  AFTERNOON D,17
43,      EXT HERRMANN FIELD  AFTERNOON D,6
44,      INT PANTHER FIELD HOUSE  LOCKER ROOM  AFTERNOON D,8
45,      EXT TIM RIGGINSS LAND  MAGIC HOUR D,9
46,      EXT TIM RIGGINS S LAND  MOMENTS LATER D,19
