1,  INT AIRLINER   NIGHT ,227
2,EXT SKY   NIGHT ,16
3,  EXT TURNPIKE MOTEL   NIGHT ,10
4,  INT TURNPIKE MOTEL ROOM   NIGHT ,159
5,  EXT LOGAN AIRPORT   NIGHT ,164
6,  EXTINT JET   NIGHT ,35
7,  EXT LOGAN AIRPORT   NIGHT ,43
8,INT FEDERAL BUILDING   BOSTON   EARLY MORNING ,96
9,  EXT BACK BAY ROAD   DAY ,5
10,  EXT USTORE STORAGE FACILITY   DAY ,6
11,  EXT USTORE STORAGE FACILITY   DAY ,187
12,  INT MILITARY MEDCIAL CENTER   DAY ,19
13,INT HOSPITAL ROOM   DAY ,8
14,INT HOSTPIAL HALLWAY   DAY ,55
15,INT QUARANTINE AREA   DAY ,56
16,INT  OLIVIA S OFFICE   NIGHT ,24
17,  INT FEDERAL BUILDING   CORRIDOROFFICE   NIGHT ,157
18,  EXT BAGHDAD IRAQ   DAY ,31
19,  INT HOTEL ROOM   CONTINUOUS ,50
20,INT HOTEL LOBBY CONTINUOUS ,133
21,  INT AIRPLANE   NIGHT ,129
22,  EXT MASSACHUSETTES ROAD   DAY ,6
23,  EXT ST CLAIRE S   DAY ,7
24,  INT ST CLAIR S   CORRIDOR   DAY ,39
25,  INT ST CLAIRE S CAFETERIA   DAY ,152
26,INT ST CLAIRE S LOBBY   DAY ,26
27,  INT ST CLAIRE S CAFETERIA   DAY ,227
28,  EXT COUNTRYSIDE   DAY ,9
29,  INT OLIVIA S CAR   DAY ,98
30,  EXT ROAD   DAY ,47
31,  EXT MILITARY MEDICAL CENTER   DAY ,4
32,  INT MILITARY MEDICAL CENTER   DAY ,8
33,  INT JOHN S ROOM   QUARANTINE   DAY ,162
34,INT CORRIDOR   DAY ,48
35,INT BROYLES  OFFICE   DAY ,156
36,  INT LAB   DAY ,44
37,  INT LAB   DAY ,213
38,INT LAB   NIGHT   LATER ,371
39,  EXT PROMETHEUS CORP   NEW YORK CITY   DAY ,7
40,  INT HOSPITAL   QUARANTINE AREA   DAY ,10
41,  INT PROMETHEUS CORP   CORRIDOR   DAY ,8
42,  INT LAB   DAY ,108
43,INT NINA CORD S OFFICE   DAY ,181
44,  INT LAB   DAY ,18
45,INT LAB   DAY ,195
46,  INT LAB   DAY ,135
47,  EXT DREAMSCAPE   JUNK YARD   DAY ,5
48,  INT TANK   DAY ,4
49,  INT LAB   DAY ,20
50,  INT DREAMSCAPE  JUNK YARD  DAY ,8
51,  INT TANK   DAY ,7
52,  INT LAB   DAY ,9
53,  INT DREAMSCAPE   JUNK YARD   DAY ,23
54,  INT TANK   DAY ,7
55,  INT DREAMSCAPE   JUNK YARD   DAY ,12
56,  INT TANK   DAY ,4
57,  INT LAB   DAY ,16
58,  INT DREAMSCAPE   JUNK YARD   DAY ,21
59,  INT LAB   DAY ,16
60,INT DREAMSCAPE   WHITELAND   DAY ,110
61,  INT TANK   DAY ,7
62,INT LAB   DAY ,75
63,  INT FEDERAL BUILDING   BOSTON   DAY ,223
64,INT PROMETHEUS CORP   CORRIDOR   DAY ,8
65,INT NINA CORD S OFFICE   DAY ,138
66,  INT LAB   DAY ,23
67,  INT SEDAN   INTERCUTTING ,30
68,  EXT SOUTH BOSTON TENEMENT   DAY ,33
69,  INT TENEMENT BUILDING   CONTINUOUS ,25
70,  INT CELLAR   CONTINUOUS ,6
71,  EXT TENEMENT BUILDING   CONTINUOUS ,91
72,  INT LAB   DAY ,73
73,  INT LAB BUILDING CORRIDOR   DAY ,244
74,  INT LAB   DAY ,59
75,  INT LAB   DAY   LATER ,116
76,  INT HOSPITAL   DAY ,29
77,  INT HOSPITAL   SECURE WING   DAY ,5
78,  INT ROOM    CONTINUOUS ,66
79,  INT LAB   CONTINUOUS ,76
80,INT STENSON S TENEMENT BUILDING   DAY ,11
81,INT HOSPITAL   JOHN S ROOM   DAY ,6
82,INT OLIVIA S CAR   DAY ,61
83,  EXT STENSON S ROOM   DAY ,8
84,  INT STENSON S ROOM   DAY ,8
85,INT OLIVIA S CAR   DAY ,13
86,EXT CORRIDOR OUTSIDE STENSON S ROOM   DAY ,12
87,  EXTINT HOSPITAL   DAY ,17
88,  EXT HIGHWAY   DAY ,25
89,EXT CHARLES RIVER ROAD ,128
90,EXT BOSTON   DAY ,4
91,INT CHARLIE S CAR   DAY ,33
92,EXT HARVARD QUAD   DAY ,87
93,  INT LAB   DAY ,88
