1,      INT AMTRAK TRAIN  MAGIC HOUR,87
2,      INT WALDORF PENTHOUSE  POWDER ROOM  NIGHT,15
3,      INT WALDORF PENTHOUSE  DRAWING ROOM  NIGHT,122
4,      INT AMTRAK TRAIN  EVENING,12
5,      INT GRAND CENTRAL STATION  PLATFORMS ,59
6,      INT GRAND CENTRAL STATION  TERMINAL,10
7,      INT WALDORF PENTHOUSE  BLAIR S ROOM  NIGHT,20
8,      EXT  WALDORF APARTMENT BUILDING  NIGHT,12
9,      INT WALDORF PENTHOUSE  BLAIR S ROOM  NIGHT,15
10,      INT WALDORF PENTHOUSE  VESTIBULE  NIGHT,15
11,      INT WALDORF PENTHOUSE  DRAWING ROOM  NIGHT,14
12,      INT WALDORF PENTHOUSE  BLAIR S ROOM  CONTINUOUS,39
13,      INT WALDORF PENTHOUSE  DRAWING ROOM  NIGHT,107
14,      INT HUMPHREY APARTMENT  NIGHT,19
15,      INT LENOX HILL HOSPITAL  CORRIDOR  NIGHT,32
16,      INT LENOX HILL HOSPITAL  ERIC S ROOM  MORNING,81
17,      INT LENOX HILL HOSPITAL  CORRIDOR  CONTINUOUS,40
18,      INT HUMPHREY APARTMENT  MORNING,136
19,      EXT MADISON HOTEL  MORNING,81
20,      INT CONSTANCE BILLARD SCHOOL  CHAPEL  MORNING,70
21,      EXT MADISON AVE AND TH STREET  MORNING,4
22,      INT UPTOWN BUS  CONTINUOUS,94
23,      INT CONSTANCE BILLARD SCHOOL  DINING HALL  DAY,154
24,      EXT CHRISTOPHER STREET  AFTERNOON,46
25,      INT LENOX HILL HOSPITAL  ERIC S ROOM  AFTERNOON,33
26,      INT ARCHIBALD TOWNHOUSE  KITCHEN  AFTERNOON,63
27,      INT BARNEY S  TH FLOOR  AFTERNOON,104
28,      EXT CENTRAL PARK  SHEEP S MEADOW  AFTERNOON,69
29,      INT MADISON HOTEL  LOBBY  EVENING,6
30,      INT MADISON HOTEL  LOUNGE  EVENING,124
31,      INT HUMPHREY APARTMENT  NIGHT,80
32,      INT MADISON HOTEL  LOUNGE  NIGHT,70
33,      INT WALDORF PENTHOUSE  VESTIBULE  NIGHT,5
34,      INT WALDORFS PENTHOUSE  BLAIR S ROOM  NIGHT,33
35,      INT MADISON HOTEL  KITCHEN  NIGHT,46
36,      EXT GANSEVOORT HOTEL  NIGHT  A YEAR AGO,29
37,      INT WALDORF PENTHOUSE  BLAIR S ROOM  NIGHT,24
38,      INT MADISON HOTEL  KITCHEN  CONTINUOUS,18
39,      EXT GANSEVOORT HOTEL  SERVICE ALLEY  A YEAR AGO ,6
40,      INT WALDORF PENTHOUSE  BLAIR S ROOM  NIGHT,9
41,      INT MADISON HOTEL  KITCHEN  NIGHT,8
42,      INT MADISON HOTEL  LOBBY  NIGHT,37
43,      INT HUMPHREY APARTMENT  DAN S ROOM  MORNING,10
44,      EXT CENTRAL PARK  MORNING,5
45,      INT MADISON HOTEL  LOUNGE  MORNING,7
46,      EXT CENTRAL PARK  INTERCUT,88
47,      INT MADISON HOTEL  LOBBY  MORNING,167
48,      INT NELLO S  DAY,61
49,      INT NELLO S  LADIES ROOM  MOMENTS LATER,10
50,      EXT FIFTH AVENUE  DAY,77
51,      INT GAGOSIAN GALLERY CHELSEA  DAY,78
52,      INT HUMPHREY APARTMENT  EVENING,46
53,      INT WALDORFS PENTHOUSE  BLAIR S ROOM  NIGHT,4
54,      INT WALDORFS PENTHOUSE  LIVING ROOM  NIGHT,42
55,      INT MADISON HOTEL  LOBBY  NIGHT,8
56,      INT TAXI  MOVING  NIGHT,5
57,      INT LIMO MOVING  NIGHT,6
58,      INT SUBWAY  MOVING  NIGHT,10
59,      INT BARNEY S COOP BUILDING  NIGHT,69
60,      INT SOUTHPAW  BROOKLYN  NIGHT,60
61,      INT KISS ON THE LIPS PARTY  NIGHT,50
62,      INT KISS ON THE LIPS PARTY  LADIES ROOM  MOMENTS LATER,32
63,      INT SOUTHPAW  BROOKLYN  NIGHT,27
64,      INT KISS ON THE LIPS PARTY  NIGHT,13
65,      INT SOUTHPAW  BROOKLYN  CONTINUOUS,48
66,      INT KISS ON THE LIPS PARTY  LADIES ROOM  MOMENTS LATER,20
67,      EXT BARNEY S COOP BUILDING  NIGHT,16
68,      INT KISS ON THE LIPS PARTY  NIGHT,57
69,      INT KISS ON THE LIPS PARTY  LADIES ROOM  MOMENTS LATER,90
70,      INT KISS ON THE LIPS PARTY  CONTINUOUS,18
71,      EXT BARNEY S COOP BUILDING  NIGHT,29
