1,T N D       INT  TEDDY S BAR  DAY,305
2,      INT BAR  A LITTLE LATER,344
3,      INT CHRIS S APARTMENT,344
4,      INT GARY AND MARNY S APARTMENT,38
5,      EXT NICK S APARTMENT  LATER,185
6,      INT DEPARTMENT STORE MEN S SECTION  LATER,204
7,      INT CHRIS S APARTMENT  SATURDAY,75
8,      INT NICK AND EMILY S APARTMENT,162
9,      INT YANKEE STADIUM  A LITTLE LATER,114
10,      INT CHRIS S APARTMENT,107
11,      INT YANKEE STADIUM  A LITTLE LATER,170
12,      INT CHRIS S APARTMENT  LIVING ROOM CONTINUOUS,18
13,      INT YANKEE STADIUM  CONTINUOUS,37
14,      INT CHRIS S LIVING ROOM  KITCHEN  LATER,16
15,      INT KITCHEN  MOMENTS LATER,483
16,      INT NICK AND EMILY S APARTMENT  LIVING ROOM  LATER,45
17,      INT GARY AND MARNY S APARTMENT  BATHROOM,66
18,      INT NICK AND EMILY S APARTMENT,67
