1,      INT GLASSWALLED OFFICE  DAY,55
2,      INT PRISTINE HALLWAY  CONTINUOUS,12
3,      EXT HEADQUARTERS ENTRANCE  CONTINUOUS ,11
4,      EXT PARKING LOT  LATER,11
5,      EXT NEW ORCHARD ROAD  LATER,6
6,      EXT RURAL NEW YORK HIGHWAY  LATER,5
7,      INT AUDI QUATTRO  CONTINUOUS,7
8,      EXT COASTAL HIGHWAY  LATER,5
9,      INT AUDI QUATTRO  CONTINUOUS,10
10,      EXT COASTAL HIGHWAY  CONTINUOUS,25
11,      INT HONKY TONK BAR  NIGHT,155
12,      INT DALLAS COUNTY LOCKUP  LATER,20
13,      INT DONNA S STATION WAGON  LATER,88
14,      INT SENIOR VICE PRESIDENT S OFFICE  DAY,192
15,      INT CLARK S HOUSE  KITCHEN  NIGHT,38
16,      INT CLARK S GARAGE  MOMENTS LATER,24
17,      INT MACMILLAN S CONDO  LATE NIGHT,73
18,      INT CARDIFF GIANT OFFICES  DAY,80
19,      EXT CARDIFF GIANT PARKING LOT  MOMENTS LATER,23
20,      INT CONFERENCE ROOM  LATER,132
21,      EXT CARDIFF GIANT PARKING LOT  LATER,55
22,      INT SENIOR VICE PRESIDENT S OFFICE  LATER,67
23,      INT CARDIFF GIANT OFFICES  MOMENTS LATER,17
24,      INT CARDIFF GIANT OFFICES  CLARK S CUBE  LATER,94
25,      INT CLARK S GARAGE  NIGHT,154
26,      EXT MOVIE THEATER  LATER,116
27,      INT UNIVERSITY LECTURE HALL  DAY,127
28,      INT ARCADE  LATER,87
29,      INT CLARK S HOUSE  BATHROOM  LATER,42
30,      INT CAMERON S BEDROOM  LATER,60
31,      INT MACMILLAN S CONDO  DAWN,15
32,      INT GLASSWALLED OFFICE  DAY FLASHBACK,34
33,      INT MACMILLAN S CONDO  PRESENT,27
34,      INT CARDIFF GIANT OFFICES  MACMILLAN S OFFICE  DAY,52
35,      INT CLARK S GARAGE  NIGHT,94
36,      INT CLARK S GARAGE  NIGHT,33
37,      INT WHATABURGER  LATER,50
38,      INT SENIOR VICE PRESIDENT S OFFICE  DAY,11
39,      INT DALE BARNES  OFFICE  CONTINUOUS,54
40,      INT SENIOR VICE PRESIDENT S OFFICE  LATER,113
41,      EXT CARDIFF GIANT PARKING LOT  LATER,85
42,      INT MACMILLAN S QUATTRO  MOMENTS LATER,9
43,      INT CLARK S GARAGE  NIGHT,47
44,      INT CARDIFF GIANT OFFICES  MACMILLAN S OFFICE  MORNING,87
45,      INT MEN S BATHROOM  DAY,18
46,      INT SENIOR VICE PRESIDENT S OFFICE  MORNING,243
47,      INT TEXAS CHILI PARLOR  AFTERNOON,71
48,      INT MACMILLAN S QUATTRO  LATER,30
49,      INT CARDIFF GIANT OFFICES  CONFERENCE ROOM  DAY,21
50,      INT CARDIFF GIANT OFFICES  CONTINUOUS,20
51,      INT CONFERENCE ROOM  CONTINUOUS,16
52,      INT CARDIFF GIANT OFFICES  MACMILLAN S OFFICE  LATER,36
53,      INT CARDIFF GIANT OFFICES  CLARK S OFFICE  LATER,115
54,      INT APPLIED DATA OFFICES  DAY,70
55,      INT MACMILLAN S CONDO  LATE NIGHT,55
