1, CONDO  LATER NIGHT INT PENNY  ALEX S,361
2,  DAY DAY INT EMMA S,96
3, APARTMENT  FLASHBACKINT JANE  BRAD S,12
4,  CONTINUOUS DAY INT EMMA S,98
5, CONDO  DAY DAY INT PENNY  ALEX S,141
6,  DAY DAY EXT EMMA S,134
7, CONDO  DAY DAY INT PENNY  ALEX S,103
8, CONDO  DAY DAY INT PENNY  ALEX S,91
9,EXT STREET  DAY DAY ,58
10,EXT FOOD TRUCK  DAY DAY ,122
11,  NIGHT NIGHT INT ROSALITA S,76
12,  CONTINUOUS NIGHT INT ROSALITA S,170
13, CONDO  DAY DAY INT PENNY  ALEX S,48
14,EXT STREET  BY POST OFFICE  DAY DAY ,124
15, STOOP  DAY DAY EXT PENNY  ALEX S,53
16, CONDO  MOMENTS LATER DAY INT PENNY  ALEX S,240
17,INT CONVENTION CENTER  BOAT SHOW  DAY DAY ,206
