1,EXT OFFICE BUILDING  EARLY MORNING,146
2,INT OFFICE BUILDING  SECOND FLOOR HALL  DAY,17
3,INT OFFICE BUILDING  LOBBY  DAY,14
4,INT OFFICE BUILDING  SECOND FLOOR HALL  SAME TIME,45
5,INT OFFICE BUILDING  LOBBY  SAME TIME,22
6,INT OFFICE BUILDING  EMERGENCY STAIRWELL  SAME TIME,31
7,INT OFFICE BUILDING  LOBBY  SAME TIME,5
8,INT OFFICE BUILDING  EMERGENCY STAIRWELL  BOTTOM LANDING ,8
9,INT OFFICE BUILDING  LOBBY  SAME TIME,66
10,EXT JOES  ESTABLISHING  NIGHT,4
11,INT JOES  NIGHT,242
12,EXT EZ STORE STORAGE FACILITY  NEXT DAY  ESTABLISHING,4
13,EXT STORAGE FACILITY  ANGLE ON ROW C,6
14,INT STORAGE FACILITY  JOHNNYS LOCKER  CONTINUOUS  DAY,39
15,INT STORAGE FACILITY  JOES LOCKER  DAY  SAME TIME,22
16,EXT STORAGE FACILITY  ROW B  DAY,6
17,INT STORAGE FACILITY  JOHNNYS LOCKER  DAY  SAME,13
18,EXT STORAGE FACILITY  AISLE C  DAY,33
19,EXT GINOS SOCIAL CLUB  NEW YORK    DAY,9
20,INT GINOS  NEW YORK   DAY,106
21,EXT GINOS SOCIAL CLUB  NEW YORK    DAY,37
22,EXT STREET NEAR GINOS  NEW YORK    LATER,112
23,EXT BROWNSTONE SPEAKEASY  NEW YORK    NIGHT,56
24,INT WAREHOUSE  NEW YORK    NIGHT,88
25,EXT ALLEYWAY  NEW YORK    NIGHT  SHORTLY AFTER,6
26,INT GINOS  NEW YORK    NIGHT  SAME TIME,9
27,EXT ALLEYWAY  NEW YORK    NIGHT,132
28,EXT STORAGE FACILITY  ROW C  THE PRESENT  RESUME,124
29,INT STORAGE FACILITY LOCKER  DAY,14
30,INT JOES DAY,175
31,INT DAWSONS CAR  PARKED  EVENING,12
32,EXT BETSYS HOTEL  EVENING,88
33,INT STORAGE FACILITY JOHNNYS LOCKER  NIGHT,7
34,INT STORAGE FACILITY  MANAGERS CUBICLE  NIGHT,14
35,INT RESTAURANT  NIGHT,120
36,INT JOHNNYS PLACE  NIGHT,32
37,EXT ROOF,34
38,EXT JOHNNYS PLACE  NIGHT,42
39,INT BETSYS HOTEL ROOM  NIGHT,105
40,INT MACLEOD S LOFT  NEXT DAY,170
41,INT CHURCH  DAY,110
42,EXT CHURCH  DAY,12
43,INT JOES  DAY  LATER,89
44,EXT BUSY STREET  DAY,83
45,INT MACLEODS LOFT  DAY,62
46,INT MACLEODS LOFT  NIGHT,98
47,EXT ROOF ACROSS FROM DOJO  NIGHT  ESTABLISHING,5
48,EXT ROOF ACROSS FROM DOJO  NIGHT,43
49,INT BETSYS HOTEL ROOM NIGHT,187
50,EXT ROOF ACROSS FROM DOJO  NIGHT,12
51,INT MACLEOD S LOFT  NIGHT,7
52,EXT ROOF ACROSS FROM DOJO  RESUME,125
