1,EXT FIRST BAPTIST CHURCH  NIGHT  TO ESTABLISH,124
2,INT FIRST BAPTIST CHURCH  NIGHT,84
3,EXT FIRST BAPTIST CHURCH  NIGHT  MINUTES LATER,68
4,EXT MORGUE  ESTABLISHING  NIGHT,3
5,INT MORGUE  NIGHT,101
6,EXT CLEARING  DAY,130
7,EXT WOODS  CONTINUOUS,69
8,EXT CHURCH CEMETERY  DAY,11
9,EXT CHURCH CEMETERY  DAY,132
10,EXT PERUVIAN JUNGLE    DAY,106
11,EXT MOCHE VILLAGE  PERUVIAN JUNGLE    DAY,75
12,INT LARCAS HUT  MOCHE VILLAGE    DAY,224
13,INT LARCAS HUT    LATER THAT DAY,24
14,EXT MOCHE VILLAGE    DAY,10
15,INT LARCAS HUT    SAME TIME,6
16,EXT MOCHE VILLAGE  ,19
17,INT LARCAS HUT  ,8
18,INT LARCAS HUT    DAY,60
19,EXT CHURCH CEMETERY  THE PRESENT  DAY,105
20,EXT LARCAS SANCTUARY  TO ESTABLISH  NIGHT,5
21,INT LARCAS SANCTUARY  NIGHT,127
22,EXT JOES  NIGHT  ESTABLISHING,3
23,INT JOES  NIGHT,81
24,EXT MOCHE VILLAGE  PERUVIAN JUNGLE    NIGHT,60
25,INT LARCAS HUT    NIGHT,103
26,EXT PERUVIAN JUNGLE    NIGHT,8
27,INT JOES  NIGHT  RESUME,147
28,EXT LARCAS SANCTUARY  NIGHT  TO ESTABLISH,3
29,INT LARCAS SANCTUARY  NIGHT,124
30,EXT FIRST BAPTIST CHURCH  DAY,9
31,INT FIRST BAPTIST CHURCH  DAY,296
32,EXT FIRST BAPTIST CHURCH  DAY  CONTINUOUS,76
33,INT LARCAS SANCTUARY  DAY E,68
34,INT JOES  DAY,169
35,EXT LARCAS SANCTUARY  AFTERNOON,18
36,INT LARCAS SANCTUARY  CONTINUOUS,145
37,EXT ROAD OUTSIDE TOWN  LATE AFTERNOON,5
38,EXT LARCAS SANCTUARY  LATE AFTERNOON,6
39,INT  LARCAS SANCTUARY  LATE AFTERNOON  CONTINUOUS,18
40,EXT FIELD NEAR LARCAS SANCTUARY  LATE AFTERNOON,68
41,EXT LARCAS SANCTUARY  LATE AFTERNOON,8
42,EXT FIELD NEAR LARCAS SANCTUARY  LATE AFTERNOON,217
