1,EXT  BELORUSSIAN FOREST  DAY,286
2,INT  JOES  DAY VANCOUVER PRESHOOT,96
3,EXT  ASYLUM  ROMANIA  NIGHT  ESTABLISHING,4
4,INT  ASYLUM  RECEPTION  NIGHT,57
5,INT  ASYLUM  CORRIDORS  NIGHT,111
6,INT  ASYLUM  CASPARRIS ROOM  NIGHT,69
7,EXT  ASYLUM  ROMANIA  DAY  ESTABLISHING,5
8,INT  ASYLUM  RECEPTION  DAY,42
9,INT  ASYLUM  CASPARRIS ROOM  DAY,62
10,EXT  KRONOS CHATEAU  BORDEAUX  DAY  ESTABLISHING,3
11,INT  KRONOS  CHATEAU  WAR ROOM  NIGHT,128
12,AAINT  KRONOS CHATEAU  LAB  NIGHT,83
13,INT  KRONOS CHATEAU  WAR ROOM  DAY  LATER,68
14,EXT  INN BORDEAUX  NIGHT  ESTABLISHING MAISON D YVRIS,4
15,INT  INN  LOBBY  NIGHT,25
16,AAEXT  INN  MACLEODS BALCONY  DAY,46
17,INT  KRONOS CHATEAU  LAB  DAY,113
18,EXT  INN   MACLEOD S BALCONY  NIGHT,11
19,AAINT  INN  MACLEODS ROOM  CONTINUOUS,27
20,EXT  DARK STREET  NIGHT,10
21,INT  INN  MACLEODS ROOM  RESUME,22
22,INT  CHURCH  DUSK,96
23,EXT  THE HORSEMENS BLUFF SIDE CAMP  THE BRONZE AGE  DAY,32
24,INT  METHOS PAVILION  THE BRONZE AGE  DAY,130
25,AAEXT  THE HORSEMENS CAMP  THE BRONZE AGE  DAY,13
26,BBINT  KRONOS  PAVILION  THE BRONZE AGE  NIGHT FORMERLY,67
27,INT  CHURCH  THE PRESENT  RESUME,148
28,INT  INN  MACLEOD S ROOM  NIGHT,49
29,EXT  FOUNTAIN  NIGHT,64
30,INT  KRONOS CHATEAU  WAR ROOM  NIGHT,85
31,INT  KRONOS CHATEAU  HALLWAY  NIGHT,9
32,INT  KRONOS CHATEAU  BARRED ROOM  NIGHT,5
33,INT  KRONOS CHATEAU  HALLWAY  NIGHT,50
34,EXT  GRECIANLOOKING SITE  ANCIENT GREECE  DAY,166
35,EXT  MYCENAE  ANCIENT GREECE  DAY,23
36,INT  KRONOS CHATEAU  WAR ROOM  THE PRESENT  NIGHT,96
37,EXT  INN  NIGHT,61
38,EXT  DESERTED STREET  NIGHT,4
39,EXT  BRIDGE  NIGHT,80
40,EXT  KRONOS CHATEAU  DAWN  ESTABLISHING,2
41,INT  KRONOS CHATEAU  BARRED ROOM  DAWN,131
42,EXT  PET STORE  DAY,13
43,INT  KRONOS CHATEAU  NIGHT                              ,35
44,INT  KRONOS CHATEAU  BARRED ROOM  NIGHT,36
45,INT  KRONOS CHATEAU  WAR ROOM  NIGHT,102
46,INT  KRONOS CHATEAU  HALLWAY  NIGHT,54
47,INT  KRONOS CHATEAU  LAB  NIGHT,22
48,INT  KRONOS CHATEAU  HALLWAY  NIGHT,5
49,EXT  KRONOS CHATEAU  NIGHT,28
50,EXT  KRONOS CHATEAU  BALCONY  NIGHT,74
