1,EXT  PARIS NIGHTCLUB  NIGHT,118
2,INT  NIGHTCLUB  NIGHT,135
3,EXT  NIGHTCLUB  PARKING LOT  NIGHT,119
4,EXT  DARIUS CHURCH  NIGHT,4
5,INT  DARIUS CHURCH  NIGHT,50
6,EXT  WOODS  SCOTLAND    DAY,12
7,EXT  BURNT CROFTER S HUT  SCOTLAND    DAY,98
8,EXT  WOODS  SCOTLAND    DAYE                        ,77
9,EXT  ENGLISH COUNTRY ESTATE    DAY,128
10,EXT  ENGLISH COUNTRY ESTATE  THE GROUNDS    DAY,132
11,INT  DARIUS CHURCH  THE PRESENT  RESUME,42
12,EXT  DARIUS CHURCH  NIGHT,46
13,EXT  BARGE  ESTABLISHING  NIGHT,2
14,INT  BARGE  NIGHT,15
15,      EXT  ERISKAY ISLAND    DAY                       ,6
16,      INT  CROFTER S HUT  DAY                                ,9
17,      EXT  WOODED FIELDS  SCOTLAND   DAY              ,6
18,      EXT  MACLEOD S VILLAGE    DAY                    ,7
19,      EXT  CEIRDWYN S TAVERN  SCOTLAND   DAY          ,20
20,      EXT  WOODS  SCOTLAND   DAY                      ,9
21,EXT  BURNT CROFTER S HUT  SCOTLAND    DAY,14
22,EXT  ENGLISH COUNTRY ESTATE  GROUNDS  DAY,4
23,      EXT  CASSANDRAS HUT    DAY                      ,10
24,EXT  ENGLISH COUNTRY ESTATE  GROUNDS  DAY,20
25,      INT  MACLEOD FAMILY HOME    NIGHT                ,13
26,EXT  ENGLISH COUNTRY ESTATE  GROUNDS  DAY,7
27,INT  BARGE  NIGHT  RESUME,56
28,EXT  BARGE  NIGHT,142
29,INT  METHOS ATELIER  NIGHT,70
30,INT  METHOS ATELIER  KITCHEN  A FEW MINUTES LATER,68
31,EXT  LUXEMBOURG GARDENS  NEAR ENTRANCE  DAY,160
32,EXT  LUXEMBOURG GARDENS  DAY,140
33,EXT  LUXEMBOURG GARDENS     DAY,89
34,INT  SEAN BURNS STUDY    DAY,122
35,EXT  LUXEMBOURG GARDENS  THE PRESENT  DAY  RESUME,47
36,      EXT  SEAN BURNS CHATEAU  DAY                         ,50
37,EXT  LUXEMBOURG GARDENS  DAY  RESUME,65
38,INT  BARGE  DAY,71
39,INT  PRISON VISITING ROOM  DAY,114
40,EXT  BARGE  DAY,4
41,INT  BARGE  DAY,59
42,INT  PRISON INTERROGATION ROOM  DAY,66
43,EXT  METHOS ATELIER  NIGHT  ESTABLISHING,2
44,INT  METHOS ATELIER  NIGHT,89
45,INT  DARIUS CHURCH  DAY,49
46,EXT  NIGHTCLUB  NIGHT,21
47,INT  NIGHTCLUB  NIGHT,157
48,EXT  ROOFTOP  NIGHT,52
49,EXT  FIRE ESCAPE  NIGHT,4
50,EXT  ALLEY  NIGHT  CONTINUOUS,47
51,EXT  BARGE  DAY,2
