1,       EXT STREET POLLY S CAR  DAY,112
2,      EXT MAX AND ELAINE S OLD HOUSE  CONTINUOUS,15
3,      EXT FRANK HOUSE  ANOTHER DAY,12
4,      INT FRANK HOUSE  ANOTHER DAY,27
5,      INT HOSPITAL  ANOTHER DAY,28
6,      EXT FRANK HOUSE  PRESENT DAY NIGHT ,16
7,      INT FRANK HOUSE KITCHEN  NIGHT NIGHT ,74
8,      INT TINY APARTMENT  NIGHT FLASHBACK,18
9,      INT FRANK HOUSE LIVING ROOM  CONTINUOUS,93
10,      INT POLLY AND NATALIES BATHROOM  LATER,5
11,      INT NATALIE S BEDROOM  LATER,5
12,      INT NATALIE S BEDROOM  LATER,14
13,      EXT STREET POLLYS CAR  DAY DAY ,39
14,      EXT STREET  MOMENTS LATER,5
15,      INT PANTRY PETES  DAY LATER,64
16,      INT POLLY S BATHROOM  NIGHT FLASHBACK,15
17,      INT PANTRY PETE S CONFERENCE ROOM,49
18,      INT FRANK HOUSE KITCHEN  LATER,74
19,      INT PANTRY PETES  DAY  LATER,73
20,      INT BOUTIQUE  DAY DAY ,71
21,      INT TINY APARTMENT  NIGHT FLASHBACK,9
22,      INT BOUTIQUE  CONTINUOUS,16
23,      INT FRANK HOUSE  BRUNCH FLASHBACK,37
24,      INT BOUTIQUE  CONTINUOUS,12
25,      INT MAX AND ELAINE S BEDROOM  LATER NIGHT ,55
26,      INT FRANK HOUSE KITCHEN  NIGHT NIGHT ,109
27,      INT NATALIE S BEDROOM  LATER,42
28,      EXT FRANK HOUSE  CONTINUOUS,50
29,      INT ACAPULCO LOUNGE  NIGHT,48
30,      INT POLLY AND NATALIE S BATHROOM  NIGHT,68
31,      INT ACAPULCO LOUNGE  NIGHT,21
32,      INT FRANK HOUSE LIVING ROOM  LATER,32
33,      INT DOG SHELTER  LATER,72
34,      EXT ACAPULCO LOUNGE PARKING LOT  LATER,24
35,      EXT STREETLUKES CAR  LATER,49
36,      EXT FRANK HOUSEINT FRANK HOUSE  LATER,53
37,      INT FRANK HOUSE  CONTINUOUS,74
38,      INT TINY APARTMENT  NIGHT FLASHBACK,9
39,      INT FRANK HOUSE  CONTINUOUS,46
40,      EXT FRANK HOUSE DOWN THE HILL  MOMENTS LATER,12
41,      INT LUKES CAR  LATER,96
42,      INT POLLYS CAR  LATER,85
43,      EXT JENNS HOUSE  LATER,71
44,      EXT FRANK HOUSE  MOMENTS LATER,12
45,      INT ELAINE AND MAX S BATHROOM  MOMENTS LATER,15
46,      INT NATALIE S BEDROOM  MOMENTS LATER,10
