1,      INT JASON S APARTMENT  NIGHT,62
2,      EXT NYC STREET  NIGHT,13
3,      INT LUCY S  NIGHT,144
4,      INT  LUCY S BATHROOM  SAME,26
5,      INT LUCY S BAR   MINUTES LATER,103
6,      INT JASON S APARTMENT  LATER,54
7,      INT JASON S APARTMENT  THE NEXT MORNING,63
8,      INT ANDY S DELI  MORNING ,137
9,      INT JB S CASTING AGENCY  ELEVATOR   MINUTES LATER,7
10,      INT JB S CASTING AGENCY  DAY,44
11,      INT JB S CASTING AGENCY  MOMENTS LATER ,25
12,      INT JASON S APARTMENT  NIGHT,14
13,      INT THAI RESTAURANT  SAME,34
14,      INT TINA S APARTMENT  SAME,21
15,      INT STACEY AND ERIC S  NIGHT ,221
16,      EXT NYC STREET  AFTER WORK,15
17,      EXT BONITA SIDEWALK CAFE  AFTER WORK ,121
18,      INT BIKINI WAXING SALON  EVENING,20
19,      EXT NYC STREET  CONTINUOUS,29
20,      INT LENCH S PARTY  THAT NIGHT,141
21,      INT STACEY AND ERIC S APARTMENT  EVENING,35
22,      INT JASON S BEDROOM  NIGHT,21
23,      INT TAXI  SAME,32
24,      INT  JASON S BEDROOM  SAME,40
25,      INT STACEY AND ERIC S APARTMENT  MORNING,42
26,      EXT STREET  MORNING,7
27,      INT ANDY S DELI  MORNING,83
28,      INT JB S CASTING AGENCY  DAY ,22
29,      INT STACEY AND ERIC S APARTMENT  DUSK,53
30,      INT JASON S APARTMENT  A FEW NIGHTS LATER,108
