1,      EXT COUNTRY LANE  EDGE OF ROARTON  DAWN  DAY ,108
2,      EXT MACY HOUSE  MORNING  DAY ,12
3,      INT MACY HOUSE  HALLWAY  SAME TIME  DAY ,12
4,      INT MACY HOUSE  UPSTAIRS LANDING  MOMENTS LATER  DAY ,28
5,      EXT MACY HOUSE   MOMENTS LATER  DAY ,81
6,      INT AMY S HOUSE  BEDROOM  DAY ,84
7,      EXT AMY S HOUSE  DAY ,90
8,      EXT EDGE OF ROARTON  ROAD  DAY ,14
9,      EXT EDGE OF ROARTON  SUPERMARKET  DAY ,12
10,      INT SUPERMARKET  DAY NIGHT ,49
11,      INT SUPERMARKET  FLASHBACK  DAY AA,66
12,      EXT SUPERMARKET  DAY ,9
13,      INT WALKER HOUSE  LOUNGE  DAY ,8
14,INT WALKER HOUSE  JEM S ROOM  DAY  ,29
15,      INT MACY HOUSE  LIVING ROOM   DAY ,79
16,      INT MACY HOUSE  KITCHEN  MOMENTS LATER  DAY ,38
17,      INT WALKER HOUSE  JEM S ROOM  DAY AA,148
18,      EXT  INT EDGE OF ROARTON  PHONE BOX  DAY ,12
19,      INT WALKER HOUSE  LOUNGE  DAY ,123
20,      EXT  INT PHONE BOX  MIDDLE OF NOWHERE  DAY ,51
21,      EXT DISUSED BASKET BALL CAGE  DAY ,102
22,      EXT WALKER HOUSE  DAY  PREVIOUSLY SCENE AA,21
23,      INT MACY HOUSE  STAIRS  LOUNGE  DAY ,13
24,      INT CHURCH RECTORY  STUDY  DAY,50
25,EXT MACY HOUSE  DAY  ,75
26,      EXT AMY S HOUSE  DAY ,35
27,      INT AMY S HOUSE  BEDROOM  LITTLE LATER,125
28,      EXT LANCASTER HOUSE  DAY ,29
29,      INT LANCASTER HOUSE  LIVING ROOM  DAY ,324
30,      EXT DISUSED BASKET BALL CAGE  DAY  PREVIOUSLY SCENE AA,129
31,      INT ROARTON  TEMPORARY CHURCH  DAY ,65
32,      INT ROARTON TEMPORARY CHURCH  DAY ,49
33,      EXT ROARTON TRAIN STATION  DAY ,434
34,      EXT VILLAGE HALL  DAY ,8
35,      INT VILLAGE HALL  DAY ,205
36,      INT MACY HOUSE  LIVING ROOM  DAY ,63
37,      EXT ROARTON  ROAD  DAY AA,44
38,      INT MACY HOUSE  BATHROOM  DAY ,24
39,      INT MACY HOUSE  LIVING ROOM  DAY ,83
40,      INT WALKER HOUSE  JEM S ROOM  DAY ,9
41,      INT WALKER HOUSE  JEM S ROOM  MOMENTS LATER  DAY ,7
42,      INT WALKER HOUSE  JEM S ROOM  MOMENTS LATER  DAY ,8
43,      INT WALKER HOUSE  JEM S ROOM  MOMENTS LATER  DAY ,11
44,      EXT WALKER HOUSE  BACK GARDEN  LITTLE LATER  DAY ,10
45,      EXT WALKER HOUSE  BACK GARDEN   SHED  DAY ,46
46,      EXT WALKER HOUSE  MOMENTS LATER  DAY ,7
47,      EXT TRAIN STATION  DAY ,12
48,      EXT ROARTON  ROAD  SAME TIME  DAY ,30
49,      EXT MACY HOUSE  DAY ,12
50,      INT MACY HOUSE  LOFT  DAY ,7
51,      INT MACY HOUSE  LIVING ROOM  DAY ,20
52,      EXT MACY HOUSE  DAY ,8
53,      INT MACY HOUSE  LIVING ROOM  DAY ,64
54,      EXT WALKER HOUSE  DAY ,60
55,      INT MACY HOUSE  LIVING ROOM  DAY ,27
56,      INT MACY HOUSE  HALLWAY  FRONT DOOR  DAY ,20
57,      INT MACY HOUSE  LIVING ROOM  CONTINUOUS  DAY ,257
58,      EXT MACY HOUSE  DAY ,12
59,      INT MACY HOUSE  LIVING ROOM  SAME TIME  DAY AA,7
60,      EXT MACY HOUSE SAME TIME  DAY ,43
61,      EXT MRS BENNETT S HOUSE  DAY  FORMERLY SCENE AA,67
62,      EXT WOODS  CAVE DEN  DAY ,9
63,      INT WOODS  CAVE DEN  DAY ,192
64,      EXT WOODS  CAVE  NIGHT,7
65,      INT WALKER HOUSE  LOUNGE  NIGHT ,182
66,      EXT MACY HOUSE  DAY AA,8
67,      INT MACY HOUSE  DAY BB,35
68,      EXT ROARTON  CEMETERY  DAY ,71
69,      EXT CEMETERY  BILL  RICK S GRAVE  DAY ,34
70,      EXT ROARTON  CEMETERY  DAY AA,29
71,      EXT AMY S HOUSE  DAY ,18
72,      EXT ROARTON TRAIN STATION  RAILWAY BRIDGE  DAY AA,12
73,      EXT ROARTON  FIELD  DAY ,88
