1,EXT SCHOOL LAWN  MORNING ,81
2,INT HIGH SCHOOL HALLWAY  FLASHBACK,100
3,EXT SCHOOL LAWN  BACK TO PRESENT,90
4,INT BATHROOM  LATER,94
5,INT CAFETERIA  DAY,212
6,EXT SCHOOL  LATER THAT DAY,93
7, CAR  LATERINT POLLY MACKENZIE S,46
8,EXT SUBURB  THE NEXT MORNING,12
9, HOUSE  CONTINUOUSEXT SIMON S,88
10,EXT DOWNTOWN  LATER,65
11,INT LIQUOR STORE  LATER,89
12,EXT SUBURBS  LATER,89
13, DRIVEWAY  LATEREXT CARLY S,172
14, KITCHEN  LATERINT WILL S,74
15, HOUSE  THAT EVENINGEXT CARLY S,50
16,INT KITCHEN  CONTINUOUS,61
17,INT CARLY S LIVING ROOM  SAME TIME,47
18,INT KITCHEN  SAME TIME,49
19,INT KITCHEN  LATER,35
20,EXT SUBURBAN STREET  NIGHT,28
21, HOUSE  LATERINT SIMON S,42
22,INT SCHOOL HALLWAY  THE NEXT MORNING,52
23,INT FRONT OFFICE  SAME TIME,16
