1,      INT DIVE BAR  DAY,356
2,      EXT DIVE BAR  DAY,103
3,      EXT RAYLAN S MOTEL ROOM  NIGHTAA,21
4,      INT RAYLAN S MOTEL ROOM  NIGHT  CONTINUOUS,231
5,      EXT SUBURBAN HOME  DAY,12
6,      EXT SUBURBAN HOME  BACKYARD  DAY,73
7,      INT SUBURBAN HOME  KITCHEN  MOMENTS LATER,196
8,      EXT RUNDOWN OFFICES  DAY,7
9,      INT WYNN DUFFY S OFFICE  DAY,143
10,      INT WYNN DUFFY S OFFICE  DAY,306
11,      INT MARSHALL S OFFICE  BULLPEN  DAY  CROSSCUTAA,61
12,      INT DIVE BAR  DAY  MOMENTS LATER,61
13,      EXT DIVE BAR  DAY  MOMENTS LATER,17
14,      INT GARY AND WINONA S HOUSE  KITCHEN  NIGHT,132
15,      INT SUBURBAN HOME  KITCHEN  NIGHT,98
16,      INT STEAKHOUSE  NIGHTAA,268
17,      EXT GARY S REAL ESTATE OFFICE  NIGHT,90
18,      EXT RUNDOWN APARTMENT BUILDING  NIGHTAA,6
19,      INT RUNDOWN APARTMENT  CONTINUOUSBB,208
20,      EXT SUBURBAN HOME  NIGHT,109
21,      INT RAYLAN S TOWNCAR  DRIVING  NIGHT,11
22,      INT GARY AND WINONA S HOUSE  DEN  NIGHT  CROSSCUTAA,103
23,      INT GARY AND WINONA S HOUSE  LIVING ROOM  NIGHTAA,69
24,      INT RAYLAN S TOWNCAR  DRIVING  NIGHTBB,141
25,      EXT BARREN FIELD  NIGHT,120
26,      EXT BARREN FIELD  NIGHT,238
27,      INT WYNN DUFFY S OFFICES  DAY,470
28,      EXT DUFFY S OFFICES  DAYAA,5
29,      INT DUFFY S OFFICES  SAME TIMEBB,59
30,      INT RAYLAN S TOWNCAR  DRIVING  DAY,28
