1,      INT KITCHEN  MORNING DAY ONE,337
2,      INT HOWIE S BEDROOM  A LITTLE LATER DAY ,261
3,      INT DEMOLITION COMPANY  LATER DAY ,108
4,      INT PRINCIPAL S OFFICE  LATER DAY ,223
5,      INT KITCHEN  EVENING DAY ,261
6,      INT LIVING ROOM  NIGHT NIGHT ,224
7,      INT KITCHEN  NEXT MORNING DAY ,163
8,      INT DEMOLITION COMPANY  LATER DAY ,205
9,      INT DEMOLITION COMPANY  LATER DAY ,112
10,      INT CAR  LATER DAY ,56
11,      INT KITCHEN  EVENING DAY ,96
12,      INT DEMOLITION COMPANY  NEXT DAY DAY ,57
13,      INT ED S OFFICE  A LITTLE LATER DAY ,158
14,      EXT BACKYARD  EVENING DAY ,488
