1,INT CLARK KENTS APARTMENT  BEDROOM  MORNING DAY ,225
2,INT CLARK KENTS APARTMENT  KITCHEN  MORNING,9
3,EXT ALLEY UNDER CLARKS APARTMENT  SAME TIME,6
4,INT CLARK KENTS APARTMENT  MOMENTS LATER,8
5,EXT ALLEY UNDER CLARKS APARTMENT  MOMENTS LATER,6
6,EXT STREET IN FRONT OF CLARKS APARTMENT  CONTINUOUS,21
7,EXT ALLEY UNDER CLARKS APARTMENT  MOMENTS LATER,25
8,INT DAILY PLANET CONFERENCE ROOM  DAY,174
9,INT LEX LUTHORS STUDY  DAY,132
10,  INT MIRANDAS PERFUME SHOP  DAY,33
11,INT DAILY PLANET PIT  LATER THAT SAME DAY,158
12,INT DAILY PLANET PIT  LATER,85
13,INT PERRY WHITES OFFICE  DAY,10
14,INT DAILY PLANET PIT  DAY,52
15,INT COPY ROOM  DAY,36
16,INT DAILY PLANET  LUNCHEONETTE AREA  DAY,138
17,INT DAILY PLANET CONFERENCE ROOM  DAY ,93
18,INT LUTHORS STUDY  DAY,82
19,INT DAILY PLANET PIT  DAY,68
20,INT PERRY WHITES OFFICE  DAY,33
21,INT DAILY PLANET PIT  SAME TIME,220
22,EXT DAILY PLANET  DAY,62
23,INT NONDESCRIPT APARTMENT HALLWAY  NIGHT ,16
24,EXT STREET IN FRONT OF MEMBERS ONLY CLUB  NIGHT,67
25,EXT METROPOLIS STREET  NIGHT  CONTINUOUS,7
26,EXT NIGHT SKY,6
27,EXT METROPOLIS STREET  CONTINUOUS,25
28,INT CLARK KENTS APARTMENT  LATE NIGHT,112
29,INT CLARK KENTS APARTMENT  MORNING DAY ,43
30,INT CLARK KENTS APARTMENT  ONE HOUR LATER,89
31,EXT STREET IN FRONT OF MIRANDAS PERFUME SHOP  DAY,7
32,INT MIRANDAS PERFUME SHOP,150
33,EXT MIRANDAS STORE  DAY ,45
34,INT DAILY PLANET  DAY,121
35,EXT DAILY PLANET  DAY,8
36,INT DAILY PLANET  COPY ROOM  DAY,25
37,INT DAILY PLANET  ELEVATORS  DAY,52
38,INT PERRY WHITES OFFICE  DAY,91
39,INT LEX LUTHORS STUDY  DAY,144
40,EXT LEX LUTHORS BALCONY  NIGHT ,95
41,  INT MIRANDAS STORE  NIGHT,78
42,INT DAILY PLANET  CONFERENCE ROOM  DAY ,151
43,INT THE PIT  SAME TIME,72
44,INT LEX LUTHORS STUDY  DAY,72
45,EXT PRIVATE AIRPORT  HANGAR  DAY,59
46,INT DAILY PLANET  PIT,123
47,EXT SKYLINE ABOVE METROPOLIS,6
48,EXT PRIVATE AIRPORT  DAY,11
49,EXT IN THE AIR  DAY,5
50,EXT PRIVATE AIRPORT  HANGAR  MOMENTS LATER,18
51,EXT LOIS AND LEXS POV  THE SPRAY PLANE STOCK,5
52,INT PLANE  SAME TIME,8
53,EXT PLANE  SAME TIME,14
54,INT PLANE  MOMENTS LATER,23
55,EXT PRIVATE PLANE AIRPORT  LATER,69
56,INT LUTHORS STUDY  DAY,47
