1,   EXT SKIES ABOVE METROPOLIS  NIGHT                       ,216
2,   INT CLARK KENTS APARTMENT                                   ,11
3,   EXT METROPOLIS PARK BENCE                                    ,18
4,   EXT METROPOLIS JUVENILE DETENTION FACILITY                   ,12
5,  INT PERRY WHITES FLORIDA HOME                              ,11
6,  EXT METROPOLIS GRAVEYARD                                    ,12
7,  INT LUTHORS PENTHOUSE  NIGHT  ,19
8,  INT CLARK KENTS APARTMENT  DAY                        ,30
9,  EXT PORCH  SOMEWHERE IN FLORIDA  INTERCUT                 ,136
10,  INT LUTHORS PENTHOUSE  DAY                                ,232
11,  EXT SUICIDE SLUM  THE GOGO CLUB NIGHT                ,177
12,  INT CLARK KENTS APARTMENT  NIGHT                          ,9
13,  INT LOIS LANES APARTMENT  BEDROOM  INTERCUT              ,89
14,  INT CLARKS APARTMENT BATHROOM  DAY                    ,12
15,  INT CLARK KENTS LIVING ROOMENTRY  DAY                    ,93
16,  INT CLARK LIVING ROOM  LATER  DAY                       ,120
17,  EXT METROPOLIS BANK  DAY                                   ,35
18,  EXT METROPOLIS SIDEWALK  DAY                              ,32
19,  INT CLARKS APARTMENT  NIGHT                           ,139
20,  INT RESTAURANTBAR  DAY                                ,8
21,  INT WAY OUTSIDE ACCOUNTANTS OFFICE  DAY                   ,8
22,  INT APARTMENT HOUSE FOYER  DAY                             ,8
23,  EXT SIDEWALK OUTSIDE ANGELOS PAWN SHOP  DAY               ,88
24,  EXT STREET OUTSIDE CLARKS APARTMENT  DAY  LATER          ,105
25,  INT LUTHORS DEN  DAY                                      ,79
26,  INT LUTHORS WINE CELLAR  DAY                              ,124
27,  INT CLARKS APARTMENT  LIVING ROOM  NIGHT             ,183
28,  INT LEX LIMO  NIGHT                                        ,168
29,  EXT THE STERN BUILDING  NIGHT                              ,5
30,  INT FRANKLIN STERNS OFFICE  NIGHT                         ,140
31,  INT LOIS APARTMENT  DAY                              ,71
32,  INT UNIWORLD INSURANCE COMPANY  DAY                      ,60
33,  INT LUTHORS WINE CELLARPRISON  DAY                       ,143
34,  INT LUTHORS PENTHOUSE  DRESSING ROOM  DAY                ,53
35,  INT LUTHORS WINE CELLAR  DAY                              ,26
36,  INT LUTHORS BALLROOM  DAY                                 ,36
37,  INT LUTHORS WINE CELLAR  SAME TIME  DAY                  ,35
38,  INT LUTHORS BALLROOM  SAME TIME  DAY                     ,29
39,  INT LUTHORS WINE CELLAR  DAY                              ,11
40,  INT LUTHORS BALLROOM  DAY                                 ,160
41,  INT LUTHORS WINE CELLAR  DAY                              ,25
42,  EXT STREET OUTSIDE LEXCORP BUILDING  DAY                   ,42
43,  INT LUTHORS PENTHOUSE  DAY                                ,10
44,  EXT LUTHORS BALCONY  CONTINUOUS  DAY                     ,81
