1,  INT LOISS APARTMENT  DAY  CLARKS NIGHTMARE                   ,319
2,   INT CLARKS APARTMENT  DAWN  DAY                              ,8
3,   INT LOISS APARTMENT  DAWN  INTERCUT THE PHONE CALL             ,71
4,   EXT MANSION  ESTABLISHING  DAY                               X,5
5,   INT CORNER OF LAKES DEN  DAY                                 X,61
6,A  INT LAKES LAIR  DAY                                         A   ,202
7,   INT THE DAILY PLANET  DAY                                        ,145
8,   EXT STAR LABS  DAY                                           ,189
9,  INT THE LAKES LAIR  DAY                                        ,40
10,  EXT THEATRE  DAY  LOISS DAYMARE                             ,93
11,  INT LOISS CAR  METROPOLIS STREET  DAY                    X,97
12,  EXT SIDEWALK CAFE  A SHORT TIME LATER  DAY                     ,33
13,  EXT CAFE  A SHORT TIME LATER                                    ,132
14,  EXT STREET OUTSIDE THE CAFE  LATER  DAY                        ,23
15,  EXT THE CAFE  DAY  CONTINUOUS                                  ,52
16,  INT CLARKS APARTMENT  NIGHT                                  ,131
17,  INT CLARKS APARTMENT  NIGHT                                    ,150
18,  INT THE KENT FARMHOUSE  THE KITCHEN  NIGHT                     ,181
19,  INT THE LAKES LAIR  NIGHT                                      ,64
20,  INT THE KENTS KITCHEN  MIDDLE OF THE NIGHT                     ,51
21,  INT KENT KITCHEN  MOMENTS LATER                                 ,10
22,  EXT THE DAILY PLANET  DAY                                     ,36
23,  INT DAILY PLANET  DAY                                           ,129
24,  EXT THE ALLEY BEHIND THE DAILY PLANET  DAY                      ,83
25,  INT THE KENT KITCHEN  DAY                                       ,18
26, INT THE DAILY PLANET  DAY                                        ,68
27,  EXT ALLEY BEHIND THE DAILY PLANET  DAY                          ,11
28,   INT THE LAKES LAIR  DAY                                       ,103
29,  EXT STAR LABS  DAY                                          ,43
30, INT LAKES DEN  DAY                                           X,42
31, INT THE LAKES LAIR  DAY                                         ,201
32,  INT PERRYS OFFICE  DAILY PLANET  DAY                          ,67
33, INT THE LAKES LAIR  NIGHT                                     ,81
34,A INT LAIR  HIGH ANGLE  NIGHT                                A   ,248
35,  INT LAKES DEN  NIGHT                                        X,12
36,  INT THE LAIR                                                     ,56
