1,   INT CLARKS KITCHEN  ON RING  NIGHT                            ,292
2,   INT DAILY PLANET  ON TV MONITOR  DAY                           ,211
3,   INT ELEVATOR  LOIS AND CLARK  DAY                                ,49
4,   EXT LEIGHANNES HOUSE  DAY                                       ,56
5,   INT LEIGHANNES LIVING ROOM  ON DOORWAY  DAY                    ,162
6,  EXT TANZORIAN CONSULATE  DAY                                     ,24
7,  INT LEIGHANNES  CLARK AND JESSE                                ,17
8,  EXT TANZORIAN CONSULATE                                           ,38
9,  INT  LEIGHANNES LIVING ROOM  LOIS AND LEIGHANNE  DAY        ,89
10,  INT ANONYMOUS HIDEOUT  DAY                                      ,78
11,  INT DAILY PLANET  ELEVATORS  NIGHT                            ,279
12,  INT CLARKS APARTMENT  ON DOOR  NIGHT                           ,123
13,  INT LEIGHANNES LIVING ROOM  ON SUBPOENA  DAY                ,95
14,  EXT STAR LABS  HAND HELD  DAY                               ,109
15,  INT STAR LABS  DAY                                           ,99
16,  INT DAILY PLANET  CLARKS DESK  DAY                             ,22
17,  INT ANONYMOUS HIDEOUT  DAY                                     ,33
18,  EXT PARK  DAY                                                    ,121
19,  INT LEIGHANNES LIVING ROOM  DAY                                ,30
20,  INT LEIGHANNES LIVING ROOM  NIGHT                            ,136
21,  INT ANONYMOUS HIDEOUT  ON COMPUTER KEYBOARD  DAY            ,73
22,  INT HALLWAY  OUTSIDE DOOR                                        ,20
23,  INT HIDEOUT  ON WALL                                            ,36
24,  INT DAILY PLANET  CLARK  DAY                                    ,188
25,  EXT GLOOMY INNER CITY STREET  HIGH ANGLE  DAY                   ,93
26,  INT ANONYMOUS HIDEOUT  DAY                                     ,47
27,  INT DAILY PLANET  DAY                                            ,179
28,  EXT FACTORY WITH RED CHIMNEY  TO ESTABLISH  DAY                 ,5
29,  INT ANONYMOUSS HIDEOUT  DAY                                    ,29
30,  INT ANONYMOUS HIDEOUT  HALLWAY  DAY                            ,15
31,  INT ANONYMOUS HIDEOUT  CONTINUOUS                               ,182
32,  INT HALLWAY  CONTINUOUS                                          ,25
33,  EXT METROPOLIS SKYLINE  SUPERMAN FLYING  DAY  STOCK            ,13
34,  INT ANONYMOUS HIDEOUT  MOMENTS LATER                           ,31
35,  EXT SKY  SUPERMAN IN FLIGHT  DAY  STOCK                        ,6
36,  EXT CHEMICAL PLANT FENCE  BUS STOP  DAY                         ,61
37,  INT HIDEOUT CONTINUOUS                                           ,40
38,  INT SOMEWHERE NEAR THE CENTER OF THE EARTH  CONTINUOUS           ,8
39,  EXT OUTDOOR CAFE  DOWNTOWN FOSTONIA  DAY                        ,18
