1,    EXT BEACH  DAY,161
2,    EXT BEACH  NIGHT,136
3,    EXT BEACH  NIGHT,81
4,    INT INFIRMARY TENT  A LITTLE LATER,169
5,    EXT HORIZON  DAWN  ESTABLISHING STOCK  DAY ,4
6,    EXT BEACH  DUNE  MORNING,86
7,    EXT BEACH  MEANWHILE,163
8,    EXT BEACH  EDGE OF THE JUNGLE  MEANWHILE,21
9,    EXT BEACH  MOMENTS LATER ,334
10,    INT OFFICE  DAY  FLASHBACK,96
11,    EXT BEACH  MIDDAY,89
12,    EXT ANOTHER PART OF THE BEACH  MEANWHILE,122
13,    EXT BEACH  MAKESHIFT INFIRMARY AREA  MEANWHILE,88
14,    EXT BEACH  BY THE FUSELAGE  MEANWHILE,39
15,    EXT JUNGLE  AFTERNOON,100
16,    EXT BEACH  FAR END  DAY,31
17,    EXT JUNGLE  AFTERNOON,104
18,    INT OFFICE  BREAKROOM  AFTERNOON  FLASHBACK,185
19,    EXT JUNGLE  AFTERNOON,141
20,    EXT BEACH  REEF INLET  LATE AFTERNOON,99
21,    EXT BEACH  BY THE FUSELAGE  MEANWHILEAA ,45
22,    EXT BEACH  FAR END  MEANWHILE,157
23,    INT JUNGLE  VALLEY  MEANWHILE,8
24,    INT LOCKE S APARTMENT  NIGHT  FLASHBACK,166
25,    EXT JUNGLE  LATE AFTERNOON,95
26,    EXT JUNGLE  VALLEY  MEANWHILE ,81
27,    EXT BEACH  DUSK,154
28,    EXT BEACH  FAR END  MEANWHILE,109
29,    EXT BEACH  MEANWHILE,106
30,    EXT BEACH  DUNE  MEANWHILE,176
31,    EXT BEACH  BY THE FUSELAGE  NIGHT,93
32,    EXT BEACH  FAR END  MEANWHILE,8
33,    EXT BEACH  BY THE FUSELAGE  NIGHT,52
34,    INT MELBOURNE WALKABOUT TOURS  MORNING  FLASHBACK,134
35,    EXT BEACH  DAY,49
