1,      EXT SCHOOLYARD  DAY  FLASHBACK,225
2,      EXT BEACH  DAWN DAY ,168
3,      EXT BEACH  DAY,399
4,      EXT BEACH  DAY,101
5,      EXT MAKESHIFT INFIRMARY AREA  DAY,77
6,      EXT BEACH  WATER COLLECTION SITE  DAY,227
7,      INT JACK S PARENTS  HOME  LIVING ROOM  DAY  FLASHBACK,171
8,      INTEXT INFIRMARY TENT  DAY,115
9,      EXT BEACH  TREE LINE  DAY,58
10,      EXT BEACH  TREE LINE  DAY,21
11,      INT JACK S PARENTS  HOME  STUDY  NIGHT  FLASHBACK,205
12,      EXT BEACH  TREE LINE  DAY,24
13,      EXT BEACH  DAY  LATER,20
14,      EXT MAKESHIFT INFIRMARY AREA  DAY ,81
15,      EXT BEACH  A MINUTE LATER,39
16,      EXT JUNGLE  DAY,39
17,      INT CORPORATE HOTEL ROOM  AFTERNOON  FLASHBACK,127
18,      EXT JUNGLE  DAY,79
19,      EXT CLIFF FACE  DAY,58
20,      INT INFIRMARY TENT  LATE AFTERNOON ,169
21,      EXT BEACH  LATE AFTERNOON,87
22,      EXT BEACH  LATE AFTERNOON ,100
23,      EXT JUNGLE  LATE AFTERNOON,272
24,      EXT BEACH  LATE AFTERNOON,197
25,      EXT JUNGLE  NIGHT,10
26,      INT HALLWAY  RECEPTION  NIGHT  FLASHBACK,31
27,      INT HALLWAY  NIGHT  FLASHBACK,127
28,      EXT JUNGLE  NIGHT,31
29,      INT THE VALLEY  NIGHT ,53
30,      INT THE VALLEY  NIGHT ,11
31,      INT SYDNEY AIRPORT  DAY  FLASHBACK,82
32,      INT THE VALLEY  NIGHT ,49
33,      EXT BEACH  MAKESHIFT INFIRMARY AREA  NIGHT,6
34,      INT INFIRMARY TENT  NIGHT,36
35,      EXT BEACH  NIGHT,166
