1,      INT THE VALLEY  DAY,281
2,      EXT JUNGLE  PATH TO THE BEACH  DAY,119
3,      EXT JUNGLE  PATH TO THE BEACH  DAY ,116
4,      EXT JUNGLE  DAY,9
5,      INT HOSPITAL  OPERATING ROOM  DAY  FLASHBACK,149
6,      EXT JUNGLE  DAY,22
7,      INT THE VALLEY  ENTRANCE  DAY,90
8,      EXT THE VALLEY  ENTRANCE  DAY,47
9,      EXT JUNGLE  CLEARING  DAY,16
10,      INT HOSPITAL  OPERATING ROOM  DAY  FLASHBACK,118
11,      EXT JUNGLE  CLEARING  RESUME,98
12,      INT THE VALLEY  DAY,80
13,      EXT JUNGLE  DAY ,86
14,      EXT JUNGLE  A FEW METERS AWAY  MOMENTS LATER,61
15,      EXT JUNGLE  DAY  MOMENTS LATER,20
16,      EXT BEACH  DAY  FLASHBACK FROM EPISODE ,10
17,      EXT JUNGLE  RESUME,71
18,      EXT JUNGLE  CLEARING  DAY,104
19,      INT THE VALLEY  STREAM  DAYAA ,182
20,      INT THE VALLEY  FRONT YARD  DAY,154
21,      EXT JUNGLE  LATER,109
22,      EXT JUNGLE  DAY,88
23,      INT HOSPITAL  SHEPHARD S OFFICE  DAY  FLASHBACK,276
24,      INT THE VALLEY  INFIRMARY CAVE  DAY,195
25,      EXT JUNGLE  DAY,120
26,      EXT JUNGLE  THE FOOT OF A MUDDY HILL  DAY,37
27,      INT HOSPITAL  CORRIDOR  DAY  FLASHBACK ,119
28,      EXT JUNGLE  HILLSIDE  RESUME,102
29,      EXT JUNGLE  FOOT OF A LARGE TREE  RESUMING,110
30,      EXT JUNGLE  FOOT OF A LARGE TREE  DAY,93
31,      INT HOSPITAL  CONFERENCE ROOM  DAY  FLASHBACK,128
32,      EXT JUNGLE  HILLTOP  DAY ,56
33,      EXT JUNGLE  TREE  DAY,243
34,      INT THE VALLEY  NIGHT,135
35,      EXT JUNGLE  NIGHT,132
