1,      EXT BEACH  DAY,283
2,      EXT MALIBU COLONY TENNIS CLUB  DAY  FLASHBACK,114
3,      EXT BEACH  DAY  BACK TO PRESENT,60
4,      EXT JUNGLE  DAY,113
5,      EXT JUNGLE  PATH TO NEW BEACH  DAY,118
6,      EXT JUNGLE  PATH TO NEW BEACH  FURTHER AHEAD  DAY,66
7,      EXT JUNGLE  DAY,142
8,      EXT JUNGLE  HATCH CLEARING  DAY,135
9,      INT SHANNON S BUNGALOW  SYDNEY  DAY  FLASHBACK ,95
10,      EXT BEACH  DAY,55
11,      EXT JUNGLE  HATCH CLEARING  DAY,141
12,      EXT JUNGLE  DAY,149
13,      EXT JUNGLE  DAYAA ,156
14,      EXT JUNGLE  LATER,41
15,      INT AUSTRALIAN POLICE STATION  NIGHT  FLASHBACK,146
16,      EXT MARINA  LATER  FLASHBACK ,101
17,      EXT JUNGLE  DAY,99
18,      EXT JUNGLE  DAY,48
19,      EXT JUNGLE  FURTHER IN  DAY,44
20,      EXT JUNGLE  PATH  CONTINUOUS,7
21,      EXT JUNGLE  DOWNHILL GRADE  CONTINUOUS,41
22,      INT JUNGLE  BANYAN TREE  CONTINUOUS,18
23,      INT SHANNON S BUNGALOW  DAY  FLASHBACK ,214
24,      EXT BEACH  DAYAA ,89
25,      INT JUNGLE  BANYAN TREE  DAY,99
26,      EXT BEACH  DAY,96
27,      EXT BEACH  A TIDE POOL OFF THE MAIN BEACH  DAY,104
28,      EXT JUNGLE  GARDEN  DAY,56
29,      EXT BEACH  DAY,71
30,      EXT JUNGLE  VALLEY  DAY,160
31,      EXT JUNGLE  PATH TO THE VALLEY  LATE AFTERNOON,68
32,      EXT BEACH  LATE AFTERNOONAA ,110
33,      INT THE VALLEY  CAMPSITE  LATE AFTERNOON ,78
34,      INT THE VALLEY  CAMPSITE  LATE AFTERNOON  CONTINUOUSAA ,72
35,      EXT JUNGLE  DUSK,23
36,      INT SYDNEY HOTEL ROOM  NIGHT  FLASHBACK,184
37,      INT SYDNEY HOTEL ROOM  LATER  FLASHBACKAA,47
38,      EXT JUNGLE  EVENING,109
39,      EXT JUNGLE  NIGHTAA,6
