1,      EXT JUNGLE  NIGHT,125
2,      INT HATCH  KITCHEN  NIGHT,12
3,      INT HATCH  ARMORY  NIGHT,145
4,      EXT POLICE STATION  ROOFTOP  DAY  FLASHBACK ,71
5,      INT MORGUE  DAY  FLASHBACK,120
6,      INT HATCH  BATHROOM  DAY,87
7,      EXT JUNGLE  DAWN,92
8,      EXT BEACH  LIBBY S AREA  MORNING,51
9,      EXT TREELINE  MORNING,60
10,      INT HATCH  LIVING AREA  DAY,13
11,      INT HATCH  ARMORY  DAY,168
12,      INT LAX AIRPORT  DAY  MOS  FLASHBACK ,16
13,      INT LAX AIRPORT BAR  NIGHT  FLASHBACK,252
14,      EXT JUNGLE  DAY,110
15,      INT HATCH  BEDROCK AREA  DAY,62
16,      EXT BEACH  COMMUNAL PANTRY  DAY,103
17,      EXT JUNGLE  DAY,121
18,      EXT JUNGLE  DAY,35
19,      INT SYDNEY HOTEL ROOM  NIGHT  FLASHBACK,51
20,      EXT RESIDENTIAL STREET  SYDNEY  NIGHT  FLASHBACK,5
21,      INT CAR  DRIVING  FLASHBACK,69
22,      EXT LINDSEY S HOUSE  SYDNEY  NIGHT  FLASHBACK,81
23,      EXT BEACH  PANTRY  DAY,75
24,      INT HATCH  KITCHEN  DAY,78
25,      INT HATCH  BEDROOM AREA  DAY,211
26,      EXT JUNGLE  DAY,131
27,      INT HATCH  GEODOME  DAY,78
28,      INT HATCH  LIVING AREA  DAY,74
29,      INT CAR  DRIVING  EARLY MORNING  FLASHBACK,199
30,      EXT BEACH  DAY,109
31,      INT HATCH  LIVING AREA  DAY,17
32,      INT HATCH  ARMORY  DAY,117
33,      INT SYDNEY AIRPORT  TICKET COUNTER  DAY  FLASHBACK,75
34,      INT SYDNEY AIRPORT  BAR  DAY  FLASHBACK,146
35,      INT SYDNEY AIRPORT  TERMINAL  DAY  FLASHBACK,62
36,      INT HATCH  LIVING AREA  DAY,234
37,      INT HATCH  ARMORY  CONTINUOUS,38
